purchases;credit_limit
445.2;8000
0;4500
689.34;1500
2006.87;21000
678;2500
0.05;1000
3085.69;8500
0;3000
1080;6000
2721.16;6500
3095.96;14000
0;2300
71.07;9500
65;1200
4786.61;9000
174.42;2500
242.88;13500
216.94;3200
2246.3;6000
361.73;1500
330;1800
2854.11;9500
390;2000
422.18;5500
1005.52;3000
2132.93;11000
284.72;5000
0;10500
3244.16;11500
2490.17;9500
1098.31;4800
636.15;8500
3018.93;5000
1222.97;19500
110.18;6000
0;3000
0;1800
983.77;2400
0;1500
423.24;11000
6079.5;7300
439.38;1200
1207.25;1200
259.13;2300
1627.69;5500
0;8000
0;8000
5749.96;12000
1490.94;9000
0;3000
5068.88;4500
1067.28;2000
64.12;7000
6855.59;18500
1631;2500
180.91;1400
0;1600
136.88;14000
0;2000
343.21;1500
16.5;6000
5708.18;4000
42.3;6000
46.67;1800
0;9000
699.12;2500
245.39;4000
98;4000
857.36;6550
2747.12;5000
11147.33;11000
600;1000
0;10000
255.12;8500
1221.53;1200
0;13000
780.64;3500
1532.1;5000
778.33;2000
964.06;6000
1667.13;13000
0;8000
1088.83;9000
648.64;2500
0;2100
0;4500
1897.92;13500
0;6200
1263.29;9500
200;1200
340;6000
1277.58;7000
4117.24;6000
226.23;15000
3970.8;7500
1346.9;8000
1050.83;5000
1364.99;2000
0;1500
0;4500
7553.48;13500
570.16;9000
566.28;4000
0;8000
0;1800
137.34;10000
0;10000
0;9000
332.82;5000
1377.72;2500
0;6000
0;1500
360.7;8000
222.64;4500
1634.74;13000
0;1200
759.15;6000
243.36;1800
0;10500
0;2500
519;4500
3055.87;4500
2470.4;9500
1671.6;1800
903.36;15000
0;1200
229.5;3150
1476.19;2500
2506.89;8500
2570;4500
238.34;15000
1342.36;4000
786.32;7500
1450.68;6000
1239.46;1500
96.75;1800
4106.15;12000
2022.38;6000
3654.08;2500
883.73;3000
795.54;1700
0;1200
0;7500
1382.57;2400
565.5;8500
4462.86;11800
1726.67;6000
217;9000
0;4000
1748.73;6500
0;1800
50.98;1200
378.04;11300
1483.12;5000
6407.67;14500
0;3500
70;8500
449.96;7000
3355.33;6500
0;10000
0;3000
3220.09;15000
6558.55;7000
0;4000
4305.05;9500
262.1;13000
1626.83;13000
3522.57;6000
0;18000
8194.05;6000
1604.8;4500
709.9;7000
174;14000
0;4500
0;1700
913;7500
606.62;2750
1447.01;2400
41050.4;17000
727.27;20000
1869.88;4000
182.94;5000
379.28;2500
874.94;1500
26402.39;16500
0;3000
1752.15;10300
400.41;4500
13771.63;14500
1172.68;9500
1653.6;5000
4238.79;10500
907.37;10000
0;3000
0;12500
569.34;16500
305.78;1500
529.3;19000
2001.19;4500
0;3000
1020.47;6500
4754.32;9500
0;1200
331.95;8000
1490;12500
558.28;8000
1477.44;1500
1051.1;3000
2242.26;2850
179.24;4000
972.65;5500
4620.34;7500
1023.8;20000
6344.3;12000
1549.61;17500
734.11;5000
2274.21;5000
1635.69;3000
627.03;6000
55.5;3000
277;8500
7479.95;15000
3937.59;9500
6300.4;16500
1856.64;1800
4924.41;10500
1308.11;1500
49039.57;22500
4604.72;9000
227.8;9500
2327.49;6000
1199;6750
1174.76;4500
0;4000
469;7000
0;6000
133.39;2500
10700.63;6000
0;1500
49.1;1000
11313.77;6000
0;1200
3525.37;15000
258.74;12000
2448.6;1700
293.99;12500
709;10500
1628.07;5000
0;3150
0;7000
165;15000
11681.64;10500
98.97;2500
0;7500
1142.15;9000
1494.5;8500
646.24;10000
0;3500
3608.88;15000
0;7500
0;5000
12465.21;13000
7823.74;19000
24.64;1800
27957.68;9000
372;4000
1841.62;7500
1678.07;6500
11674.64;16000
2094.38;4500
0;3000
411.38;2500
99.19;4000
525;2500
1956.06;11500
1750.51;3500
18.41;1000
386.12;4000
0;2100
0;14500
625.46;7500
963.13;7000
2011.81;2100
99.5;8000
1084.09;8000
207;8500
1757.47;5000
3837.59;9500
117.57;8000
1223.41;6000
1710.24;6000
11.06;4000
0;12000
8273.18;7000
619.93;4000
190;4000
7680.08;11500
9734.63;8500
0;3000
8403.17;13000
118.6;3300
11202.09;7500
794.52;1750
1704.22;1500
1044.43;5000
3651.59;4500
6477.6;7500
1025.03;2800
0;2400
472.71;16000
733.35;3000
3050.72;11500
601.35;7000
0;1200
0;10500
0;5000
1764.86;10000
2352.2;6500
0;4000
3877.85;12500
5958.17;15000
5969.33;16500
14604.87;15500
433.63;7000
2790.76;14000
571.32;4000
0;1800
281.25;1200
1701.9;3000
14332.92;16000
490.6;18000
0;9000
8371.19;3800
4552.44;5000
202;2000
6030.34;7000
379.3;2500
1877.24;8500
3660.97;7500
2281.56;20000
45.65;1200
1919.66;6000
685.08;13000
362.13;1200
80;1500
3703.36;7500
12650;10500
228.35;4000
0;4000
1969.24;12000
533.36;1200
0;7500
1901.94;4500
0;7000
5601.54;7500
162.56;1000
66.32;9000
19.9;6500
362.36;8000
818.02;3000
1286.2;4000
1800;6000
0;3000
1131.08;18000
83.35;4000
342.07;3000
2025;6000
3548.64;20000
1687.29;11500
231.35;1000
2427.26;5000
579.28;1200
420.03;6600
328.92;10000
419.64;4200
3267.03;6000
294.13;1500
0;5500
0;3000
0;1500
171.92;4500
2210.97;9500
1229.57;2700
64;2800
0;3000
9670.84;17500
7446.18;10000
0;14000
375.57;6000
5228.36;3000
291.65;8000
1386.4;1500
1307.16;5000
0;16000
77.99;1200
861.79;6000
65;3000
798.34;4500
0;8500
32.22;2000
404.24;14500
0;1200
8820.67;6500
7590.08;10000
0;6000
1613.74;1500
1214.74;11000
776.89;1500
0;5500
0;2750
4371.82;20000
1648.53;6500
0;11500
24;1500
1123.58;1500
571.91;2100
0;7500
0;1500
1080.11;9000
0;3000
749.57;6000
0;2500
880.19;1500
642.33;9000
890.2;3000
1798.24;1500
2720.68;5000
4139.56;9000
1140;3650
169.28;6000
0;1200
183.7;10500
0;13000
1412.76;5000
0;6000
1936.01;2000
2486.1;4000
0;6500
796.56;4000
717.18;7000
0;9500
782.88;3000
0;2000
260;5500
0;1200
49.19;12000
4021.29;5000
503.45;10500
4430.17;8500
933.5;3000
1163.93;5000
177.23;2500
283.6;5000
9796.28;19000
2109.61;6500
0;3000
1326.3;4500
0;10000
0;3500
3407.69;9500
1804.09;7500
758.31;6000
121.5;4000
0;5500
90.39;1500
0;2600
0;10000
749.3;8500
184.92;4000
70;1500
219.26;2500
44.55;6000
268.68;1200
0;2600
1876.8;5000
455.76;1700
520.5;4000
0;6000
8519.02;17500
0;3000
0;4000
777.04;7500
0;3300
4504.25;8500
2370.01;4200
517.14;3000
806;8000
578.66;9500
8.4;10500
173.69;5000
74.98;1800
60.24;4000
1500;4600
2280.58;1800
0;3000
1152.83;7000
0;2400
0;3000
186.11;3000
89.9;7000
221.61;1700
4768.27;2500
86.7;2000
1162.63;7500
977.38;3350
1497.82;3500
363;5500
0;8500
0;1500
0;3000
350;4000
1488.8;2000
992.25;4500
1288.42;1500
1102.72;4000
536.68;1000
0;2500
2163.12;4000
0;5500
5197.22;13000
591.84;17000
1790.64;10500
0;3000
385;5000
475;1500
0;6000
1366.3;2000
76.94;1500
2126.7;15000
100;1200
0;14500
12551.95;17000
200;8000
2190.95;11500
2896.05;13500
18.05;1000
1990.81;5000
199.88;4000
4917.48;13500
1325.27;4000
1448.59;1200
851.68;1500
0;3500
463;12500
769.34;7000
377.1;2600
0;1200
780.14;9000
3480.24;12500
0;1500
0;12000
2493.67;3000
324.3;5000
444.96;3000
150;6000
250.32;7000
0;1200
89.66;2000
299.04;7500
1036.19;7300
0;18500
5080.85;8000
554.85;2100
5153.28;11500
2617.85;1800
716.98;1600
4193.91;3000
965.84;4300
7597.09;6500
0;9500
360.3;11500
1772.55;1200
1850.31;14000
84.65;8000
223.5;17500
407.86;12500
315.48;1000
0;2000
312.69;7500
1230.08;6500
0;13000
0;3000
701.44;6000
302;2000
348.88;1200
3393.25;9000
205.89;9500
0;6500
209;1500
1051.52;4600
253.37;1200
202.72;4500
27;1200
6335.65;11000
2457.48;7000
26.62;4500
4896.9;2500
20.09;3200
678;2000
0;11000
1707.26;3300
0;4500
963.35;14000
2540.9;5000
1478.36;1200
0;6500
45.65;1200
0;3000
563.39;900
974.3;3000
0;10000
562.01;1800
53.8;2500
1113.1;6500
0;5250
7363.38;4500
421.15;17000
566.43;9000
17409.21;19500
0;3500
1177.64;3000
1009.44;4000
200;2000
736.72;4500
158.37;3000
0.01;6500
516;1500
251.44;6000
2110.98;1700
3852.37;6000
270;1200
1238.12;6000
308.16;2500
0;12000
1817.84;6000
1000;1500
0;1600
3209.14;10000
886.37;1800
0;7500
455.72;3000
749.9;1500
555;3000
1093.93;2900
1755.76;2500
829.15;3000
541.68;8500
26582.34;28000
1508.54;8500
99;1000
1534.98;4000
76.3;1200
3927.12;5500
1486.31;1800
435.14;7000
280.35;4000
367.94;1500
182;1500
1682.06;13000
3070.45;18500
34;1600
490.21;6000
2197.21;4000
170;1200
36;3500
1806.97;3500
0;6500
2612.1;6500
1188.78;6500
0;1950
735.09;10500
1533.28;1200
443.99;3500
96.62;4500
0;2500
160.92;3000
937.96;1500
22.5;10000
720.18;5000
69;4500
64.82;4150
0;1200
2655.99;3600
825;2500
1783.57;8000
1092.59;18000
0;5000
3914.15;9500
788.54;4200
830.15;11000
0;2100
1037.82;6500
723.65;8500
0;2100
0;3000
2496.57;3000
3061.26;6000
45.65;1700
1188;9000
307.11;1500
1368.88;4500
207.68;3000
514.97;5500
45.65;1200
29.29;2100
45.65;1500
0;8500
0;6000
2590.95;10000
85.92;1200
452.59;7500
0;9500
125;5000
119;1200
0;7000
1555.66;3500
32.38;5000
34;6000
0;17000
130.4;10200
734.37;10500
0;1500
292.59;5000
1042.52;6000
2682.25;4500
280;1800
0;1200
1302.37;6000
90;7000
735.69;3000
6058.03;4000
750.05;14000
499.92;3000
256.5;1200
230.15;1600
1956.8;10000
3719;15500
0;1200
4704.98;4500
60;1800
320.08;7000
66.7;1000
130;4500
71.4;2000
285.45;3000
259.84;7500
35.8;750
150;1000
611.31;1500
0;1200
153.96;8500
453.89;6500
0;1200
0;6000
133;1200
1594;4500
929.99;6500
431.49;1500
985.79;3000
0;5000
0;6000
931.98;7500
648.24;2000
0;5000
1757.44;4500
0;5000
1372.57;5500
665.5;4000
680.97;8500
65.75;4000
313.02;1500
0;2000
1158.28;7500
113.03;3000
171;4000
2255.1;3500
32.25;1800
896.18;7000
464.51;3000
1198.2;7000
1961.78;6000
90;3500
436.74;3500
294;3500
335.99;7500
0;9000
383.42;11000
0;7000
206.35;1000
116.18;1000
0;6000
299.94;6000
364;5000
1019.34;5000
121;13000
3094.97;14500
0;7500
0;5000
215;8500
2900;2900
1109.53;7500
80.3;1950
3279.57;5000
3777.59;4000
114;1200
290.36;10000
129.95;1500
22.16;9000
12.65;5000
0;1200
0;5500
0;6500
1283.65;5500
0;1500
3442.08;7000
1399.05;7500
466.18;1500
190;5000
0;3000
1274.54;4500
0;6000
590;2500
0;15500
120;2100
460.57;9500
904.3;1700
2094.99;7600
7096.36;7500
2860.32;4500
1310.84;2500
463.32;6500
743.38;2100
2483.26;10000
927.1;1500
951.1;6000
280.25;2500
1842.33;3000
145.01;3000
2275.97;3000
356.4;3500
0;7500
244.2;4000
600;6000
25.5;5500
348.78;1200
348.47;1200
1019.4;1000
0;1000
205.03;14000
0;9000
1462.38;2500
508.56;7000
0;3000
2406.77;10000
1202.5;2500
0;3000
133.31;1000
0;4000
360;5000
0;6000
2071.55;9000
496;2500
59.67;3000
212.58;1500
1197.2;4500
0;1200
0;4000
22746.81;18000
0;3000
534.26;7000
5327.61;6000
41.07;3000
1233.58;13000
963.61;3500
2037.24;3500
1179.3;7500
2035.29;9500
676;10000
480.27;2500
2117.05;7000
37.75;4000
432.05;10000
1448.74;5000
534.93;1500
218;6500
328.61;7000
921.82;1200
76;1500
0;12000
1903.66;9000
2346.94;4500
1043;6000
322.98;9500
2743.66;10500
0;4500
6528.65;12000
88.97;2720
311.05;6000
689.4;10000
0;5000
263.16;6000
2068.15;4000
1858.7;9000
3446.96;10500
1103.5;8500
87.02;15500
0;11500
584.4;1200
0;1200
942.22;2200
395.05;5500
438.8;1500
35.97;2000
0;6000
85.5;1500
696.63;1800
0;1700
2808.2;7000
1622.23;2500
2911.02;6000
37;2500
0;4500
0;1500
180.5;4000
2940;3500
1492.21;7000
2434.5;9000
434.72;4500
178.83;1200
227.55;2500
588.05;9000
0;4000
2675;2500
40040.71;18000
1247.75;5000
244;7000
0;3000
59;1200
0;3000
35.92;13500
4398.35;16500
1483.9;14500
126;3000
958.5;16000
150;2500
5252.04;7350
3502.99;7000
231;5000
2395.88;5000
120;4500
560.75;2500
719.76;1800
4276.89;7500
949.59;4000
2571.48;2500
0;2500
491.43;2100
569.68;4000
576;1000
548.89;8500
220.69;2000
315;300
655.94;10500
4471.79;14500
4349.34;5000
2761.41;11000
1368;3500
4572.63;6500
335;6000
1150.78;14500
699.44;4000
273;7500
220.5;3750
2218.26;4500
1120.29;6000
45.65;2500
1943.1;1800
657.71;3500
316.91;11000
5999.95;16000
0;1500
3603.23;6000
6068.82;7500
454.21;1000
0;6000
3298.55;16000
853.44;11500
0;1200
3313.65;8500
553.73;13000
35;1200
2598.54;9000
0;3500
255.08;5500
845.51;1700
224.51;13000
764;9000
0;1500
689.4;7000
2241.84;6000
2071.7;2500
579;5000
886.56;1200
1392;9500
0;6000
0;3000
665.86;4000
237.52;4500
2091.44;3000
0;8000
265;14000
300;2500
280;11000
0;4500
212.5;1000
3030.4;3000
1600;6000
2370.44;1500
246.56;12000
4542.33;7500
1674.9;7500
401.63;6000
0;11000
568.81;1700
527;7500
0;3500
5428.77;12500
968.26;9500
3386.58;16500
163.24;1200
429.88;7000
295.32;3000
296.64;1200
2798.36;4500
1039.49;11500
1807.08;10000
0;12000
2178;7000
1244.7;16000
833.28;4000
1151.45;4000
0;1500
0;13500
615.2;1000
353.75;9000
2796.54;4500
2500.03;12000
890.45;8500
2764;6000
55.52;4000
9661.37;8500
3876;6500
1027.41;6000
1185.3;2500
186.05;16500
0;7500
380;8500
191.7;7000
860.2;15500
777.92;6500
167.08;2300
2601.67;4000
0;3000
188;3000
148.29;9000
487.61;3000
0;3000
237.48;2500
0;1500
622.9;3000
0;8000
494;4000
1252.1;6500
1087.66;3000
0;3000
554.35;3000
4930.68;12000
386.78;2600
574.92;2500
0;1000
2577.7;5000
265.92;2000
899.73;8000
3050.64;8000
0;1000
454.2;10500
533.99;4000
0;12000
3333.95;6000
10549.19;9000
462.38;1000
1006.17;7500
1227.93;8500
3767.75;3000
170;6500
1104.65;1800
0;7500
2283.07;9000
568.78;3800
5380.3;4500
8751.49;4000
1945.95;12000
94.53;2100
0;6000
4544.48;7500
0;1800
143;5000
322;1000
403.1;7000
2074.57;6000
12375;16500
2673.73;15000
479.98;10500
2450.73;4200
685.15;9000
831.03;5500
3783.25;11000
592.82;1500
679;3750
220.74;10500
773.7;9500
6133.45;7000
539;8500
1111.12;2500
25615.07;17000
317.02;6000
74.5;2500
0;14500
0;10500
972.38;1900
942.68;9000
4627.8;16500
690.84;2500
215;1000
1210;1000
130.24;14000
1406.14;6500
2417.54;8500
247.36;8500
0;11500
4943.92;7000
178;8500
5094.17;8000
8335.69;7000
413;2000
655.15;500
0;3000
1083.04;5500
2625.84;4500
474.96;7500
828;1000
2131.31;5500
0;3000
440;10500
3245.23;8000
2046.06;10400
2858.26;7500
12;1600
0;4000
2830.88;4500
1008.3;1200
1642.26;7000
0;7000
1119.56;12500
911.56;9000
1124.88;2500
0;5000
8190.9;5000
0;8000
317.4;1800
737.67;2000
1219;4500
150;1200
508.32;1500
1466.05;6000
3563.07;4500
2171.86;1200
47.96;3000
2118.66;3000
1363.79;6000
3613.83;5700
0;6500
0;5200
0;3300
256.44;1500
0;1500
480.02;1950
3471.99;4000
699.96;2250
118.79;4000
1342.86;6500
4116;21500
1774.46;5200
1469.05;3000
118.41;7000
0;7000
2176.55;8000
494.7;1000
1307;3000
4231.12;10500
1281.44;12000
1547.68;7500
525.65;10000
145.8;6000
1572.42;1700
0;3000
0;3000
74.49;4000
353.52;1500
3109.28;9500
4175.25;8000
705.84;13500
100;3000
0;7500
738.06;4500
88.62;3500
462;6000
0;8000
934.21;3000
0;1200
89;4000
80;3000
1242.46;4500
114.54;1000
0;9000
45;2000
3895.67;6500
185.98;3000
1664.02;5000
1298.56;1200
271.86;4000
366.6;5000
405.5;6500
354.48;1000
486.72;1000
0;3500
2434.7;4500
21802.6;13000
306.36;7000
0;9000
453.64;8000
325.66;1000
176.85;6000
726.89;3000
3824.78;3000
1702.42;7300
8257.26;13000
426.92;3000
0;3000
8880.59;8500
262.44;2000
2600;6000
1724.75;7500
288;6000
976.45;9000
930;7500
503;3000
0;1200
19.08;7000
11414.48;9000
517;1200
1037.5;7500
25378.36;14500
756.68;4000
452.07;1700
4996.17;4500
311.86;3000
824.31;7500
333.24;1500
513.24;2500
1146.59;4500
1600;2000
823.1;11500
666.1;8500
397.44;2000
537.51;1000
0;1200
0;4000
979.92;4350
34.74;3000
1902.4;900
38902.71;18000
3209.62;6000
262.5;3500
339.96;1000
270.02;6000
3263.48;7500
1921.85;3050
96.5;4500
281.31;5500
3420.97;2700
628.56;6000
5787.66;2700
4748.5;12000
5140.49;4500
3707.79;12000
262.92;13000
270;3300
0;12000
801.46;4000
1463.84;6700
2453.07;15000
367.16;2600
152.61;4000
0;2000
461.36;9000
0;9000
295.34;1200
2924.08;4000
384.95;14500
0;3000
590;6000
23.21;2000
0;6000
682.57;7000
3492.21;8500
4096.08;8500
0;2000
31299.35;7500
1106.4;2500
0;1800
1576.35;6500
892.19;1800
0;6500
1146.57;12000
0;4500
2995.55;6000
3628.29;11500
0;1000
588.85;4000
3832.98;11000
938.2;8000
254.85;12000
2219.55;5000
93.24;5000
546;6000
0;3000
85.54;10000
7066.08;10000
39;1950
4015.23;7500
937.56;6000
0;3000
898.45;4000
5253.06;20500
887.3;2000
981.19;9000
1651.64;5500
1845.42;3000
730.2;1000
109.8;1000
2693.64;9000
609;7000
350.57;7500
1194.96;1600
2365.07;9000
0;1600
61.99;6500
1391.89;7000
0;6000
0;4000
892.3;1800
1081.23;2100
0;4000
617.34;1200
0;8000
0;9000
1062.63;6000
835.31;7000
675.53;4000
380.59;10000
159.84;1000
276.52;1500
288.39;1400
4872.6;11500
741.66;4000
1433.26;7000
0;6000
0;6000
4186.49;4000
1403.42;8500
3584.8;15500
0;4000
0;4500
3243.86;8500
916.22;6500
12617.19;15000
1023.29;11500
1821.52;3000
0;3000
0;3500
2052.74;6500
1047.94;6000
1348.44;500
3256.15;6500
0;3000
2883.58;2000
1823.23;5750
1753.46;2500
484.47;1500
517.83;6500
0;3500
0;3000
69.57;4000
1310.9;10000
4001.7;16000
2788.81;4000
0;1500
60;12500
211.07;5000
0;1500
1106.62;6000
0;1200
4900;10500
128.8;1200
1586.45;5500
4063.49;1600
0;8000
2655.68;8300
3177.21;7500
137.84;10000
1099.19;4000
1358.2;1500
1040.74;2500
2768.93;10500
117;7950
391.14;7000
0;3000
2280;4500
783.83;7000
3751.42;9000
10709.17;15000
2545.37;13500
1210.31;7500
435.14;1800
276.72;1800
9736.61;9000
0;14000
119.8;4500
1387.52;3000
2476.31;3500
1976.32;4500
14300.98;18000
45.65;1000
4850.35;15500
280.09;1500
523.19;11500
445.46;2600
1449.48;10500
2776.09;10500
685;1200
0;6000
4536.48;4000
0;1500
0;8500
0;10000
0;2500
1027.01;2200
1528.12;15500
2132.7;10000
0;1500
4439.11;6500
232.8;3000
0;1800
569.91;4500
656.2;4500
0;8500
322.29;1200
2971.56;13500
376.04;3000
151.33;5000
339.75;10500
0;12000
1788.1;1500
1394.93;5000
25.26;3100
0;6500
0;1500
0;7500
0;1700
807.72;1500
519;4000
363.18;2000
1074.29;5000
151.64;1500
154.53;2500
99.75;6000
0;5500
0;8000
105;4000
663.04;2500
1067.85;10000
1340.83;2000
100;1700
6133.01;12500
0;4000
0;1200
431.96;2500
846.06;9000
361;1800
2559.41;4000
3393.73;10000
0;3500
1219.85;5000
2537.67;7000
747.55;2500
674.85;5500
241.27;2500
0;5000
209.07;11500
415.04;7500
918.6;7500
612.1;12000
5219.95;7500
638.61;12000
736.91;6000
55.49;1000
878.64;1200
279.36;6000
4974.27;5000
369.36;1500
2196.54;1000
2352;12500
0;1500
828.14;2600
508.94;3000
319.62;3500
400;3000
5596.11;16000
820.42;3000
104;6000
66.49;3000
358.91;5000
0;9000
2465.92;12000
0;10500
286.4;8500
653.21;3000
2481.64;4000
226.9;1200
502.33;2500
996.64;14500
320.72;1200
0;3000
2102.51;15000
550.08;6000
0;1500
3975;4000
2228.35;12000
0;1200
345.66;1000
0;1500
954.15;1200
389.24;8500
0;1200
636.15;10000
581.21;4000
1585.79;3000
1194.15;4050
90.51;6500
109.16;6000
744.09;7500
717.14;12500
0;10000
1160.65;13000
421.04;4000
329.38;10500
0;1500
615.16;14000
1260.13;6500
3278.42;6000
45.45;4000
0;2100
233.31;1500
1304.96;7500
1035.05;3000
94;5500
82.04;2000
0;9500
3005.89;5500
4474.43;5500
0;8500
0;6500
1886.21;3000
202.31;9500
999.19;7500
794.1;9500
517.08;1200
438.22;3000
5539.68;6000
670.5;7000
760.36;2500
1522.72;9500
0;3500
1085.85;6000
1366.74;6300
0;8000
0;13000
529.34;1200
478.28;2400
294.75;4000
0;9500
98;7000
417.96;2000
143.36;1500
0;1500
419.56;3000
612;2500
296.4;6000
0;1950
0;7000
0;2500
0;1500
878.11;15000
0;5000
0;6500
176.73;5000
280;3000
45.65;1500
280.24;11000
7194.53;15500
1885.94;8500
918.67;1800
702.4;7500
125;3000
1455.97;1800
518.17;4000
0;4000
0;3.666.666.667
217.9;7500
5189.51;7500
2090.47;15000
15.4;200
662.4;1000
711.72;8500
102.48;3000
2173.99;8500
286.19;1700
9683.28;12500
32;9000
360;5000
486.01;7000
0;1200
0;2100
243.48;1500
2083.25;6000
17.8;2500
266.25;7500
0;2500
1695;2000
1103.86;6500
0;4000
922.64;9500
333.08;12500
363.52;9100
96.12;1500
2437.8;7500
55;3000
1500;3000
921.18;4500
1370.21;12000
0;10000
987.23;2500
3724.25;4000
0;3500
0;9000
420.89;1000
674.57;1600
15704.04;3000
98;1800
963.21;2100
161.5;3700
37.65;7500
1014.21;1500
1823.5;7100
0;1600
293.5;1500
0;18000
0;10000
0;1950
0;11000
1003.95;11000
1115;1800
32.35;14000
704.4;1200
0;4200
1234.5;3000
463.01;1000
581.8;8500
1159.15;4750
485.6;4500
0;8000
9321.13;15000
1907.96;10000
246.75;11000
1875.54;3900
0;7000
320.8;10000
245;1500
689.4;3500
1658.81;1000
6562.24;8000
9362.96;7500
60;11000
114.49;7500
1497.02;4000
3721.39;4000
403.3;7500
1029.94;2000
720.48;2300
807.66;16000
1207.24;7000
0;1500
0;4500
299.83;1800
0;7500
86.1;4500
2527.04;5000
150;1200
469.92;1000
69;1200
2;2500
529;6000
5848.99;5000
1937.7;2000
158.2;6000
0;1500
0;4500
5930.99;11500
92.46;300
324.18;9500
5747.76;8000
4342.07;11000
0;3000
329.9;1800
90.01;8000
3805.44;1500
554.16;1200
0;3000
0;10000
19.98;5500
205.89;1600
44.7;9000
98.08;1500
1567.25;7000
4240.41;6000
698.91;5000
0;6500
4537.12;2500
247.31;4000
55.5;1200
