country,year,sex,age,suicides_no,population,suicides_rate,contry_year,hdi_for_year,gdp_for_year,gdp_per_capita,generation
Germany,2003,male,75+ years,1187,78756461,59.34,Germany2003,,2.50573E+12,31816,Silent
Germany,2003,male,55-74 years,2416,78756461,27.44,Germany2003,,2.50573E+12,31816,Silent
Germany,2003,male,35-54 years,3157,78756461,24.36,Germany2003,,2.50573E+12,31816,Boomers
Germany,2003,female,75+ years,775,78756461,18.02,Germany2003,,2.50573E+12,31816,Silent
Germany,2003,male,25-34 years,868,78756461,16.09,Germany2003,,2.50573E+12,31816,Generation X
Germany,2003,male,15-24 years,537,78756461,11,Germany2003,,2.50573E+12,31816,Millenials
Germany,2003,female,55-74 years,925,78756461,9.7,Germany2003,,2.50573E+12,31816,Silent
Germany,2003,female,35-54 years,887,78756461,7.09,Germany2003,,2.50573E+12,31816,Boomers
Germany,2003,female,25-34 years,225,78756461,4.36,Germany2003,,2.50573E+12,31816,Generation X
Germany,2003,female,15-24 years,155,78756461,3.31,Germany2003,,2.50573E+12,31816,Millenials
Germany,2003,male,5-14 years,17,78756461,0.39,Germany2003,,2.50573E+12,31816,Millenials
Germany,2003,female,5-14 years,6,78756461,0.14,Germany2003,,2.50573E+12,31816,Millenials
Germany,2004,male,75+ years,1178,78811814,55.76,Germany2004,,2.81925E+12,35772,Silent
Germany,2004,male,55-74 years,2413,78811814,27.23,Germany2004,,2.81925E+12,35772,Silent
Germany,2004,male,35-54 years,3001,78811814,22.94,Germany2004,,2.81925E+12,35772,Boomers
Germany,2004,female,75+ years,746,78811814,17.11,Germany2004,,2.81925E+12,35772,Silent
Germany,2004,male,25-34 years,820,78811814,15.78,Germany2004,,2.81925E+12,35772,Generation X
Germany,2004,male,15-24 years,518,78811814,10.52,Germany2004,,2.81925E+12,35772,Millenials
Germany,2004,female,55-74 years,906,78811814,9.47,Germany2004,,2.81925E+12,35772,Silent
Germany,2004,female,35-54 years,827,78811814,6.55,Germany2004,,2.81925E+12,35772,Boomers
Germany,2004,female,25-34 years,180,78811814,3.6,Germany2004,,2.81925E+12,35772,Generation X
Germany,2004,female,15-24 years,129,78811814,2.73,Germany2004,,2.81925E+12,35772,Millenials
Germany,2004,male,5-14 years,16,78811814,0.37,Germany2004,,2.81925E+12,35772,Millenials
Germany,2004,female,5-14 years,7,78811814,0.17,Germany2004,,2.81925E+12,35772,Millenials
Germany,2005,male,75+ years,1160,78851254,52.12,Germany2005,0.887,2.86141E+12,36289,Silent
Germany,2005,male,55-74 years,2269,78851254,25.37,Germany2005,0.887,2.86141E+12,36289,Silent
Germany,2005,male,35-54 years,2875,78851254,21.88,Germany2005,0.887,2.86141E+12,36289,Boomers
Germany,2005,female,75+ years,664,78851254,15.01,Germany2005,0.887,2.86141E+12,36289,Silent
Germany,2005,male,25-34 years,730,78851254,14.44,Germany2005,0.887,2.86141E+12,36289,Generation X
Germany,2005,female,55-74 years,939,78851254,9.75,Germany2005,0.887,2.86141E+12,36289,Silent
Germany,2005,male,15-24 years,479,78851254,9.7,Germany2005,0.887,2.86141E+12,36289,Millenials
Germany,2005,female,35-54 years,840,78851254,6.62,Germany2005,0.887,2.86141E+12,36289,Boomers
Germany,2005,female,25-34 years,171,78851254,3.5,Germany2005,0.887,2.86141E+12,36289,Generation X
Germany,2005,female,15-24 years,117,78851254,2.47,Germany2005,0.887,2.86141E+12,36289,Millenials
Germany,2005,male,5-14 years,18,78851254,0.43,Germany2005,0.887,2.86141E+12,36289,Millenials
Germany,2005,female,5-14 years,8,78851254,0.2,Germany2005,0.887,2.86141E+12,36289,Millenials
Germany,2006,male,75+ years,1160,78828994,49.81,Germany2006,,3.00245E+12,38088,Silent
Germany,2006,male,55-74 years,2314,78828994,25.62,Germany2006,,3.00245E+12,38088,Silent
Germany,2006,male,35-54 years,2653,78828994,20.18,Germany2006,,3.00245E+12,38088,Boomers
Germany,2006,female,75+ years,611,78828994,13.66,Germany2006,,3.00245E+12,38088,Silent
Germany,2006,male,25-34 years,629,78828994,12.67,Germany2006,,3.00245E+12,38088,Generation X
Germany,2006,male,15-24 years,455,78828994,9.24,Germany2006,,3.00245E+12,38088,Millenials
Germany,2006,female,55-74 years,826,78828994,8.5,Germany2006,,3.00245E+12,38088,Silent
Germany,2006,female,35-54 years,832,78828994,6.55,Germany2006,,3.00245E+12,38088,Boomers
Germany,2006,female,25-34 years,154,78828994,3.2,Germany2006,,3.00245E+12,38088,Generation X
Germany,2006,female,15-24 years,112,78828994,2.37,Germany2006,,3.00245E+12,38088,Millenials
Germany,2006,male,5-14 years,20,78828994,0.49,Germany2006,,3.00245E+12,38088,Millenials
Germany,2006,female,5-14 years,9,78828994,0.23,Germany2006,,3.00245E+12,38088,Millenials
Germany,2007,male,75+ years,1143,78776585,47.28,Germany2007,,3.43995E+12,43667,Silent
Germany,2007,male,55-74 years,2213,78776585,24.22,Germany2007,,3.43995E+12,43667,Silent
Germany,2007,male,35-54 years,2539,78776585,19.36,Germany2007,,3.43995E+12,43667,Boomers
Germany,2007,male,25-34 years,654,78776585,13.31,Germany2007,,3.43995E+12,43667,Generation X
Germany,2007,female,75+ years,595,78776585,13.21,Germany2007,,3.43995E+12,43667,Silent
Germany,2007,male,15-24 years,448,78776585,9.19,Germany2007,,3.43995E+12,43667,Millenials
Germany,2007,female,55-74 years,796,78776585,8.11,Germany2007,,3.43995E+12,43667,Silent
Germany,2007,female,35-54 years,742,78776585,5.86,Germany2007,,3.43995E+12,43667,Boomers
Germany,2007,female,25-34 years,145,78776585,3.03,Germany2007,,3.43995E+12,43667,Generation X
Germany,2007,female,15-24 years,110,78776585,2.35,Germany2007,,3.43995E+12,43667,Millenials
Germany,2007,male,5-14 years,15,78776585,0.37,Germany2007,,3.43995E+12,43667,Generation Z
Germany,2007,female,5-14 years,9,78776585,0.23,Germany2007,,3.43995E+12,43667,Generation Z
Germany,2008,male,75+ years,1149,78662789,46.02,Germany2008,,3.75237E+12,47702,Silent
Germany,2008,male,55-74 years,2199,78662789,23.8,Germany2008,,3.75237E+12,47702,Silent
Germany,2008,male,35-54 years,2598,78662789,19.95,Germany2008,,3.75237E+12,47702,Boomers
Germany,2008,female,75+ years,592,78662789,13.09,Germany2008,,3.75237E+12,47702,Silent
Germany,2008,male,25-34 years,632,78662789,12.88,Germany2008,,3.75237E+12,47702,Generation X
Germany,2008,male,15-24 years,456,78662789,9.46,Germany2008,,3.75237E+12,47702,Millenials
Germany,2008,female,55-74 years,768,78662789,7.74,Germany2008,,3.75237E+12,47702,Silent
Germany,2008,female,35-54 years,761,78662789,6.05,Germany2008,,3.75237E+12,47702,Boomers
Germany,2008,female,25-34 years,157,78662789,3.28,Germany2008,,3.75237E+12,47702,Generation X
Germany,2008,female,15-24 years,130,78662789,2.81,Germany2008,,3.75237E+12,47702,Millenials
Germany,2008,male,5-14 years,11,78662789,0.28,Germany2008,,3.75237E+12,47702,Generation Z
Germany,2008,female,5-14 years,6,78662789,0.16,Germany2008,,3.75237E+12,47702,Generation Z
Germany,2009,male,75+ years,1209,78448602,46.5,Germany2009,,3.41801E+12,43570,Silent
Germany,2009,male,55-74 years,2277,78448602,24.46,Germany2009,,3.41801E+12,43570,Silent
Germany,2009,male,35-54 years,2628,78448602,20.42,Germany2009,,3.41801E+12,43570,Boomers
Germany,2009,male,25-34 years,637,78448602,12.97,Germany2009,,3.41801E+12,43570,Generation X
Germany,2009,female,75+ years,520,78448602,11.38,Germany2009,,3.41801E+12,43570,Silent
Germany,2009,male,15-24 years,443,78448602,9.31,Germany2009,,3.41801E+12,43570,Millenials
Germany,2009,female,55-74 years,789,78448602,7.89,Germany2009,,3.41801E+12,43570,Silent
Germany,2009,female,35-54 years,788,78448602,6.33,Germany2009,,3.41801E+12,43570,Boomers
Germany,2009,female,25-34 years,146,78448602,3.05,Germany2009,,3.41801E+12,43570,Generation X
Germany,2009,female,15-24 years,121,78448602,2.66,Germany2009,,3.41801E+12,43570,Millenials
Germany,2009,male,5-14 years,12,78448602,0.31,Germany2009,,3.41801E+12,43570,Generation Z
Germany,2009,female,5-14 years,9,78448602,0.24,Germany2009,,3.41801E+12,43570,Generation Z
Germany,2010,male,75+ years,1277,78349067,46.56,Germany2010,0.906,3.41709E+12,43614,Silent
Germany,2010,male,55-74 years,2358,78349067,25.22,Germany2010,0.906,3.41709E+12,43614,Silent
Germany,2010,male,35-54 years,2605,78349067,20.46,Germany2010,0.906,3.41709E+12,43614,Generation X
Germany,2010,male,25-34 years,735,78349067,14.88,Germany2010,0.906,3.41709E+12,43614,Generation X
Germany,2010,female,75+ years,588,78349067,12.59,Germany2010,0.906,3.41709E+12,43614,Silent
Germany,2010,male,15-24 years,474,78349067,10.08,Germany2010,0.906,3.41709E+12,43614,Millenials
Germany,2010,female,55-74 years,851,78349067,8.49,Germany2010,0.906,3.41709E+12,43614,Silent
Germany,2010,female,35-54 years,805,78349067,6.54,Germany2010,0.906,3.41709E+12,43614,Generation X
Germany,2010,female,25-34 years,177,78349067,3.68,Germany2010,0.906,3.41709E+12,43614,Generation X
Germany,2010,female,15-24 years,132,78349067,2.94,Germany2010,0.906,3.41709E+12,43614,Millenials
Germany,2010,male,5-14 years,22,78349067,0.57,Germany2010,0.906,3.41709E+12,43614,Generation Z
Germany,2010,female,5-14 years,6,78349067,0.16,Germany2010,0.906,3.41709E+12,43614,Generation Z
Germany,2011,male,75+ years,1374,78371140,47.38,Germany2011,0.911,3.7577E+12,47947,Silent
Germany,2011,male,55-74 years,2538,78371140,27.01,Germany2011,0.911,3.7577E+12,47947,Boomers
Germany,2011,male,35-54 years,2582,78371140,20.47,Germany2011,0.911,3.7577E+12,47947,Generation X
Germany,2011,male,25-34 years,684,78371140,13.66,Germany2011,0.911,3.7577E+12,47947,Millenials
Germany,2011,female,75+ years,624,78371140,13.02,Germany2011,0.911,3.7577E+12,47947,Silent
Germany,2011,male,15-24 years,461,78371140,9.91,Germany2011,0.911,3.7577E+12,47947,Millenials
Germany,2011,female,55-74 years,802,78371140,7.98,Germany2011,0.911,3.7577E+12,47947,Boomers
Germany,2011,female,35-54 years,757,78371140,6.21,Germany2011,0.911,3.7577E+12,47947,Generation X
Germany,2011,female,25-34 years,188,78371140,3.87,Germany2011,0.911,3.7577E+12,47947,Millenials
Germany,2011,female,15-24 years,122,78371140,2.75,Germany2011,0.911,3.7577E+12,47947,Millenials
Germany,2011,male,5-14 years,12,78371140,0.31,Germany2011,0.911,3.7577E+12,47947,Generation Z
Germany,2011,female,5-14 years,9,78371140,0.25,Germany2011,0.911,3.7577E+12,47947,Generation Z
Germany,2012,male,75+ years,1430,78508115,46.69,Germany2012,0.915,3.54398E+12,45142,Silent
Germany,2012,male,55-74 years,2302,78508115,24.35,Germany2012,0.915,3.54398E+12,45142,Boomers
Germany,2012,male,35-54 years,2408,78508115,19.24,Germany2012,0.915,3.54398E+12,45142,Generation X
Germany,2012,male,25-34 years,699,78508115,13.71,Germany2012,0.915,3.54398E+12,45142,Millenials
Germany,2012,female,75+ years,607,78508115,12.34,Germany2012,0.915,3.54398E+12,45142,Silent
Germany,2012,male,15-24 years,439,78508115,9.52,Germany2012,0.915,3.54398E+12,45142,Millenials
Germany,2012,female,55-74 years,873,78508115,8.66,Germany2012,0.915,3.54398E+12,45142,Boomers
Germany,2012,female,35-54 years,810,78508115,6.7,Germany2012,0.915,3.54398E+12,45142,Generation X
Germany,2012,female,25-34 years,187,78508115,3.8,Germany2012,0.915,3.54398E+12,45142,Millenials
Germany,2012,female,15-24 years,121,78508115,2.76,Germany2012,0.915,3.54398E+12,45142,Millenials
Germany,2012,male,5-14 years,11,78508115,0.29,Germany2012,0.915,3.54398E+12,45142,Generation Z
Germany,2012,female,5-14 years,9,78508115,0.25,Germany2012,0.915,3.54398E+12,45142,Generation Z
Germany,2013,male,75+ years,1518,77270988,48.73,Germany2013,0.915,3.75251E+12,48563,Silent
Germany,2013,male,55-74 years,2379,77270988,25.54,Germany2013,0.915,3.75251E+12,48563,Boomers
Germany,2013,male,35-54 years,2423,77270988,20.11,Germany2013,0.915,3.75251E+12,48563,Generation X
Germany,2013,male,25-34 years,739,77270988,14.6,Germany2013,0.915,3.75251E+12,48563,Millenials
Germany,2013,female,75+ years,641,77270988,12.86,Germany2013,0.915,3.75251E+12,48563,Silent
Germany,2013,female,55-74 years,875,77270988,8.75,Germany2013,0.915,3.75251E+12,48563,Boomers
