continent2,review
Africa,On entry the monkeys were super cheeky. When they say remove all extras they really mean it. The first one jumped on us dug in my bag ...with no food and stole some wipes as the bag was quite empty. The next one tried to pick pocket my camera. Around the next corner and for the rest of walk they were ever so cute and entertaining. The gardens are beautiful and feel like a jungle. We really enjoyed the experience. Babies in prams not a good idea as the monkeys will jump on them. Rather carry small people
Africa,"Our driver, Gusti from Loka Bali Tours, took us to the Monkey Forest as this is a MUST when you travel to Bali! You literally feel like a tiny ant while walking through this magical forest!! We were even so lucky to have a few monkeys give us some love ;-)"
Africa,"We had a fantastic morning at the Monkey Forest, it is huge and we had loads of fun wandering about and finding monkeys! The forest is really clean and well looked after and there are lots of assistants around keeping an eye on the monkeys. There are some VERY clear rules on signs throughout the forest in all languages and the only issues we saw where monkeys jumped on people were those who didn't stick to these rules (i.e no open food). A really great day out for all the family!"
Africa,"The area is big and quite a walk... fun to watch them and the way they behave while eating, playing, fighting with each other etc but need to be careful as sometimes they become violent. Follow the rules on the notice board and act smart."
Asia,The park itself is green and very pleasing. There is a lot of monkeys and they are very friendly. It is good place to hide from hot sun and to have some walk. To me the wild monkeys nex to Uluwatu temple were more entertaining (but very aggressive too)))
Asia,Donâ€™t make noise and donâ€™t look at them in their eye .. but better to go without kids as they are in predictable
Asia,It was nice day after breakfast we visit monky forest by walking as near our hotel anumana hotel many monkies even they are walking outside street and funny
Asia,"Spending quality time with my children and my mom roaming around Bali, we end up that place.

Nothing really special to see in that place but the bonding and fun that it brought to my family was what that counts.
My daughter's alcohol spray was picked pocketed by a monkey....yes, literally. And that experienced can never be bought.

To those who wants to visit that place?
Be careful with your belongings and don't panic if the monkey will come to you.

"
Asia,"We spent a lovely day at this place. Although, I wouldn't recommend this to my friends or family. Instead of walking around the forest looking at monkeys, I would rather spend the time elsewhere."
Asia,Were here with some friends and it was soo cool to se so many wild monkeys. The forest was quite big and it was very nice walking around there.
Asia,"although you are in a forest, there are too many concrete paths to make you feel like in a real forest.
monkeys roam freely and can thus grab your bag or something.
if you have never seen monkeys, go to a zoo instead of here, exc. if you're staying in ubud or nearby"
Asia,Even David Attenborough went for Zoo quest for a dragon in the 1959!! AMAZING!! a lovely stroll in a small forest full of ancient sculptures and wonderful lively monkeys!! Some people are scared to go but don't you be! No visit to Ubud is complete without a visit to the sacred monkey forest!
Asia,"Magic place,must have to see!
Just be careful with your backpacks!
Feeding is not allowed. Suddenly monkey can be aggressive, donâ€™t relaxðŸ˜‰"
Asia,"I was initially a bit cautious about the visit, but was won over by the experience. Just follow the rules posted and enjoy the monkeys. There are lots of staff about to monitor the activity. We spent nearly two hours there."
Asia,This was a really good hour or two experience with monkeys everywhere amongst the green understory of the beautiful forest.
Asia,"So entertaining!! Careful not to bring bags or food, as the monkeys are very clever and unzip things very quickly. I loved it!!"
Asia,"Been to this place before and it still amazes me,monkeys are everywhere so the they always advise the tourist that do not bring and food,water bottles/plastic that easy to grab,some they advise not to wear sunglasses and any accessories that hangs and give attentions to the monkeys to prevent them from stealing it.
Thereâ€™s a water stream if you go further inside it and youâ€™ll pass this huge beautiful old banyan tree under that is a bridge with snake sculptures.
"
Asia,"I read many reviews before going there and went prepared to not atract much ""monkey attention"". It is possible to have a fun experience when you respect their space and don't panic. The more inwards you walk, the more monkeys you start to spot, engaging in all sorts of activities. Watch out for monkey poo as well! haha

The place could have more information on the monkeys and also use the area to raise awareness towards animal welfare and preservation."
Asia,This was a really great experience. Many close encounters with the monkeys. It is an awesome activity to do in the day time as it is a lovely walk through the forest. The monkeys sure know how to put on a show for visitors. Great day out.
Asia,I visited Monkey Forest with a friend and we really enjoyed walking around and watching the monkeys. It was easy to find and quick to enter. We spent a few hours watching the monkeys. They were very accustomed to having people around them but looked free to do as they pleased in the forest. Staff were on hand to keep an eye on the monkeys. Facilities were clean and we were able to take our time walking round
Asia,A great stroll through this site will provide plenty of entertainment watching the monkeys try to take anything they can from the tourists!
Asia,"Monkeys are in very good conditions and have plenty of free nature to play around. It is great to see a park like this where the animals are not just put into cages.
However the visitors are still sometimes pretty careless and will bring plastic bags etc into the forest even there are plenty of signs showing what to bring and what not.
"
Asia,"To drive more than an hour just to see the monkeys, itâ€™s honestly quite disappointing. No show except for a feeding session. No doubt the younger kids are quite trolled by it all but have a go only if you have spare time on hand in Bali."
Asia,"I donâ€™t normally visit animal attractions, but the monkeys here seemed happy and well looked after. There is a fence around the sanctuary, but the monkeys are able to get over it easily and do their own thing. They are fed three times a day and there are vets caring for them. Visitors are told not to interact with the monkeys, but the monkeys have other ideas! Had a couple sitting on my head. They will try to steal everything you have (including the earrings out your ears), so prepare for this. Enjoyed hanging out with the monkeys."
Asia,"It is what it says on the tin. Monkeys roaming freely and being monkeys. They stole my tissues - climbed onto my shoulder, opened my bagpack and took the only thing inside. On that note, if the Monkey wants its way, you just let it be. I stood still, motionless and didn't antagonise, partly because I knew there was nothing in there. Nevertheless, it was the highlight of my experience.

What I really liked about the sanctuary is that it is for the Monkeys. I much prefer these places to zoos. Though having experienced the cheeky monkeys in south Vietnam, I preferred it there. You could feed them food provided by the organisers, but not here."
Asia,"This is one of the activities you can take staying in Ubud, if you are not up to travel far. The monkey forest features a calm picturesque surroundings with beautiful stone carvings at the entrance. Better to visit first thing in the morning to avoid mobs and keep cool before the heat. Monkeys do not pay you much mind, unless you really provoke them. The entrance fee is 50K IDR & free parking with the entrance ticket."
Asia,"Me and my mom had a limited time in the sanctuary from 17:20 and left just before it closes at 18:00. The monkeys are everywhere. The place itself is beautiful and Yes, Iâ€™d recommend the place but keep your belongings secured. Maybe an hour visit is ample to explore the location."
Asia,"We loved the monkey sanctuary. It was fascinating to watch them roam, feed and in some cases cause mayhem!

My daughter loved it. The grounds are well kept and we saw several feeding sessions. No cages? Just a huge forest.

One tip- keep your water bottle out of sight. If they see it they will have it!!!"
Asia,"We left early in the morning to beat the sun, and the forest was beautiful! Macaques were everywhere and we never had a problem with them stealing anything, even though I had read it could be a problem. The monkeys were docile and friendly. I even saw a Komodo Dragon lurking in the woods, which was amazing at the time, but in hindsight was actually pretty dangerous... FYI my hotel staff didn't believe me that I saw one lurking freely in the bushes until I showed them the photo I took, and they confirmed it was indeed a Komodo."
Asia,"Great place to see lots of monkeys that dont try to steal your things! Was taking a photo and a little guy jumped on me and its girl/boyfriend got jealous and bite my arm and slapped me. Solid two piece, He was a Mike Tyson fan for sure! I wont go back... Hahah. But you should go!"
Asia,"We went there afternoon and it was only 1 hour to close but we enjoyed it so much,, we found monkeys are very friendly and they donâ€™t attack you until you bother them,,,, I recommended so much!!!!
"
Asia,"I've been to the Monkey Forest for the first time few years ago when you used to be buy and feed bananas to the monkeys. This is no longer allowed, but the monkeys were programmed for that. They are smart and constantly looking for easy food, so do not bring water bottles or snacks with you. They will smell, run to grab it and be taken away. Keep all loosen items like hats, sunglasses, save. Be careful with mobiles as well. They can easily grab anything that the have interested on and run away. After that, forget it, you will never get it back. Kids holding food and distracted tourists are easy target and harassed all the time. Nothing to be worried about own safety, but be ready to have monkeys jumping on you and be cool about it. :)
It is one of the must go places in Bali."
Asia,"Harbored fears of aggressive monkeys in a tourist trap, turned out to be an unexpectedly nice experience. Nice environment with lots of carvings etc, but the stars of the show were of course the monkeys. Did not observe any aggressive behavior as long as one observe common sense guidelines. Did see lot of cute behavior by some of the monkeys. Lots of tourists so yes it was a bit too crowded, but the monkeys apparently were quite used to all this."
Asia,"Everyone who is staying in Ubud has to pay a visit in Monkey Forest! A well organized place, clean and with helpful staff so you can enjoy your encounter with the lovely monkeys at their true environment! We didnâ€™t have any problems with the monkeys but pay attention to the written directions upon entering the park"
Asia,"Monkeys everywhere! #$$^Ã·%Ã·â‚¬Ã·Â£

Something unique and different with a lot of monkeys !

Saw a monkey jump a guys neck for fun, a little too friendly, but you have to be careful not to agitate them"
Asia,Been there 3 times already and amazes me every time I visit. Definitely go visit these monkeys in their home
Asia,"Maybe for now this is our best time!!! We know that they are aggressive and dangerous sometimes, but those monkeys are so funny and cute
"
Asia,"A place when you can actually enjoy watching monkeys in their natural habitat!!
Very fun for kids also"
Asia,"This place is very nice, the views are great, bog trees nice walks and monkeys, monkeys everywhere. Be aware of whatever you are having in your hands, they like to steal you the food and even the bags. They are not agressive and can take selfies with them. Entrace fee is 80 000 Rp"
Asia,Sacred monkey forest in bali is one of the best forest and interesting in bali .wow what a majestic it was.great nature gift it was
Asia,"Monkey Forest Ubud, also known as Mandala Suci Wenara Wana (locally known) is the sanctuary and natural habitat of the Balinese long-tailed Monkey. It is located at Padangtegal Ubud, Bali. About 749 monkeys live in this sanctuary.

The Monkey Forest is owned by the village of Padangtegal and village members serve on the Monkey Forest's governing council"
Asia,"It is a one time visit place. There are lots of monkeys around, so u need to be careful and follow the guidelines suggested or else you might get bitten by the monkeys, we witnessed one person getting bitten. The small monkeys look very adorable, itâ€™s fun to watch them all play."
Asia,"Must do , especially with children
Lovely friendly playful monkeys
Very safe
Beautiful trees
Great to walk around and interact with the critters
ðŸ˜Š"
Asia,"monkeys every where. walking over water flow side is good.
You can have photos with monkeys. my kids loved it"
Asia,"You can't come to Ubud and miss seeing this beautiful sanctuary. It can be easily covered in less than 2 hours. Quite frankly, it's amazing to see the monkies patiently tolerating us in their natural habitat !!"
Asia,"Sacred Monkey Forest Sanctuary is a must visit when in Ubud. Very well maintained, you will get to see Monkeys in their a forest like creation."
Asia,"* Sacred Monkey Forest Sanctuary ðŸ’
Read the rules on the board when you buy the tickets ðŸŽ«. (Donâ€™t look in the eyes of monkey ðŸµ)
This place is full of monkeys ...shady greens all around with historical huge trees with all long spread roots ..and flowing water by the side as you move deep inside.
A perfect place to take pictures but be careful about your belongings and cameras ðŸ“¸ as you never know maybe a monkey ðŸ’ is keeping an eye on you .ðŸ˜… hehe

Do experience this place.

#Finishyourplatefirst #musaafir_mehra"
Asia,"80,000 rupiah for just watching wild monkeys.Tourist trap, waste of money and really disappointing. I went there for its rating, but I was shocked , there was nothing. If you want to see wild monkeys, with not much security, this may be your place. Too crowded, I did not know what else to do. You can just roam about inside for like 15-20mins, click pictures of monkeys and you are done. One can watch monkeys playing with plastic bottles, grabbing people's bags and even bite some tourists. No medical aid nearby as such. You can watch monkeys free of cost anywhere in Bali. I think visit to this place should be made free of cost!!"
Asia,Monkey forest of Ubud is one of the key attraction in Bali. There are 2 such forest And this one is bigger and better.
Asia,This place has lots and lots of monkeys with all sizes. Looks like most of then are very friendly. Kids will enjoy more.
Asia,"One of the good spots to include in your itierinary. Its clean and very well maintained. The forest also has innumerable moss covered stone carved statues and a temple. The monkeys are cool and are on their own.
The walk through the nature is one of the best and you will love it .There is a bridge with aerial roots which looks good."
Asia,"Monkey forest is, of course, filled with monkeys! It's fun to watch these naughty creatures go around doing their monkey business. It's a pleasant surprise to find a jungle like this in the middle of town! Peaceful, calm and a relaxing place is how one can best describe this. Beware of your belongings, specially if you have something in a paper bag or plastic bag. The monkeys WILL try to grab it.
"
Asia,"Ubud monkey forest is a very good sanctuary, If you want to enjoy forest then you should have 4 hour at least otherwise you can cover it within 2 hr, this is around 2 KM long but generally traveler goes 500-600 Miter , there is staff also there they feed monkeys, do not try to feed monkeys. and spatially Banana."
Asia,"This is a must visit place for anyone going to Ubud. Not just because of the funny creatures, but because of the amazing vegetation you will find in this place!
Amazing trees and beautiful grounds will captivate adults, while the monkeys will give quite a bit of chuckles and scares for the younger ones!"
Asia,"Spent a few hours walking through this forest on well laid out trails enjoying the monkeys who were well fed and kept. With basic precautions, you will love the walks.

As expected, the simians know what to grab if given the chance so follow instructions of the forest keepers.

I did see some people trying to get much too close to the monkeys and I thought that was much too much - who would like a camera or phone in ones face ?"
Asia,"I had read a number of reviews and seen videos of peopleâ€™s experiences in Monkey Forest. I dressed accordingly. Jeans, shirt and shoes. No sunglasses or backpack. Nothing in hand. The tour takes a max of 2 hrs if you also want to sit and enjoy the antics of the monkeys. The monkeys did not bother me and often a monkey or two walked by close to me. I did see monkeys landing on shoulders which had backpacks and trying to unzip looking for food. If such things scare you do not carry anything that can attract a monkey. One monkey bit a girl who went too close. It tried to grab her phone. She wouldnâ€™t let go and the monkey bit her under arm. Then I saw a tug of war between a young man and a monkey over a bottle of water. Luckily the monkey gave up after some time. I even saw a monkey running away with a plastic bottle. We have no business handling plastic carelessly. Being a solo traveller I made sure I followed them well. I had a wonderful time in there. In fact the first place I visited in Ubud. Do not wear loose skirts or leave your long hair open as the small monkeys love to latch on to them. I saw this happen. Dress sensibly and you should be fine!"
Asia,"Long trip to travel to this place, for us from India it was nothing special, view though is good, Did not wait for the dance as we would have reached back to the hotel after 9.00 pm"
Asia,Good place to visit but there are limited varieties of monkeys. The show is also below average. Kids will enjoy well.
Asia,"This is on the way to a few attractions and is a must visit if you have family around, specially kids. The monkeys are not aggressive which makes it even better."
Asia,It is a beautiful place with natural and scenic beauty. It consists of ancient architectural monuments and temples. Also you get to see a lot of monkeys along the way. You can feed them and click pictures with them if you wish to. Great place to visit.
Asia,"Good light treck in the humid environment. The park seem to have been made in a area which was inhabited with monkeys and thus the monkeys are in peace.
Don't disturb them unless you want to be hasseled."
Asia,I will never tire of saying that Bali is endowed with so much natural beauty that one can actually forget what a concrete construction looks like! The people too live in such perfect harmony with plants and animals that the ecosystem seems complete and perfect! Me on the other hand yells at the sight of a mere lizard! ouch!
Asia,"This is a very unique place - a natural habitat of monkeys and it feels that we are literally living in their environment.

Slightly scary as the monkeys are smart enough to snatch stuff from pockets and bags.

Nothing else to see inside . Can visit once if in Ubud with kids.

"
Asia,Very well maintained small forest. Lots of monkeys in natural habitat. One enjoys the walk in the park.
Asia,"We entered after paying a hefty fees of 80,000 IDR and it was nothing but a disappointment. There is no guide support and neither any audio guide. You can just walk aimlessly seeing the same monkeys numerous times.

Most of the temples were found closed and on is not informed of that at ticket/information counter."
Asia,"Well this place although commercialised for tourists offers a very close contact with the monkeys which count this place as their natural habitat. Also, this seems to be avery old and well preserved sanctuary with lot of greenery and trees. There are Monkeys (Macaques) all around and they're not at all violent. They even play with the tourists whom they like. And sometimes they even frown at some if they don't like them.
Outside food, plastic bottles and poly bags are not allowed inside the forest area and also visitors are not allowed to feed the monkeys with outside food stuffs like biscuits, cookies or bread etc.
Entry Ticket costs 80K IDR/ person for adults and 60K IDR/ Person for children below 12.
Timings : 8:30 AM to 05:30 PM and forest area closes by 6 PM. Last entry ticket you can buy is until 05:30 PM.
Huge Parking area (Paid Parking) is just outside the entrance.
There are lot of security guards throughout the forest area who are really helpful in case you need assistance.
Also, there are lot of clean rest rooms (wash rooms) inside the sanctuary.
Ubud local street market is just outside through the exit gates 2 and 3.
There are also lot of good restaurants, pubs, spa and massage centres around the monkey forest."
Asia,"Monkey forest of Bali is a must visit place to enjoy the natural habitat . And , the monkeys are very friendly but they can snatch your camera or your sunglasses, you must aware about this thing.
"
Asia,"-> Good place to visit and enjoy with Lots and lots of monkeys...full of greenery and water bodies in the Sanctuary.
-> 2-3 hours is the maximum time you need to visit this place.
->Entrance ticket 80K IDR per person"
Asia,"Its a very different kind of experience. Monkeys roaming freely, greenery, trees and walkways make it a treat. Absolutely, amazing experience."
Asia,Tropical rain forest - well preserved and maintained - not very far from our hotel . It was worth visiting the forest while in Ubud
