age;sex;job;saving_account;credit_amount;credit_duration;housing
34;male;highly_skilled;little;1860;12;1
22;male;skilled;rich;2483;24;1
63;male;skilled;little;2957;24;1
34;male;skilled;little;2415;7;1
31;female;skilled;little;6758;48;1
44;male;skilled;little;1553;18;1
31;male;unskilled;little;3108;30;1
40;male;highly_skilled;little;3857;30;1
40;male;unskilled;little;3590;18;1
33;male;skilled;moderate;2359;24;1
28;male;skilled;little;5371;36;1
23;male;skilled;little;3913;36;1
20;female;skilled;rich;1577;11;1
23;male;unskilled;rich;2520;27;1
29;female;skilled;little;3499;12;1
29;female;skilled;little;1893;12;1
26;male;skilled;little;4210;36;1
53;female;skilled;little;795;12;1
