customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;
3717-LNXKW;Male;0;1;0;38;1;Fiber optic;1;0;0;0;1;0;Month-to-month;0;Bank transfer (automatic);917;347905;0;0.183564568
9500-WBGRP;Male;0;0;0;69;1;No;0;0;0;0;0;0;Two year;1;Mailed check;191;126885;0;0.601761582
0988-AADSA;Female;0;1;1;72;1;DSL;1;1;1;1;0;1;Two year;0;Bank transfer (automatic);8085;582475;0;0.351676403
0594-UFTUL;Male;0;1;1;13;1;No;0;0;0;0;0;0;Month-to-month;1;Mailed check;1985;252;0;0.248553215
6114-TCFID;Female;0;0;0;29;0;DSL;1;1;0;1;0;0;One year;0;Credit card (automatic);395;108275;0;0.646511942
2369-FEVNO;Male;0;0;0;1;1;No;0;0;0;0;0;0;Month-to-month;1;Mailed check;199;199;0;0.086464994
2911-UREFD;Female;0;1;0;39;0;DSL;1;0;1;0;1;1;Month-to-month;0;Electronic check;559;218435;1;0.899319158
9881-VCZEP;Female;0;1;0;25;1;DSL;0;1;0;0;0;0;Month-to-month;0;Electronic check;541;1373;0;0.427400235
3197-NNYNB;Male;0;0;0;65;1;Fiber optic;0;1;1;0;1;1;Two year;0;Credit card (automatic);1051;663185;0;0.522412715
4188-PCPIG;Female;0;1;0;57;1;DSL;1;1;0;1;1;0;Two year;1;Credit card (automatic);7035;412465;0;0.714493526
6439-PKTRR;Female;0;1;1;70;1;DSL;1;1;1;1;1;0;Two year;0;Electronic check;807;561795;0;0.653402988
1710-RCXUS;Male;0;1;0;51;1;Fiber optic;0;1;0;0;0;1;One year;1;Credit card (automatic);9035;461455;0;0.249380797
5274-XHAKY;Female;0;1;1;41;1;Fiber optic;1;1;0;0;1;0;Month-to-month;1;Bank transfer (automatic);943;38936;0;0.773564224
0440-EKDCF;Male;0;1;0;62;1;DSL;0;1;1;1;0;0;Two year;1;Credit card (automatic);6015;37532;0;0.03299784
8800-JOOCF;Female;0;0;1;12;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;8405;96655;0;0.096187606
4789-KWMXN;Male;0;1;0;47;1;Fiber optic;1;0;1;1;1;1;One year;1;Credit card (automatic);11085;52758;1;0.643041207
5061-PBXFW;Female;0;1;1;32;1;DSL;1;1;0;1;0;0;Month-to-month;0;Bank transfer (automatic);614;186465;0;0.450220584
0682-USIXD;Female;0;1;0;21;1;Fiber optic;0;0;0;1;1;0;Month-to-month;1;Electronic check;8605;18189;0;0.419396086
0661-WCQNQ;Male;0;1;0;22;1;DSL;1;0;0;1;0;0;One year;1;Credit card (automatic);5625;12922;0;0.804402195
7684-XSZIY;Male;0;1;1;72;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);243;164325;0;0.278266498
8715-KKTFG;Female;0;1;0;61;1;Fiber optic;0;0;1;1;1;1;One year;1;Bank transfer (automatic);1033;651835;0;0.118530901
8963-JLGJT;Male;0;0;1;3;1;DSL;1;0;1;0;0;0;Month-to-month;0;Mailed check;559;15755;0;0.748984339
9558-IHEZX;Female;0;0;0;71;1;Fiber optic;1;1;1;0;1;1;Two year;1;Credit card (automatic);10675;728325;0;0.735514062
0685-MLYYM;Female;1;0;0;2;1;Fiber optic;0;0;0;0;0;0;Month-to-month;0;Electronic check;7075;15485;1;0.960307615
9861-PDSZP;Female;0;0;0;72;1;Fiber optic;0;1;1;1;1;1;Two year;1;Credit card (automatic);10805;78066;0;0.243146201
0769-MURVM;Female;0;1;1;72;0;DSL;1;1;1;1;1;1;Two year;0;Bank transfer (automatic);657;457535;0;0.488473497
2890-WFBHU;Female;0;0;0;59;1;DSL;1;1;1;1;0;1;One year;0;Credit card (automatic);7985;47861;0;0.234451166
5970-GHJAW;Male;0;1;1;46;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);1995;8624;0;0.337201072
4849-PYRLQ;Female;1;0;0;56;1;DSL;1;0;1;1;0;1;Two year;0;Bank transfer (automatic);7325;40542;0;0.362906148
2511-ALLCS;Female;0;1;1;35;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);243;8216;0;0.079411605
4801-JZAZL;Female;0;1;1;11;0;DSL;1;0;0;0;0;0;Month-to-month;1;Electronic check;296;34645;0;0.747503025
7688-AWMDX;Male;0;1;0;71;1;DSL;1;0;0;1;0;0;Two year;0;Bank transfer (automatic);545;37782;0;0.009178576
0504-HHAPI;Female;1;0;0;27;1;Fiber optic;0;0;1;0;0;1;Month-to-month;0;Credit card (automatic);883;246775;1;0.989760792
5730-RIITO;Female;1;0;0;43;0;DSL;1;1;0;0;0;0;Month-to-month;1;Credit card (automatic);3345;150025;0;0.846283572
6972-SNKKW;Female;0;0;0;6;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;20;1092;0;0.176072382
8266-VBFQL;Male;0;0;0;4;1;Fiber optic;0;0;1;1;0;1;Month-to-month;1;Electronic check;904;35665;0;0.640058504
5756-OZRIO;Male;1;1;0;61;1;DSL;0;1;0;0;0;1;One year;0;Bank transfer (automatic);6405;39026;0;0.540279167
4988-IQIGL;Male;1;0;0;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;7535;7535;1;0.425292425
0136-IFMYD;Male;1;1;0;69;1;Fiber optic;0;1;1;1;1;1;Two year;1;Electronic check;10995;763425;0;0.300378264
4730-AWNAU;Male;0;1;1;36;0;DSL;1;0;1;1;1;1;One year;0;Credit card (automatic);607;223455;0;0.90403684
6682-VCIXC;Female;0;1;1;43;0;DSL;1;1;0;1;1;0;One year;1;Bank transfer (automatic);5125;21516;0;0.428060115
1196-AMORA;Male;0;0;0;7;1;Fiber optic;0;0;0;0;0;0;Month-to-month;0;Electronic check;736;520;1;0.175148492
9838-BFCQT;Male;0;1;1;72;1;No;0;0;0;0;0;0;Two year;0;Mailed check;261;185145;0;0.7040249
3750-RNQKR;Female;0;0;0;12;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;1945;24625;0;0.227512796
4703-MQYKT;Male;0;0;0;21;1;No;0;0;0;0;0;0;Two year;0;Mailed check;196;3904;0;0.679105851
5090-EMGTC;Female;0;1;0;59;1;Fiber optic;0;1;0;1;1;1;Two year;1;Mailed check;10005;603485;0;0.980043984
4826-DXMUP;Male;0;0;1;35;1;DSL;0;0;0;1;1;1;One year;1;Mailed check;721;249515;0;0.118219083
1414-YADCW;Male;0;1;0;70;1;Fiber optic;1;1;0;1;0;0;Two year;0;Bank transfer (automatic);846;57062;0;0.055154847
2954-PIBKO;Female;0;1;1;69;1;DSL;1;0;1;1;0;0;Two year;1;Credit card (automatic);6415;42541;0;0.228802048
7011-CVEUC;Male;0;1;0;25;1;Fiber optic;0;0;0;1;1;1;Month-to-month;1;Credit card (automatic);957;233835;0;0.389234267
5493-SDRDQ;Male;0;0;0;2;1;DSL;1;0;1;0;0;0;Month-to-month;1;Mailed check;551;11335;1;0.735723343
4627-MIHJH;Female;1;0;0;69;1;Fiber optic;1;0;1;1;1;1;Two year;0;Credit card (automatic);11025;746755;0;0.153518547
3363-DTIVD;Male;0;1;1;71;1;Fiber optic;1;0;1;0;1;1;Two year;0;Electronic check;10555;74055;0;0.298823819
6696-YDAYZ;Male;0;1;1;16;1;No;0;0;0;0;0;0;Two year;0;Mailed check;205;29055;0;0.338305998
1833-TCXKK;Male;0;1;0;45;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Bank transfer (automatic);10775;48828;0;0.068455065
0723-FDLAY;Male;0;0;0;44;1;DSL;0;1;1;1;1;1;One year;1;Bank transfer (automatic);8525;370415;0;0.035440552
9985-MWVIX;Female;0;0;0;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Mailed check;7015;7015;1;0.517213063
9278-VZKCD;Female;1;1;0;52;1;Fiber optic;1;1;1;0;1;1;Month-to-month;1;Electronic check;1091;564795;0;0.547444723
9871-ELEYA;Female;0;0;1;34;1;DSL;1;0;1;1;1;0;Two year;0;Credit card (automatic);6765;23393;0;0.438677975
3207-OYBWH;Male;1;1;0;57;1;Fiber optic;0;1;1;0;0;1;Month-to-month;1;Bank transfer (automatic);9525;542705;1;0.655411169
6718-BDGHG;Female;0;1;0;43;1;DSL;0;0;0;1;1;0;One year;1;Bank transfer (automatic);6485;29082;0;0.978474969
4012-ZTHBR;Female;0;1;1;21;1;DSL;0;0;0;0;0;0;Month-to-month;1;Electronic check;4495;92625;0;0.950552786
5681-LLOEI;Male;0;1;1;43;1;Fiber optic;1;0;1;1;0;0;One year;1;Credit card (automatic);9125;40138;0;0.331043878
0820-FNRNX;Male;0;1;1;17;1;DSL;0;1;1;1;0;0;Month-to-month;1;Mailed check;667;107705;0;0.513690409
1265-HVPZB;Male;0;1;0;59;1;DSL;1;1;1;0;1;0;One year;0;Credit card (automatic);664;39582;0;0.309768904
4946-EDSEW;Female;0;1;1;11;1;No;0;0;0;0;0;0;Month-to-month;1;Mailed check;1925;1803;1;0.476805235
2920-RNCEZ;Male;0;1;1;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Credit card (automatic);6995;6995;0;0.831455024
4657-FWVFY;Female;0;1;1;40;1;Fiber optic;0;1;1;0;1;0;Month-to-month;1;Credit card (automatic);9635;39154;0;0.621987913
1725-IQNIY;Male;0;1;0;54;1;Fiber optic;1;1;1;1;1;1;Two year;0;Bank transfer (automatic);10975;61102;1;0.276000581
8919-FYFQZ;Male;1;1;0;44;0;DSL;0;1;0;0;0;0;Month-to-month;1;Electronic check;3035;13597;1;0.56497326
3761-FLYZI;Female;1;1;0;65;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Bank transfer (automatic);1088;708245;0;0.293085765
5795-KTGUD;Female;0;1;0;68;1;Fiber optic;1;1;1;0;1;1;Two year;1;Bank transfer (automatic);1108;75536;0;0.221297143
6701-DHKWQ;Female;0;1;1;61;0;DSL;0;1;1;1;1;0;Two year;0;Credit card (automatic);5135;32444;0;0.233567779
1428-IEDPR;Male;0;0;0;52;1;Fiber optic;1;0;1;1;1;1;Two year;1;Electronic check;1093;57314;0;0.417037196
7717-BICXI;Male;0;1;1;60;1;No;0;0;0;0;0;0;Two year;0;Mailed check;2055;120505;0;0.139683555
4587-VVTOX;Female;0;1;0;6;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Electronic check;1053;5452;1;0.076959
2260-USTRB;Female;1;0;0;2;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Bank transfer (automatic);702;11595;1;0.441228344
9361-YNQWJ;Female;0;0;0;64;1;No;0;0;0;0;0;0;One year;1;Bank transfer (automatic);244;16012;0;0.917391387
3990-QYKBE;Male;1;1;0;37;1;Fiber optic;0;0;0;0;1;1;Month-to-month;1;Electronic check;925;34734;1;0.394757787
5495-GPSRW;Male;0;0;0;20;1;No;0;0;0;0;0;0;Two year;1;Mailed check;197;4194;0;0.690612101
1950-KSVVJ;Female;0;1;0;45;1;Fiber optic;1;1;1;1;1;1;One year;0;Mailed check;1133;503225;0;0.009480761
2055-PDADH;Female;1;0;0;3;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;704;2047;1;0.779123388
8277-RVRSV;Female;0;1;1;33;1;No;0;0;0;0;0;0;One year;0;Credit card (automatic);2415;8003;0;0.250259115
1746-TGTWV;Male;0;1;0;1;1;Fiber optic;0;0;1;0;0;0;Month-to-month;0;Credit card (automatic);7535;7535;0;0.159156205
4908-XAXAY;Female;1;0;0;49;1;Fiber optic;0;1;1;0;0;1;One year;1;Bank transfer (automatic);8985;42872;0;0.319847699
7599-NTMDP;Female;0;1;1;62;0;DSL;1;1;0;1;1;0;Two year;0;Bank transfer (automatic);487;300855;0;0.928035917
8809-RIHDD;Male;0;1;1;72;1;Fiber optic;0;1;1;0;1;1;Two year;1;Electronic check;1034;737265;1;0.086421639
9824-QCJPK;Male;0;1;0;36;1;No;0;0;0;0;0;0;One year;0;Mailed check;20;66675;0;0.40574949
6968-MHOMU;Male;0;1;0;58;0;DSL;0;0;0;0;1;1;One year;1;Credit card (automatic);45;268935;0;0.935882427
7693-LCKZL;Male;0;1;1;5;1;Fiber optic;0;1;0;0;0;0;Month-to-month;1;Electronic check;8015;385;1;0.77118596
0839-QNXME;Female;0;0;0;30;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);194;5785;0;0.688745688
9190-MFJLN;Male;1;0;0;19;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Credit card (automatic);959;17779;1;0.962471861
1241-FPMOF;Male;0;0;0;52;1;No;0;0;0;0;0;0;Two year;0;Mailed check;1965;102505;0;0.735271701
3570-YUEKJ;Female;0;0;0;42;1;DSL;0;1;0;0;0;0;Month-to-month;1;Electronic check;4955;207795;0;0.193384276
9058-MJLZC;Female;0;0;0;24;1;Fiber optic;1;0;0;0;1;1;Month-to-month;1;Electronic check;946;228315;0;0.252965159
7923-IYJWY;Male;1;0;0;67;1;Fiber optic;1;1;1;1;1;1;Two year;1;Credit card (automatic);1161;783985;0;0.433518587
6563-VRERX;Male;0;1;1;33;1;No;0;0;0;0;0;0;One year;0;Mailed check;206;69025;0;0.209318558
9257-AZMTZ;Female;0;1;1;52;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);201;107875;0;0.961997821
5762-TJXGK;Female;0;0;0;52;0;DSL;1;1;1;0;1;1;Two year;1;Bank transfer (automatic);5875;303855;0;0.002744768
6121-VZNQB;Female;0;0;0;1;1;No;0;0;0;0;0;0;Month-to-month;1;Mailed check;191;191;1;0.138984526
6980-CDGFC;Female;0;1;0;67;1;No;0;0;0;0;0;0;One year;1;Bank transfer (automatic);2085;13274;0;0.554044877
1585-MQSSU;Male;0;0;0;17;1;DSL;0;0;0;1;0;0;Month-to-month;0;Mailed check;515;9005;1;0.814931637
1142-WACZW;Male;0;0;0;2;0;DSL;0;0;0;1;0;0;Month-to-month;0;Bank transfer (automatic);2985;756;1;0.740821501
1447-PJGGA;Female;0;0;0;57;1;Fiber optic;0;0;1;0;1;1;Two year;1;Electronic check;9525;546465;1;0.392206433
2428-HYUNX;Male;1;1;0;44;1;No;0;0;0;0;0;0;Two year;1;Credit card (automatic);1935;84725;0;0.11150343
3842-IYKUE;Female;0;0;0;35;1;Fiber optic;0;1;0;1;0;0;Month-to-month;0;Credit card (automatic);853;29175;1;0.418303802
7973-DZRKH;Female;0;0;1;66;1;Fiber optic;1;0;1;1;0;0;Two year;1;Credit card (automatic);9095;593005;0;0.373079927
2577-GVSIL;Male;0;1;1;35;1;DSL;0;0;0;1;1;1;One year;1;Bank transfer (automatic);7345;26611;0;0.255149955
7996-BPXHY;Female;0;1;1;13;1;No;0;0;0;0;0;0;Two year;1;Bank transfer (automatic);25;3325;0;0.986667783
1522-VVDMG;Male;0;1;1;7;1;Fiber optic;0;1;0;1;1;0;Month-to-month;1;Electronic check;8975;6088;1;0.787540545
5383-MMTWC;Female;1;1;0;8;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Electronic check;84;6134;1;0.647053977
5389-FFVKB;Male;1;1;0;32;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Credit card (automatic);803;248305;1;0.121087257
7361-YPXFS;Female;1;0;0;28;1;DSL;0;1;1;1;0;0;Month-to-month;0;Bank transfer (automatic);6445;18676;0;0.965875257
2462-XIIJB;Male;0;0;0;5;1;Fiber optic;0;0;1;0;1;0;Month-to-month;1;Electronic check;925;4527;1;0.892399956
2817-LVCPP;Female;0;0;0;50;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);194;102395;0;0.07686606
1227-UDMZR;Female;0;1;0;72;1;DSL;1;1;1;1;1;1;Two year;1;Bank transfer (automatic);9115;66379;0;0.006136755
6215-NQCPY;Male;0;0;0;15;1;Fiber optic;1;0;0;0;1;1;Month-to-month;1;Electronic check;997;156675;0;0.084595577
3473-XIIIT;Female;0;1;0;16;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Electronic check;100;153475;1;0.675664634
5868-YTYKS;Male;0;0;1;1;1;No;0;0;0;0;0;0;Month-to-month;1;Mailed check;2025;2025;0;0.915096209
1987-AUELQ;Female;0;1;0;71;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);2505;18737;0;0.710749944
6693-DJWTY;Female;0;0;1;35;1;DSL;1;1;0;0;0;0;One year;0;Credit card (automatic);556;201645;0;0.534240322
7921-BEPCI;Female;0;0;0;72;1;DSL;1;1;0;0;0;0;Two year;0;Bank transfer (automatic);5975;4265;0;0.338447112
7159-NOKYQ;Male;0;1;0;67;1;Fiber optic;0;1;1;0;0;1;Two year;1;Electronic check;9315;63682;0;0.642989241
1552-TKMXS;Female;0;1;0;42;1;No;0;0;0;0;0;0;Month-to-month;0;Credit card (automatic);2035;8699;0;0.36964913
4693-VWVBO;Female;0;0;0;3;1;No;0;0;0;0;0;0;Month-to-month;0;Electronic check;1955;6105;0;0.748392653
2619-WFQWU;Female;0;0;0;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Mailed check;7015;7015;1;0.570418364
8707-RMEZH;Female;1;1;0;69;1;Fiber optic;1;1;0;0;0;1;One year;0;Credit card (automatic);873;605555;0;0.777875881
8417-FMLZI;Male;0;1;1;6;1;Fiber optic;0;1;0;0;0;1;Month-to-month;1;Credit card (automatic);8355;47755;1;0.311256966
5522-JBWMO;Male;0;0;1;1;1;DSL;0;0;0;0;0;0;Month-to-month;0;Electronic check;44;44;0;0.114210873
8652-YHIYU;Female;0;0;1;16;1;Fiber optic;0;0;0;1;0;0;One year;1;Credit card (automatic);795;12642;0;0.311242763
7143-BQIBA;Male;0;0;0;10;1;DSL;1;0;0;1;1;0;Month-to-month;0;Bank transfer (automatic);6225;61295;0;0.998861869
5087-SUURX;Female;0;1;0;18;0;DSL;0;0;1;0;1;0;Month-to-month;1;Electronic check;3905;66985;1;0.359810276
6933-FHBZC;Female;0;0;0;26;1;DSL;0;1;1;0;0;0;One year;1;Mailed check;5605;15532;0;0.564495075
2796-UUZZO;Male;0;1;1;63;1;Fiber optic;0;1;1;0;0;0;Month-to-month;1;Credit card (automatic);803;489635;0;0.128541105
7815-PDTHL;Male;0;0;0;35;1;No;0;0;0;0;0;0;Two year;1;Mailed check;202;6844;0;0.922577614
4018-PPNDW;Female;0;1;1;61;1;No;0;0;0;0;0;0;Two year;1;Mailed check;241;15516;0;0.264500516
2073-QBVBI;Female;0;1;0;41;0;DSL;0;1;0;1;0;0;One year;0;Mailed check;3545;139165;0;0.505494614
8146-QQKZH;Female;0;1;0;71;1;DSL;1;0;1;1;1;1;Two year;0;Bank transfer (automatic);8185;59244;0;0.632404835
0952-KMEEH;Male;0;0;0;13;1;Fiber optic;1;0;0;0;1;1;Month-to-month;0;Mailed check;9815;123025;1;0.030773067
2436-QBZFP;Female;0;1;1;22;0;DSL;0;1;0;0;1;0;Month-to-month;0;Electronic check;392;8499;0;0.053985783
9253-VIFJQ;Male;0;1;0;65;1;DSL;1;1;1;0;0;0;One year;0;Credit card (automatic);6705;430955;0;0.428709256
3194-ORPIK;Female;0;1;1;50;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Bank transfer (automatic);844;411615;1;0.194478316
1452-UZOSF;Male;0;1;1;72;1;Fiber optic;1;1;1;1;1;0;Two year;1;Credit card (automatic);1061;75486;0;0.931819853
1761-AEZZR;Male;0;0;0;1;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;7955;7955;1;0.087648551
6710-HSJRD;Male;0;1;0;61;1;Fiber optic;0;1;1;1;1;1;Month-to-month;1;Electronic check;1141;713215;0;0.609135417
9236-NDUCW;Female;0;0;0;21;0;DSL;1;0;0;1;0;0;Two year;0;Mailed check;351;7704;0;0.499131052
2324-EFHVG;Male;0;0;0;64;1;Fiber optic;0;1;1;0;1;1;Two year;1;Bank transfer (automatic);1044;669265;0;0.254648264
3486-HOOGQ;Female;0;1;1;70;1;DSL;1;1;1;1;1;0;Two year;0;Bank transfer (automatic);797;57433;0;0.037787412
8883-GRDWQ;Male;1;0;0;20;1;DSL;1;0;0;1;0;0;One year;0;Mailed check;54;10559;0;0.228168855
0266-CLZKZ;Female;0;1;1;67;1;Fiber optic;0;0;1;1;1;1;Two year;1;Bank transfer (automatic);10565;67179;0;0.878608044
2599-CIPQE;Male;0;1;1;71;1;Fiber optic;1;1;1;1;1;1;Two year;0;Credit card (automatic);1093;778285;0;0.740555995
9880-TDQAC;Female;0;1;1;72;0;DSL;0;1;1;1;1;1;Two year;1;Electronic check;60;4264;0;0.660066105
0484-FFVBJ;Male;0;0;0;32;1;DSL;0;0;0;0;1;1;One year;1;Bank transfer (automatic);6485;201095;0;0.970502449
8220-OCUFY;Female;0;0;0;21;1;DSL;1;0;1;1;0;0;One year;1;Electronic check;6025;125835;0;0.749816108
0442-ZXKVS;Female;1;1;0;54;1;Fiber optic;1;1;1;1;1;1;One year;1;Bank transfer (automatic);1156;643105;0;0.963839346
6825-UYPFK;Female;0;0;0;23;1;Fiber optic;0;0;0;0;0;0;Month-to-month;0;Bank transfer (automatic);756;17586;1;0.515215682
3902-MIVLE;Male;0;1;1;63;1;DSL;1;0;1;1;0;1;Two year;0;Mailed check;757;46767;0;0.939678363
9134-CEQMF;Male;1;1;0;7;1;Fiber optic;0;0;0;0;1;1;Month-to-month;1;Electronic check;895;6767;1;0.083162968
9350-VLHMB;Male;0;1;1;67;1;Fiber optic;0;1;0;0;0;1;Month-to-month;1;Bank transfer (automatic);8955;63731;0;0.30612757
6861-XWTWQ;Male;1;1;0;7;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Electronic check;9925;66545;1;0.069383343
8878-RYUKI;Female;0;0;0;52;1;DSL;0;0;1;0;0;1;Month-to-month;1;Electronic check;5945;30437;0;0.319056343
1301-LOPVR;Male;0;1;1;29;0;DSL;1;1;1;1;0;1;One year;1;Credit card (automatic);5535;163695;0;0.923815318
2808-CHTDM;Female;0;1;1;23;1;No;0;0;0;0;0;0;Two year;0;Mailed check;251;61145;0;0.453563349
5569-OUICF;Female;1;1;0;28;1;Fiber optic;0;0;0;1;1;1;Month-to-month;1;Credit card (automatic);1013;28122;1;0.744336834
4718-DHSMV;Female;0;0;0;11;0;DSL;0;0;0;0;1;0;Month-to-month;1;Mailed check;358;36315;0;0.566062936
7544-ZVIKX;Male;0;1;1;58;1;Fiber optic;0;0;1;1;1;1;One year;1;Bank transfer (automatic);10505;600485;0;0.499971455
4234-XTNEA;Male;0;0;0;2;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;7995;17445;0;0.454895823
1877-HKBQX;Female;0;0;0;11;1;DSL;1;0;0;1;0;0;One year;1;Mailed check;546;61785;0;0.50171456
7392-YYPYJ;Male;0;0;0;22;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Electronic check;10065;241595;0;0.047539277
4537-CIBHB;Female;0;1;1;9;1;No;0;0;0;0;0;0;One year;0;Mailed check;2025;17235;0;0.98528835
4835-YSJMR;Male;0;0;0;39;1;DSL;0;0;0;1;0;0;Two year;1;Bank transfer (automatic);498;197115;0;0.774135041
3683-QKIUE;Female;0;0;0;6;1;DSL;0;0;0;1;0;0;Month-to-month;1;Bank transfer (automatic);508;28805;1;0.632702029
1624-NALOJ;Male;1;0;0;5;1;Fiber optic;0;1;0;0;0;1;Month-to-month;1;Electronic check;898;5026;1;0.104454857
0956-SYCWG;Female;0;0;0;13;1;No;0;0;0;0;0;0;One year;0;Electronic check;1965;2448;0;0.409361904
7250-EQKIY;Female;0;1;1;1;1;DSL;0;0;1;0;0;0;Month-to-month;0;Mailed check;5045;5045;1;0.006261597
5296-PSYVW;Female;0;1;0;72;1;No;0;0;0;0;0;0;Two year;0;Electronic check;2455;17507;0;0.070537734
9332-GYWLO;Female;0;1;1;6;1;DSL;0;0;0;0;1;0;Month-to-month;0;Electronic check;5485;3551;0;0.280466847
2018-PZKMU;Male;0;1;1;9;1;Fiber optic;0;0;1;1;1;1;Month-to-month;0;Electronic check;1031;97045;0;0.542791183
6326-MTTXK;Male;0;0;0;8;1;Fiber optic;0;1;0;0;1;1;Month-to-month;0;Electronic check;10085;81955;1;0.911234597
3780-DDGSE;Male;1;1;1;35;1;DSL;0;1;0;1;1;1;Month-to-month;1;Electronic check;7605;27472;0;0.380038458
9479-HYNYL;Female;0;1;0;71;1;DSL;0;1;1;1;1;1;Two year;1;Credit card (automatic);807;570505;0;0.860408751
4389-UEFCZ;Female;0;1;0;72;1;Fiber optic;1;0;1;0;1;1;Two year;1;Electronic check;1055;7544;0;0.039507952
0022-TCJCI;Male;1;0;0;45;1;DSL;1;0;1;0;0;1;One year;0;Credit card (automatic);627;27915;1;0.998345225
9136-ALYBR;Male;0;0;0;1;0;DSL;0;0;0;0;0;0;Month-to-month;1;Mailed check;2445;2445;1;0.673498616
9359-UGBTK;Female;0;0;0;67;1;DSL;1;0;1;1;0;1;One year;1;Bank transfer (automatic);7235;49915;0;0.717046771
4385-GZQXV;Female;1;0;0;16;1;Fiber optic;0;0;0;1;1;1;Month-to-month;1;Electronic check;9445;15112;1;0.490737915
2676-SSLTO;Male;0;0;0;49;1;DSL;0;0;0;1;1;0;Two year;1;Bank transfer (automatic);6615;3199;0;0.804095197
5382-TEMLV;Male;0;0;0;45;1;DSL;1;0;0;0;0;0;Month-to-month;1;Bank transfer (automatic);509;229855;0;0.469354962
2137-DQMEV;Male;0;1;1;68;0;DSL;1;1;0;0;1;0;One year;0;Mailed check;448;298365;0;0.265695555
