customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
6322-HRPFA;Male;0;1;1;49;1;DSL;1;1;0;1;0;0;Month-to-month;0;Credit card (automatic);596;29703;0
6865-JZNKO;Female;0;0;0;30;1;DSL;1;1;0;0;0;0;Month-to-month;1;Bank transfer (automatic);553;15306;0
6467-CHFZW;Male;0;1;1;47;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Electronic check;9935;474915;1
8665-UTDHZ;Male;0;1;1;1;0;DSL;0;1;0;0;0;0;Month-to-month;0;Electronic check;302;302;1
5248-YGIJN;Male;0;1;0;72;1;DSL;1;1;1;1;1;1;Two year;1;Credit card (automatic);9025;636945;0
8773-HHUOZ;Female;0;0;1;17;1;DSL;0;0;0;0;1;1;Month-to-month;1;Mailed check;647;10931;1
3841-NFECX;Female;1;1;0;71;1;Fiber optic;1;1;1;1;0;0;Two year;1;Credit card (automatic);9635;676695;0
4929-XIHVW;Male;1;1;0;2;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Credit card (automatic);955;18165;0
6827-IEAUQ;Female;0;1;1;27;1;DSL;1;1;1;1;0;0;One year;0;Mailed check;6615;187445;0
7310-EGVHZ;Male;0;0;0;1;1;No;0;0;0;0;0;0;Month-to-month;0;Bank transfer (automatic);202;202;0
3413-BMNZE;Male;1;0;0;1;1;DSL;0;0;0;0;0;0;Month-to-month;0;Bank transfer (automatic);4525;4525;0
6234-RAAPL;Female;0;1;1;72;1;Fiber optic;1;1;0;1;1;0;Two year;0;Bank transfer (automatic);999;72517;0
6047-YHPVI;Male;0;0;0;5;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;697;3169;1
6572-ADKRS;Female;0;0;0;46;1;Fiber optic;0;0;1;0;0;0;Month-to-month;1;Credit card (automatic);748;35483;0
5380-WJKOV;Male;0;0;0;34;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Electronic check;10635;354925;1
8168-UQWWF;Female;0;0;0;11;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Bank transfer (automatic);9785;11054;1
8865-TNMNX;Male;0;1;1;10;1;DSL;0;1;0;0;0;0;One year;0;Mailed check;4955;4757;0
9489-DEDVP;Female;0;1;1;70;1;DSL;1;1;0;0;1;0;Two year;1;Credit card (automatic);692;487235;0
9867-JCZSP;Female;0;1;1;17;1;No;0;0;0;0;0;0;One year;0;Mailed check;2075;41825;0
4671-VJLCL;Female;0;0;0;63;1;DSL;1;1;1;1;1;0;Two year;1;Credit card (automatic);7985;486145;0
4080-IIARD;Female;0;1;0;13;1;DSL;1;1;0;1;1;0;Month-to-month;1;Electronic check;762;98145;0
3714-NTNFO;Female;0;0;0;49;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Electronic check;845;39067;0
5948-UJZLF;Male;0;0;0;2;1;DSL;0;1;0;0;0;0;Month-to-month;0;Mailed check;4925;97;0
7760-OYPDY;Female;0;0;0;2;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;8065;14415;1
7639-LIAYI;Male;0;0;0;52;1;DSL;1;0;0;1;1;1;Two year;1;Credit card (automatic);7975;42178;0
2954-PIBKO;Female;0;1;1;69;1;DSL;1;0;1;1;0;0;Two year;1;Credit card (automatic);6415;42541;0
8012-SOUDQ;Female;1;0;0;43;1;Fiber optic;0;1;0;0;1;0;Month-to-month;1;Electronic check;9025;383875;0
9420-LOJKX;Female;0;0;0;15;1;Fiber optic;1;1;0;0;1;1;Month-to-month;1;Credit card (automatic);991;14264;1
6575-SUVOI;Female;1;1;0;25;1;DSL;1;0;0;1;1;0;Month-to-month;1;Credit card (automatic);695;175265;0
7495-OOKFY;Female;1;1;0;8;1;Fiber optic;0;1;0;0;0;0;Month-to-month;1;Credit card (automatic);8065;6333;1
4667-QONEA;Female;1;1;1;60;1;DSL;1;1;1;1;0;1;One year;1;Credit card (automatic);7485;445635;0
1658-BYGOY;Male;1;0;0;18;1;Fiber optic;0;0;0;0;1;1;Month-to-month;1;Electronic check;9545;175255;1
8769-KKTPH;Female;0;1;1;63;1;Fiber optic;1;0;0;0;1;1;One year;1;Credit card (automatic);9965;63112;0
5067-XJQFU;Male;1;1;1;66;1;Fiber optic;0;1;1;1;1;1;One year;1;Electronic check;10845;707635;0
3957-SQXML;Female;0;1;1;34;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);2495;8943;0
5954-BDFSG;Female;0;0;0;72;1;Fiber optic;0;0;1;1;1;1;Two year;1;Credit card (automatic);1075;78537;0
0434-CSFON;Female;0;1;0;47;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Electronic check;1005;47071;0
1215-FIGMP;Male;0;0;0;60;1;Fiber optic;0;1;0;0;1;0;Month-to-month;1;Bank transfer (automatic);899;54507;0
0526-SXDJP;Male;0;1;0;72;0;DSL;1;1;1;0;0;0;Two year;0;Bank transfer (automatic);421;2962;0
0557-ASKVU;Female;0;1;1;18;1;DSL;0;0;1;1;0;0;One year;1;Credit card (automatic);544;9571;0
5698-BQJOH;Female;0;0;0;9;1;Fiber optic;0;0;0;0;1;1;Month-to-month;0;Electronic check;944;85725;1
5122-CYFXA;Female;0;0;0;3;1;DSL;0;1;0;1;1;1;Month-to-month;1;Electronic check;753;2441;0
8627-ZYGSZ;Male;0;1;0;47;1;Fiber optic;0;1;0;0;0;0;One year;1;Electronic check;789;365035;0
3410-YOQBQ;Female;0;0;0;31;1;DSL;0;1;1;1;1;1;Two year;0;Mailed check;792;24972;0
3170-NMYVV;Female;0;1;1;50;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);2015;9309;0
7410-OIEDU;Male;0;0;0;10;1;Fiber optic;1;0;1;0;0;0;Month-to-month;1;Mailed check;7985;88735;0
2273-QCKXA;Male;0;0;0;1;1;DSL;0;0;0;1;0;0;Month-to-month;0;Mailed check;4905;4905;0
0731-EBJQB;Female;0;1;1;52;1;No;0;0;0;0;0;0;One year;1;Electronic check;204;109065;0
1891-QRQSA;Male;1;1;1;64;1;Fiber optic;1;0;1;1;1;1;Two year;1;Bank transfer (automatic);1116;7099;0
8028-PNXHQ;Male;0;1;1;62;1;No;0;0;0;0;0;0;Two year;1;Bank transfer (automatic);2425;14246;0
5630-AHZIL;Female;0;0;1;3;1;DSL;1;0;0;1;0;1;Month-to-month;1;Bank transfer (automatic);645;1774;0
2673-CXQEU;Female;1;0;0;56;1;Fiber optic;1;1;1;0;1;1;One year;0;Electronic check;1105;61395;0
6416-JNVRK;Female;0;0;0;46;1;DSL;0;0;0;0;0;1;One year;0;Credit card (automatic);5565;268885;0
5590-ZSKRV;Female;0;1;1;8;1;DSL;1;1;0;0;0;0;Month-to-month;0;Mailed check;5465;48225;0
0191-ZHSKZ;Male;1;0;0;30;1;DSL;1;1;0;0;1;1;Month-to-month;1;Electronic check;7475;21113;0
3887-PBQAO;Female;0;1;1;45;1;No;0;0;0;0;0;0;One year;1;Credit card (automatic);259;12166;0
5919-TMRGD;Female;0;0;1;1;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;7935;7935;1
8108-UXRQN;Female;0;1;1;11;0;DSL;1;0;0;0;1;1;Month-to-month;0;Electronic check;5055;56535;0
9191-MYQKX;Female;0;1;0;7;1;Fiber optic;0;0;1;0;0;0;Month-to-month;1;Bank transfer (automatic);7515;4969;1
9919-YLNNG;Female;0;0;0;42;1;Fiber optic;0;1;1;1;1;1;Month-to-month;1;Bank transfer (automatic);1038;43275;0
0318-ZOPWS;Female;0;1;0;49;1;No;0;0;0;0;0;0;Two year;1;Bank transfer (automatic);2015;97335;0
4445-ZJNMU;Male;0;0;0;9;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Credit card (automatic);993;91875;0
4808-YNLEU;Female;0;1;0;35;1;DSL;1;0;0;0;1;0;One year;1;Bank transfer (automatic);6215;221545;0
1862-QRWPE;Female;0;1;1;48;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);2065;1057;0
2796-NNUFI;Female;0;1;1;46;1;No;0;0;0;0;0;0;Two year;1;Mailed check;1995;9271;0
3016-KSVCP;Male;0;1;0;29;0;DSL;0;0;0;0;1;0;Month-to-month;0;Mailed check;3375;100925;0
4767-HZZHQ;Male;0;1;1;30;1;Fiber optic;0;1;1;0;0;0;Month-to-month;0;Bank transfer (automatic);8205;25702;0
2424-WVHPL;Male;1;0;0;1;1;Fiber optic;0;0;0;1;0;0;Month-to-month;0;Electronic check;747;747;0
7233-PAHHL;Male;0;1;1;66;1;DSL;1;0;1;1;1;1;Two year;1;Mailed check;84;571425;0
6067-NGCEU;Female;0;0;0;65;1;Fiber optic;1;1;1;0;1;1;Month-to-month;1;Credit card (automatic);11105;7107;0
9848-JQJTX;Male;0;0;0;72;1;Fiber optic;0;1;1;0;1;1;Two year;1;Bank transfer (automatic);1009;745905;0
8637-XJIVR;Female;0;0;0;12;1;Fiber optic;1;0;0;0;0;0;Month-to-month;1;Electronic check;7895;92735;1
9803-FTJCG;Male;0;1;1;71;1;DSL;1;1;0;1;0;0;One year;1;Credit card (automatic);6685;47487;0
0278-YXOOG;Male;0;0;0;5;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;2105;11385;1
3212-KXOCR;Male;0;0;0;52;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);21;11072;0
4598-XLKNJ;Female;1;1;0;25;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Electronic check;985;25145;1
6380-ARCEH;Male;0;0;0;1;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;202;202;0
3679-XASPY;Female;0;1;1;1;1;No;0;0;0;0;0;0;Month-to-month;0;Electronic check;1945;1945;0
7123-WQUHX;Male;0;0;0;38;1;Fiber optic;0;0;1;1;1;0;One year;0;Bank transfer (automatic);95;36056;0
5386-THSLQ;Female;1;1;0;66;0;DSL;0;1;1;0;1;0;One year;0;Bank transfer (automatic);4555;302725;0
3192-NQECA;Male;0;1;0;68;1;Fiber optic;0;1;1;1;1;1;Two year;1;Bank transfer (automatic);110;761185;1
6180-YBIQI;Male;0;0;0;5;0;DSL;0;0;0;0;0;0;Month-to-month;0;Mailed check;243;1002;0
6728-DKUCO;Female;0;1;1;72;1;Fiber optic;1;1;0;0;1;1;One year;1;Electronic check;10415;730305;0
9750-BOOHV;Female;0;0;0;32;0;DSL;1;0;0;0;0;0;One year;0;Mailed check;3015;92765;0
8597-CWYHH;Male;0;0;0;43;1;Fiber optic;0;0;0;0;1;1;One year;0;Mailed check;9435;39213;0
2848-YXSMW;Male;0;1;1;72;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);194;136325;0
0486-HECZI;Male;0;1;0;55;1;Fiber optic;1;1;0;0;1;0;Month-to-month;1;Electronic check;9675;52389;1
4549-ZDQYY;Female;0;0;0;52;1;DSL;1;0;1;1;0;0;One year;0;Credit card (automatic);5795;304225;0
5712-AHQNN;Female;0;0;0;43;1;Fiber optic;0;1;1;0;1;0;Month-to-month;1;Electronic check;9165;39541;0
4846-WHAFZ;Female;1;1;0;37;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;765;286815;1
5256-SKJGO;Female;0;1;1;64;0;DSL;0;1;0;1;1;1;Two year;1;Electronic check;546;34235;0
3071-VBYPO;Male;0;1;1;3;1;Fiber optic;1;1;0;0;1;0;Month-to-month;0;Electronic check;8985;2484;0
9560-BBZXK;Female;0;0;0;36;0;DSL;1;0;0;0;0;0;Two year;0;Bank transfer (automatic);3105;112635;0
5299-RULOA;Female;0;1;1;10;1;Fiber optic;1;0;0;0;1;1;Month-to-month;1;Electronic check;10025;106465;1
8402-OOOHJ;Female;0;0;0;41;1;No;0;0;0;0;0;0;Two year;0;Mailed check;2065;83515;0
9445-ZUEQE;Male;0;1;1;27;1;Fiber optic;0;1;0;1;0;0;Month-to-month;1;Credit card (automatic);852;21516;0
1091-SOZGA;Female;0;1;1;56;1;Fiber optic;0;0;1;0;1;1;One year;1;Credit card (automatic);998;551545;0
2928-HLDBA;Female;0;0;0;6;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;207;11275;0
0404-SWRVG;Male;0;0;0;3;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;744;22955;1
6497-TILVL;Female;0;1;1;7;1;DSL;1;0;0;0;0;0;Month-to-month;0;Mailed check;507;35035;0
7219-TLZHO;Female;0;1;1;4;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;2085;629;0
4622-YNKIJ;Male;0;0;0;33;1;Fiber optic;1;0;0;1;1;0;Two year;1;Electronic check;8895;302765;0
4412-YLTKF;Female;1;0;0;27;1;Fiber optic;0;0;1;0;0;0;Month-to-month;1;Electronic check;7805;21355;1
6734-PSBAW;Male;0;1;0;72;1;No;0;0;0;0;0;0;Two year;1;Bank transfer (automatic);2355;172395;0
3930-ZGWVE;Male;0;0;0;1;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;1975;1975;0
2639-UGMAZ;Male;1;0;0;71;0;DSL;1;1;0;0;1;1;One year;1;Electronic check;5645;398535;0
2876-GZYZC;Female;0;0;0;13;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Electronic check;8595;121565;0
6207-WIOLX;Female;0;1;1;25;0;DSL;1;1;1;0;1;1;Month-to-month;1;Credit card (automatic);586;150265;1
8587-XYZSF;Male;0;0;0;67;1;DSL;0;0;0;1;0;0;Two year;0;Bank transfer (automatic);5055;32601;0
3091-FYHKI;Male;0;0;0;1;0;DSL;0;0;0;0;0;1;Month-to-month;1;Electronic check;3545;3545;1
2372-HWUHI;Male;0;0;0;2;1;DSL;0;0;0;0;0;0;Month-to-month;0;Electronic check;4435;8125;1
7799-LGRDP;Female;0;0;0;43;1;No;0;0;0;0;0;0;Two year;1;Credit card (automatic);257;11882;0
7850-VWJUU;Female;0;0;0;23;1;Fiber optic;1;0;0;0;0;0;Month-to-month;1;Bank transfer (automatic);75;17785;0
3774-VBNXY;Female;0;1;1;64;1;No;0;0;0;0;0;0;Two year;0;Mailed check;202;127775;0
6217-KDYWC;Male;0;0;1;57;1;No;0;0;0;0;0;0;Two year;1;Mailed check;196;117055;0
0390-DCFDQ;Female;1;1;0;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Mailed check;7045;7045;1
3146-MSEGF;Female;1;1;1;72;1;DSL;1;1;1;1;1;1;Two year;1;Credit card (automatic);8805;642565;0
4080-OGPJL;Female;0;0;0;8;1;DSL;1;0;0;1;0;1;Month-to-month;0;Electronic check;7115;56365;1
1095-WGNGG;Female;0;1;0;61;1;Fiber optic;0;1;0;0;1;1;Two year;1;Bank transfer (automatic);10105;597125;0
2636-SJDOU;Male;0;0;0;64;1;Fiber optic;1;1;0;0;0;0;One year;1;Credit card (automatic);843;528905;0
1131-QQZEB;Male;1;1;0;71;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);2395;17562;0
5716-EZXZN;Female;0;1;1;65;1;Fiber optic;1;1;0;1;1;0;Two year;1;Credit card (automatic);9905;64167;0
6837-BJYDQ;Male;0;0;0;3;1;No;0;0;0;0;0;0;One year;0;Mailed check;196;6135;0
2135-RXIHG;Male;0;0;0;1;1;DSL;0;0;0;0;0;0;Month-to-month;1;Electronic check;4565;4565;1
6440-DKQGE;Male;0;0;1;30;1;DSL;0;1;1;0;1;0;One year;0;Credit card (automatic);645;192995;0
3466-BYAVD;Male;0;1;1;15;1;DSL;0;1;1;1;0;1;Month-to-month;1;Mailed check;695;10714;0
3780-YVMFA;Female;0;1;1;8;1;DSL;0;0;0;1;1;1;Month-to-month;1;Electronic check;6855;56435;0
3874-EQOEP;Male;0;0;0;7;1;Fiber optic;0;0;0;0;1;1;Month-to-month;0;Mailed check;95;6555;1
1679-JRFBR;Female;0;1;1;70;1;Fiber optic;1;1;1;0;1;1;One year;1;Credit card (automatic);10815;793055;0
9073-ZZIAY;Male;0;1;1;62;1;DSL;1;1;1;1;1;1;Two year;0;Electronic check;861;521525;0
3077-RSNTJ;Female;0;1;1;6;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;197;1135;0
6551-GNYDG;Female;0;1;1;14;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Bank transfer (automatic);809;11528;0
9167-APMXZ;Female;0;0;0;22;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Bank transfer (automatic);8415;182195;0
2749-CTKAJ;Male;0;1;1;22;1;No;0;0;0;0;0;0;One year;0;Mailed check;2015;4199;0
6371-NZYEG;Male;0;1;1;16;1;DSL;1;0;1;0;1;0;Two year;0;Mailed check;6425;1024;0
7554-NEWDD;Male;0;0;0;10;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);257;2516;0
8992-VONJD;Female;0;0;1;13;1;DSL;1;1;0;0;0;0;Month-to-month;1;Electronic check;56;76455;0
0867-MKZVY;Female;0;1;0;20;1;Fiber optic;1;0;0;0;0;0;Month-to-month;0;Electronic check;824;159235;1
4482-EWFMI;Female;0;0;0;2;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;697;1352;0
4648-YPBTM;Male;0;0;0;53;1;DSL;0;1;1;1;0;1;Two year;1;Bank transfer (automatic);739;395825;0
2907-ILJBN;Female;0;1;1;11;1;No;0;0;0;0;0;0;One year;0;Mailed check;206;2339;0
6345-FZOQH;Male;0;1;0;69;1;No;0;0;0;0;0;0;Two year;0;Mailed check;199;136345;0
3376-BMGFE;Female;0;0;0;4;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Bank transfer (automatic);709;273;1
5997-OPVFA;Male;0;1;0;72;1;DSL;1;1;1;1;1;1;Two year;1;Bank transfer (automatic);8905;625445;0
3445-HXXGF;Male;1;1;0;58;0;DSL;0;1;1;0;0;1;Month-to-month;1;Electronic check;453;26512;1
1159-WFSGR;Female;0;1;1;16;1;No;0;0;0;0;0;0;Month-to-month;0;Electronic check;204;3214;0
7654-YWJUF;Male;0;1;0;43;1;Fiber optic;1;0;1;1;0;0;One year;1;Bank transfer (automatic);8425;353925;0
1875-QIVME;Female;0;1;0;2;1;Fiber optic;0;0;1;1;1;1;Month-to-month;1;Electronic check;1044;2428;1
6727-IOTLZ;Male;0;1;0;14;1;DSL;0;1;1;1;1;1;Two year;0;Mailed check;8195;118175;0
0691-JVSYA;Female;0;1;0;53;1;Fiber optic;0;0;1;0;1;1;One year;1;Bank transfer (automatic);9485;50002;1
5918-VUKWP;Female;0;0;0;32;1;No;0;0;0;0;0;0;One year;0;Bank transfer (automatic);2055;65455;0
1744-JHKYS;Female;0;1;0;34;1;No;0;0;0;0;0;0;Month-to-month;0;Electronic check;247;7802;0
2656-FMOKZ;Female;1;0;0;15;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Mailed check;7445;11457;1
2070-FNEXE;Female;1;0;0;7;1;Fiber optic;1;0;0;0;0;0;Month-to-month;0;Bank transfer (automatic);7645;5036;1
5947-SGKCL;Female;0;1;1;15;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Bank transfer (automatic);10535;155925;0
3712-PKXZA;Male;0;1;0;61;1;No;0;0;0;0;0;0;One year;1;Credit card (automatic);2055;1252;0
6317-YPKDH;Female;0;0;0;1;0;DSL;0;1;0;0;0;0;Month-to-month;0;Bank transfer (automatic);2995;2995;1
6582-OIVSP;Female;0;0;0;1;1;DSL;0;0;0;0;0;0;Month-to-month;0;Mailed check;453;453;0
9367-WXLCH;Male;0;0;0;8;1;Fiber optic;0;0;0;0;0;1;Month-to-month;0;Bank transfer (automatic);845;66265;1
5524-KHNJP;Male;0;1;1;33;1;DSL;1;0;1;0;1;1;One year;0;Credit card (automatic);7475;24533;0
1918-ZBFQJ;Female;0;0;0;13;1;Fiber optic;0;1;1;0;0;0;Month-to-month;1;Electronic check;7925;111165;1
1024-GUALD;Female;0;1;0;1;0;DSL;0;0;0;0;0;0;Month-to-month;1;Electronic check;248;248;1
4827-USJHP;Male;0;0;0;20;1;DSL;0;1;0;0;0;0;Month-to-month;1;Mailed check;518;102385;0
8167-GJLRN;Male;0;0;0;3;0;DSL;0;0;0;1;0;0;Month-to-month;0;Electronic check;304;8215;0
0956-SYCWG;Female;0;0;0;13;1;No;0;0;0;0;0;0;One year;0;Electronic check;1965;2448;0
8017-UVSZU;Female;0;1;0;40;1;DSL;0;1;0;0;0;0;Month-to-month;0;Credit card (automatic);566;23791;0
7100-FQPRV;Male;0;1;1;43;1;DSL;1;0;0;1;0;1;One year;1;Credit card (automatic);719;317335;0
2472-OVKUP;Male;0;1;0;6;1;Fiber optic;0;1;1;0;0;1;Month-to-month;1;Electronic check;91;531;1
2984-RGEYA;Female;0;1;1;69;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);1975;13754;0
9680-NIAUV;Female;0;1;1;72;1;Fiber optic;1;1;1;0;1;1;Two year;0;Credit card (automatic);1097;81293;0
2146-EGVDT;Male;0;1;1;59;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);193;11927;0
2604-IJPDU;Female;0;1;0;20;1;Fiber optic;1;1;0;1;1;0;Month-to-month;1;Electronic check;9655;190165;0
9178-JHUVJ;Male;0;1;1;24;1;No;0;0;0;0;0;0;Two year;1;Bank transfer (automatic);241;5874;0
6168-YBYNP;Male;0;0;0;59;1;Fiber optic;0;1;1;1;1;1;Month-to-month;1;Electronic check;11135;651975;0
7255-SSFBC;Male;0;1;1;72;1;Fiber optic;0;1;1;1;1;1;Two year;1;Bank transfer (automatic);11225;804165;0
3645-DEYGF;Male;0;0;1;1;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;2075;2075;0
9323-HGFWY;Female;0;1;0;27;1;Fiber optic;1;0;0;1;1;1;One year;1;Credit card (automatic);1019;268115;0
8544-GOQSH;Female;0;0;0;14;1;Fiber optic;0;1;0;1;0;0;Month-to-month;1;Credit card (automatic);8005;11123;0
3363-DTIVD;Male;0;1;1;71;1;Fiber optic;1;0;1;0;1;1;Two year;0;Electronic check;10555;74055;0
7018-WBJNK;Male;0;0;1;13;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Credit card (automatic);783;103395;0
9142-KZXOP;Male;0;0;0;44;1;Fiber optic;0;0;0;0;0;0;Month-to-month;0;Credit card (automatic);6885;295895;0
7674-YTAFD;Female;0;0;0;33;1;Fiber optic;0;1;0;1;0;0;One year;1;Bank transfer (automatic);7995;268485;0
6348-SNFUS;Male;0;1;1;72;0;DSL;1;1;1;1;0;1;Two year;1;Credit card (automatic);5545;41792;0
1285-OKIPP;Male;0;0;0;1;1;Fiber optic;0;0;0;0;0;1;Month-to-month;0;Electronic check;799;799;1
7825-ECJRF;Female;0;0;0;19;1;Fiber optic;1;0;1;1;1;1;Month-to-month;1;Electronic check;1066;193445;1
1347-KTTTA;Male;0;1;0;64;1;Fiber optic;0;1;1;1;1;1;One year;1;Credit card (automatic);10245;66541;0
7841-TZDMQ;Male;0;0;0;2;1;DSL;0;0;0;0;0;0;Month-to-month;1;Credit card (automatic);46;845;1
4195-NZGTA;Female;0;0;0;1;0;DSL;0;0;0;0;0;0;Month-to-month;0;Electronic check;2525;2525;0
7157-SMCFK;Male;0;0;1;61;1;No;0;0;0;0;0;0;Two year;0;Mailed check;1975;11242;0
4709-LKHYG;Female;0;1;1;29;1;No;0;0;0;0;0;0;One year;0;Electronic check;20;54005;0
2504-DSHIH;Male;1;1;0;23;1;Fiber optic;0;0;0;0;0;1;Month-to-month;0;Electronic check;868;197585;0
0699-NDKJM;Female;0;1;0;57;0;DSL;1;1;1;0;1;1;Month-to-month;1;Bank transfer (automatic);5875;343745;0
9286-BHDQG;Male;0;1;1;72;0;DSL;1;1;1;1;0;0;Two year;0;Credit card (automatic);4525;31398;0
0230-WEQUW;Male;0;1;0;66;0;DSL;1;1;1;1;1;0;Two year;1;Bank transfer (automatic);566;37892;0
2040-LDIWQ;Male;0;1;1;65;1;DSL;0;1;1;1;1;1;Two year;1;Bank transfer (automatic);842;53245;0
6496-JDSSB;Female;0;0;0;8;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Bank transfer (automatic);80;6246;0
9408-SSNVZ;Female;0;0;0;4;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;7015;26835;1
4443-EMBNA;Female;0;1;0;71;1;No;0;0;0;0;0;0;Two year;0;Bank transfer (automatic);2475;18369;0
