budget;imdb_score
4000000;7.2
4000000;7.3
4000000;7.8
4000000;8.0
4000000;7.3
4000000;6.6
4000000;5.4
4000000;6.9
4000000;7.7
4000000;7.7
4000000;5.8
4000000;6.1
4000000;6.0
4000000;7.5
4000000;6.0
4000000;8.0
4000000;7.9
4000000;8.1
4000000;4.7
4000000;6.7
4000000;6.9
4000000;4.8
4000000;8.0
4000000;5.0
4000000;4.7
4000000;4.2
4000000;8.5
4000000;7.6
4000000;6.6
4000000;6.7
4000000;3.1
4000000;6.1
4000000;8.1
4000000;6.7
4000000;7.1
4000000;7.3
4000000;6.8
4000000;6.7
4000000;7.1
4000000;5.0
4000000;6.6
4000000;6.3
4000000;4.7
4000000;7.3
4000000;7.3
4000000;8.1
4000000;7.4
4000000;6.3
4000000;4.6
4000000;7.3
4000000;5.9
4000000;6.3
4000000;6.5
4000000;6.2
4000000;7.0
4000000;6.3
4000000;5.2
4000000;5.7
4000000;6.1
4200000;5.2
4200000;6.5
4300000;6.6
4400000;5.9
4400000;8.7
4400000;6.7
4490375;6.8
4500000;5.8
4500000;6.7
4500000;7.3
4500000;5.6
4500000;7.2
4500000;7.4
4500000;8.4
4500000;7.1
4500000;4.3
4500000;7.7
4500000;7.8
4500000;5.7
4500000;7.1
4500000;6.6
4500000;7.3
4500000;7.4
4500000;8.1
4500000;5.9
4500000;6.2
4500000;5.7
4600000;5.9
4600000;7.2
4700000;3.2
4700000;6.2
4700000;5.5
4700000;6.7
4800000;5.7
4800000;5.9
4800000;7.7
4825000;7.2
4900000;6.9
5000000;7.4
5000000;3.5
5000000;5.4
5000000;5.4
5000000;6.6
5000000;6.9
5000000;6.5
5000000;6.6
5000000;4.7
5000000;6.8
5000000;6.7
5000000;7.6
5000000;8.2
5000000;8.0
5000000;7.4
5000000;7.2
5000000;6.7
5000000;6.4
5000000;7.5
5000000;5.3
5000000;7.2
5000000;6.9
5000000;7.0
5000000;6.6
5000000;7.7
5000000;6.8
5000000;4.6
5000000;6.4
5000000;6.8
5000000;7.0
5000000;6.7
5000000;7.1
5000000;3.4
5000000;5.0
5000000;8.6
5000000;6.1
5000000;6.8
5000000;6.6
5000000;5.8
5000000;4.4
5000000;4.6
5000000;4.5
5000000;7.7
5000000;7.5
5000000;7.1
5000000;6.5
5000000;7.6
5000000;6.2
5000000;6.5
5000000;6.5
5000000;5.1
5000000;6.6
5000000;4.5
5000000;6.6
5000000;5.6
5000000;7.3
5000000;7.0
5000000;7.2
5000000;5.9
5000000;7.9
5000000;6.2
5000000;4.4
5000000;4.6
5000000;7.7
5000000;7.2
5000000;7.0
5000000;6.2
5000000;7.1
5000000;6.6
5000000;7.6
5000000;6.6
5000000;6.6
5000000;7.1
5000000;5.0
5000000;6.2
5000000;6.1
5000000;5.2
5000000;6.4
5000000;4.9
5000000;3.8
5000000;5.9
5000000;5.2
5000000;6.8
5000000;5.3
5000000;6.4
5000000;7.4
5000000;7.0
5000000;7.7
5000000;7.0
5000000;6.3
5000000;7.1
5000000;6.1
5000000;6.2
5000000;3.3
5000000;4.2
5000000;7.2
5000000;5.5
5000000;4.4
5000000;6.8
5000000;4.8
5000000;7.4
5000000;4.0
5000000;3.5
5000000;4.1
5100000;7.3
5250000;5.0
5300000;7.3
5500000;8.3
5500000;6.1
5500000;7.9
5500000;5.6
5500000;7.7
5500000;7.1
5500000;5.6
5500000;7.2
5500000;4.9
5600000;6.6
5600000;6.9
5600000;2.1
5952000;7.3
6000000;4.3
6000000;7.5
6000000;4.7
6000000;4.0
6000000;8.3
6000000;8.3
6000000;9.2
6000000;7.8
6000000;7.8
6000000;6.3
6000000;7.0
6000000;7.4
6000000;6.7
6000000;6.7
6000000;7.2
6000000;7.3
6000000;7.0
6000000;2.9
6000000;7.2
6000000;7.6
6000000;7.5
6000000;7.2
6000000;6.1
6000000;5.4
6000000;5.8
6000000;7.8
6000000;7.8
6000000;6.1
6000000;5.0
6000000;5.4
6000000;7.2
6000000;7.2
6000000;6.9
6000000;6.4
6000000;6.2
6000000;5.9
6000000;7.2
6000000;5.1
6000000;5.3
6000000;7.0
6000000;6.7
6000000;6.2
6000000;6.2
6000000;7.7
6000000;8.3
6000000;7.2
6000000;3.8
6000000;7.4
6000000;7.9
6000000;5.7
6000000;7.6
6000000;6.9
6000000;7.6
6000000;8.6
6000000;6.1
6000000;7.7
6000000;7.1
6000000;7.3
6000000;5.8
6000000;7.0
6000000;5.4
6000000;6.5
6000000;6.7
6000000;6.1
6200000;3.3
6400000;7.0
6500000;4.6
6500000;7.3
6500000;6.7
6500000;7.6
6500000;7.3
6500000;7.3
6500000;7.9
6500000;6.2
6500000;7.7
6500000;7.3
6500000;6.8
6500000;6.3
6500000;5.8
6500000;5.4
6500000;5.9
6500000;6.8
6500000;8.1
6500000;7.9
6500000;7.9
6500000;7.1
6500000;7.2
6500000;3.6
6500000;6.9
6600000;5.7
6800000;7.0
6800000;6.4
6900000;7.7
6900000;5.6
7000000;6.8
7000000;5.9
7000000;5.3
7000000;6.8
7000000;7.6
7000000;6.1
7000000;7.4
7000000;7.3
7000000;7.0
7000000;7.6
7000000;6.5
7000000;6.6
7000000;6.4
7000000;6.3
7000000;7.1
7000000;6.9
7000000;7.7
7000000;7.4
7000000;7.1
7000000;6.3
7000000;4.8
7000000;5.3
7000000;6.9
7000000;6.0
7000000;6.9
7000000;4.0
7000000;4.8
7000000;7.3
7000000;7.6
7000000;7.6
7000000;6.4
7000000;6.2
7000000;7.9
7000000;6.3
7000000;6.7
7000000;6.5
7000000;4.8
7000000;7.4
7000000;6.7
7000000;2.0
7000000;6.8
7000000;6.5
7000000;7.7
7000000;6.1
7000000;5.7
7000000;5.5
7000000;6.8
7000000;7.0
7000000;6.8
7000000;7.2
7000000;5.2
7000000;6.1
7000000;6.2
7000000;6.2
7000000;7.5
7000000;6.0
7000000;7.9
7000000;6.0
7000000;5.8
7200000;7.2
7200000;6.7
7217600;6.9
7300000;7.2
7400000;7.1
7500000;6.7
7500000;4.8
7500000;3.1
7500000;8.6
7500000;6.9
7500000;7.4
7500000;7.5
7500000;7.1
7500000;6.0
7500000;6.9
7500000;7.5
7500000;7.7
7500000;7.5
7500000;6.0
7500000;6.8
7500000;7.2
7500000;6.3
7500000;5.6
7500000;3.5
7500000;5.1
7623000;7.2
7840000;7.4
7900000;6.9
8000000;4.2
8000000;6.5
8000000;5.1
8000000;6.7
8000000;6.6
8000000;6.9
8000000;2.7
8000000;7.6
8000000;7.3
8000000;7.2
8000000;8.9
8000000;7.9
8000000;8.1
8000000;7.6
8000000;5.4
8000000;6.9
8000000;4.0
8000000;6.4
8000000;5.3
8000000;8.0
8000000;6.7
8000000;6.9
8000000;7.5
8000000;4.4
8000000;6.2
8000000;6.9
8000000;5.9
8000000;8.0
8000000;6.9
8000000;6.9
8000000;3.5
8000000;7.4
8000000;7.4
8000000;7.9
8000000;5.6
8000000;5.9
8000000;6.2
8000000;6.5
8000000;7.7
8000000;6.1
8000000;7.4
8000000;5.7
8000000;5.6
8000000;7.1
8000000;7.1
8000000;4.9
8000000;5.3
8000000;7.3
8000000;7.1
8000000;7.2
8000000;5.5
8000000;6.2
8000000;6.1
8000000;5.0
8000000;6.8
8000000;7.2
8000000;7.2
8000000;6.8
8000000;7.7
8000000;8.0
8000000;5.9
8000000;6.4
8000000;6.8
8000000;7.0
8000000;7.1
8000000;7.6
8000000;5.6
8000000;5.2
8000000;6.4
8000000;7.0
8000000;6.3
8000000;6.0
8000000;6.5
8000000;6.0
8000000;6.4
8000000;4.6
8000000;5.1
8000000;6.6
8200000;6.1
8200000;6.8
8200000;6.5
8200000;6.5
8200000;8.0
8300000;6.0
8300000;6.4
8400000;6.1
8495000;4.5
8500000;5.0
8500000;6.5
8500000;5.7
8500000;5.6
8500000;7.5
8500000;6.9
8500000;7.0
8500000;6.7
8500000;5.0
8500000;6.7
8500000;7.9
8500000;4.9
8550000;5.6
8600000;6.5
8600000;5.8
8700000;7.2
8700000;7.1
8800000;6.5
8800000;6.1
8900000;7.9
9000000;7.4
9000000;7.4
9000000;7.1
9000000;6.9
9000000;7.7
9000000;6.6
9000000;6.7
9000000;8.0
9000000;7.0
9000000;7.6
9000000;6.2
9000000;6.9
9000000;6.5
9000000;4.5
9000000;6.1
9000000;6.4
9000000;5.4
9000000;6.7
9000000;8.0
9000000;4.9
9000000;5.7
9000000;4.2
9000000;6.5
9000000;6.8
9000000;5.7
9000000;5.9
9000000;6.8
9000000;6.2
9000000;5.1
9000000;5.6
9000000;7.1
9000000;7.0
9000000;6.8
9000000;6.5
9000000;5.7
9000000;5.3
9000000;5.3
9000000;8.5
9200000;7.7
9300000;6.7
9400000;7.6
9500000;6.1
9500000;7.8
9500000;5.1
9500000;6.9
9500000;7.0
9600000;7.9
9600000;6.7
9800000;7.3
10000000;4.8
10000000;6.2
10000000;7.8
10000000;3.3
10000000;5.3
10000000;3.5
10000000;5.2
10000000;2.3
10000000;5.7
10000000;5.8
10000000;5.9
10000000;7.3
10000000;8.3
10000000;7.3
10000000;7.3
10000000;5.6
10000000;7.2
10000000;6.6
10000000;7.4
10000000;7.0
10000000;8.0
10000000;5.6
10000000;6.7
10000000;6.5
10000000;6.3
10000000;6.9
10000000;5.0
10000000;6.2
10000000;5.5
10000000;6.0
10000000;7.3
10000000;6.9
10000000;5.4
10000000;6.7
10000000;6.7
10000000;7.4
10000000;5.4
10000000;6.9
10000000;6.8
10000000;4.1
10000000;7.1
10000000;6.5
10000000;4.5
10000000;6.6
10000000;7.4
10000000;7.5
10000000;5.8
10000000;6.2
10000000;5.9
10000000;6.1
10000000;5.3
10000000;8.1
10000000;6.5
10000000;5.8
10000000;6.5
10000000;6.5
10000000;7.4
10000000;7.0
10000000;5.3
10000000;5.5
10000000;5.2
10000000;7.7
10000000;7.0
10000000;7.1
10000000;7.2
10000000;5.7
10000000;7.2
10000000;6.7
10000000;3.6
10000000;6.5
10000000;3.9
10000000;6.9
10000000;5.4
10000000;7.0
10000000;6.9
10000000;5.4
10000000;6.5
10000000;6.7
10000000;4.2
10000000;5.5
10000000;6.3
10000000;3.8
10000000;5.8
10000000;6.8
10000000;5.9
10000000;6.4
10000000;7.3
10000000;7.3
10000000;6.5
10000000;7.6
10000000;7.3
10000000;6.9
10000000;7.2
10000000;6.1
10000000;5.5
10000000;5.9
10000000;6.7
10000000;6.0
10000000;6.3
10000000;6.1
10000000;7.2
10000000;5.2
10000000;4.7
10000000;5.9
10000000;5.9
10000000;5.3
10000000;4.4
10000000;6.8
10000000;6.5
10000000;6.3
10000000;6.8
10000000;7.4
10000000;6.1
10000000;5.6
10000000;4.8
10000000;6.2
10000000;7.2
10000000;5.7
10000000;6.3
10000000;5.2
10000000;6.1
10000000;5.7
10000000;4.6
10000000;5.2
10000000;5.3
10500000;6.4
10500000;6.9
10500000;7.9
10500000;6.7
10500000;4.5
10600000;5.4
10700000;7.4
10700000;7.4
10800000;5.8
11000000;7.0
11000000;6.9
11000000;5.1
11000000;5.3
11000000;6.9
11000000;7.5
11000000;4.6
11000000;7.6
11000000;7.3
11000000;6.4
11000000;6.8
11000000;7.1
11000000;7.7
11000000;5.9
11000000;6.6
11000000;7.3
11000000;6.9
11000000;7.2
11000000;7.4
11000000;6.8
11000000;7.4
11000000;6.0
11000000;7.1
11000000;4.5
11000000;6.8
11000000;7.4
11000000;7.5
11000000;5.3
11000000;7.8
11000000;5.4
11000000;6.2
11000000;5.1
11000000;4.3
11000000;7.7
11000000;8.7
11000000;7.1
11000000;8.5
11000000;7.2
11000000;6.3
11000000;4.8
11000000;4.4
11000000;6.3
11000000;7.3
11000000;5.3
11000000;6.7
11000000;4.9
11400000;6.6
11500000;6.0
11500000;6.6
11500000;7.9
11500000;6.0
11500000;6.6
11900000;7.5
12000000;6.9
12000000;6.9
12000000;6.6
12000000;4.3
12000000;5.4
12000000;6.3
12000000;4.6
12000000;6.8
12000000;6.7
12000000;6.4
12000000;4.3
12000000;6.3
12000000;3.3
12000000;7.4
12000000;7.6
12000000;7.8
12000000;6.3
12000000;6.3
12000000;6.2
12000000;5.0
12000000;7.0
12000000;7.1
12000000;6.0
12000000;7.5
12000000;5.8
12000000;6.2
12000000;3.3
12000000;5.3
12000000;7.3
12000000;4.3
12000000;6.2
12000000;5.9
12000000;7.0
12000000;7.7
12000000;2.8
12000000;7.8
12000000;5.4
12000000;7.5
12000000;6.8
12000000;7.4
12000000;6.6
12000000;6.5
12000000;6.6
12000000;7.4
12000000;7.8
12000000;6.5
12000000;5.3
12000000;6.4
12000000;6.6
12000000;7.8
12000000;2.1
12000000;7.1
12000000;7.0
12000000;6.3
12000000;6.8
12000000;5.5
12000000;5.4
12000000;7.5
12000000;6.1
12000000;5.5
12000000;8.3
12000000;7.0
12000000;4.9
12000000;7.7
12000000;7.2
12000000;7.1
12000000;7.4
12000000;7.5
12000000;7.1
12000000;6.8
12000000;6.0
12000000;7.0
12000000;7.0
12000000;7.0
12000000;6.6
12000000;6.6
12000000;6.4
12000000;5.3
12000000;5.7
12000000;7.1
12000000;6.8
12000000;7.5
12000000;6.9
12000000;6.0
12000000;5.7
12000000;8.0
12000000;5.7
12000000;6.3
12305523;6.2
12500000;7.1
12500000;7.3
12500000;6.9
12500000;6.6
12500000;6.3
12500000;7.3
12500000;7.4
12500000;7.8
12500000;6.1
12500000;7.0
12600000;6.1
12800000;8.0
13000000;5.9
13000000;6.4
13000000;6.1
13000000;5.9
13000000;4.1
13000000;9.0
13000000;6.8
13000000;7.3
13000000;8.3
13000000;5.9
13000000;7.1
13000000;7.1
13000000;4.9
13000000;5.9
13000000;5.4
13000000;7.3
13000000;7.8
13000000;6.4
13000000;5.7
13000000;7.6
13000000;1.6
13000000;5.8
13000000;5.5
13000000;7.0
13000000;6.1
13000000;6.1
13000000;3.8
13000000;7.3
13000000;5.7
13000000;8.0
13000000;6.6
13000000;5.8
13000000;6.3
13000000;5.6
13000000;6.8
13000000;4.6
13000000;8.0
13000000;7.7
13000000;6.1
13000000;6.7
13000000;6.0
13000000;6.1
13000000;6.6
13000000;6.7
13000000;8.0
13000000;6.1
13000000;6.7
13000000;7.1
13000000;6.8
13000000;3.9
13200000;5.6
13400000;3.6
13500000;5.8
13500000;7.4
13500000;4.5
13500000;6.9
13500000;7.8
13500000;7.4
13800000;7.0
14000000;6.0
14000000;5.4
14000000;6.3
14000000;7.3
14000000;7.7
14000000;7.7
14000000;6.7
14000000;6.9
14000000;6.6
14000000;6.5
14000000;6.3
14000000;6.4
14000000;7.0
14000000;6.7
14000000;6.5
14000000;3.7
14000000;6.6
14000000;7.7
14000000;6.9
14000000;5.2
14000000;7.7
14000000;5.0
14000000;5.9
14000000;4.6
14000000;4.9
14000000;6.7
14000000;5.4
14000000;5.7
14000000;7.7
14000000;7.7
14000000;6.5
14000000;6.9
14000000;6.2
14000000;5.1
14000000;5.9
14000000;6.7
14000000;6.2
14000000;4.1
14000000;6.9
14000000;5.9
14000000;7.1
14000000;5.5
14000000;5.7
14000000;5.0
14000000;6.5
14000000;3.9
14000000;5.2
14200000;7.4
14500000;6.2
14500000;6.8
14600000;8.1
14800000;5.7
15000000;5.4
15000000;3.7
15000000;5.7
15000000;7.4
15000000;6.6
15000000;6.4
15000000;4.5
15000000;5.6
15000000;7.4
15000000;4.1
15000000;5.5
15000000;6.0
15000000;8.2
15000000;7.2
15000000;6.4
15000000;8.2
15000000;7.4
15000000;7.6
15000000;8.4
