months_as_customer;age;policy_csl;policy_deductable;policy_annual_premium;umbrella_limit;insured_sex;insured_education_level;insured_occupation;insured_hobbies;insured_relationship;capital-gains;capital-loss;incident_type;collision_type;incident_severity;authorities_contacted;incident_hour_of_the_day;number_of_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_available;total_claim_amount;injury_claim;property_claim;vehicle_claim;auto_year;fraud
473;58;100/300;2000;1131.4;0;FEMALE;MD;transport-moving;movies;other-relative;55700;0;Multi-vehicle Collision;Side Collision;Major Damage;Other;12;4;YES;0;0;NO;63120;10520;10520;42080;1999;Y
70;26;500/1000;1000;1199.44;5000000;MALE;College;machine-op-inspct;hiking;own-child;63600;0;Multi-vehicle Collision;Rear Collision;Major Damage;Other;0;3;Not Defined;1;2;YES;52110;5790;5790;40530;2012;N
140;31;500/1000;500;708.64;6000000;MALE;High School;machine-op-inspct;reading;unmarried;53500;0;Single Vehicle Collision;Side Collision;Total Loss;Police;9;1;NO;0;2;YES;77880;14160;7080;56640;2015;N
160;37;500/1000;500;1374.22;0;FEMALE;MD;craft-repair;yachting;other-relative;45500;-37800;Single Vehicle Collision;Side Collision;Total Loss;Other;19;1;YES;1;0;NO;72930;6630;13260;53040;2015;N
196;39;500/1000;2000;1475.73;0;FEMALE;High School;handlers-cleaners;camping;own-child;57000;-27300;Multi-vehicle Collision;Side Collision;Major Damage;Police;8;3;Not Defined;2;0;NO;60400;6040;6040;48320;2014;N
460;62;250/500;1000;1187.96;4000000;MALE;JD;other-service;bungie-jumping;own-child;0;0;Multi-vehicle Collision;Rear Collision;Minor Damage;Police;20;3;NO;1;0;Not Defined;47160;0;5240;41920;2011;N
217;41;500/1000;2000;875.15;0;FEMALE;Associate;machine-op-inspct;skydiving;own-child;46700;0;Multi-vehicle Collision;Side Collision;Total Loss;Police;15;3;Not Defined;1;2;Not Defined;37840;0;4730;33110;1996;N
370;55;100/300;2000;972.18;0;MALE;High School;prof-specialty;paintball;other-relative;72700;-68200;Multi-vehicle Collision;Rear Collision;Major Damage;Ambulance;20;3;NO;0;0;YES;71520;17880;5960;47680;2000;Y
413;55;100/300;2000;1268.79;0;MALE;MD;priv-house-serv;chess;own-child;0;-31000;Single Vehicle Collision;Front Collision;Total Loss;Ambulance;15;1;Not Defined;2;2;Not Defined;98160;8180;16360;73620;2011;Y
237;40;100/300;1000;883.31;0;MALE;College;craft-repair;kayaking;husband;0;-53500;Single Vehicle Collision;Rear Collision;Minor Damage;Other;6;1;NO;1;3;NO;77880;7080;14160;56640;2005;N
8;35;100/300;2000;1266.92;0;MALE;Masters;sales;polo;own-child;0;0;Multi-vehicle Collision;Rear Collision;Major Damage;Other;16;3;NO;1;3;YES;71500;16500;11000;44000;2006;Y
257;43;100/300;2000;1322.1;0;MALE;High School;prof-specialty;golf;own-child;0;-29200;Parked Car;Not Defined;Minor Damage;Police;4;1;YES;1;3;YES;9020;1640;820;6560;2005;N
202;34;100/300;500;848.07;3000000;MALE;JD;exec-managerial;chess;not-in-family;31000;-30200;Vehicle Theft;Not Defined;Minor Damage;None;5;1;YES;2;1;Not Defined;5720;1040;520;4160;2003;Y
224;40;100/300;2000;1291.7;0;FEMALE;JD;sales;kayaking;not-in-family;0;-55600;Single Vehicle Collision;Side Collision;Minor Damage;Other;21;1;NO;1;0;YES;69840;7760;15520;46560;2009;N
241;45;500/1000;2000;1104.5;0;FEMALE;PhD;machine-op-inspct;basketball;unmarried;0;0;Single Vehicle Collision;Rear Collision;Minor Damage;Police;5;1;NO;2;2;NO;91650;14100;14100;63450;2011;N
64;25;250/500;1000;954.16;0;MALE;Masters;prof-specialty;video-games;husband;53200;0;Multi-vehicle Collision;Side Collision;Major Damage;Ambulance;22;4;NO;0;0;Not Defined;75600;12600;12600;50400;2005;N
166;37;100/300;2000;1337.28;8000000;MALE;JD;craft-repair;reading;husband;27500;0;Multi-vehicle Collision;Side Collision;Major Damage;Police;10;3;NO;2;2;Not Defined;67140;7460;7460;52220;2006;Y
155;35;500/1000;1000;1088.34;0;FEMALE;Associate;adm-clerical;yachting;other-relative;81100;0;Multi-vehicle Collision;Front Collision;Total Loss;Police;16;3;YES;2;3;NO;29790;3310;3310;23170;2008;N
114;30;100/300;1000;1558.29;0;MALE;High School;farming-fishing;video-games;wife;51400;-64000;Multi-vehicle Collision;Front Collision;Major Damage;Ambulance;1;3;NO;1;2;Not Defined;77110;14020;14020;49070;2015;N
149;37;500/1000;500;1415.68;0;MALE;PhD;prof-specialty;yachting;own-child;0;0;Single Vehicle Collision;Side Collision;Total Loss;Fire;17;1;YES;0;1;YES;64800;10800;5400;48600;1999;N
147;33;100/300;1000;1334.15;6000000;MALE;High School;craft-repair;reading;not-in-family;53300;-49200;Single Vehicle Collision;Front Collision;Major Damage;Other;15;1;YES;2;0;YES;53100;10620;5310;37170;1995;Y
62;28;100/300;1000;988.45;0;FEMALE;Masters;protective-serv;camping;unmarried;0;0;Single Vehicle Collision;Rear Collision;Total Loss;Police;3;1;Not Defined;1;1;YES;60200;6020;6020;48160;2004;Y
289;49;500/1000;2000;1222.48;0;FEMALE;JD;priv-house-serv;golf;unmarried;0;0;Parked Car;Not Defined;Minor Damage;None;16;1;NO;1;1;YES;5330;1230;820;3280;2001;N
431;54;500/1000;2000;1155.55;0;FEMALE;MD;craft-repair;bungie-jumping;unmarried;65700;0;Multi-vehicle Collision;Rear Collision;Major Damage;Police;4;3;Not Defined;2;0;Not Defined;62300;12460;6230;43610;2007;N
199;37;250/500;500;1262.08;0;MALE;JD;tech-support;video-games;wife;48500;0;Single Vehicle Collision;Front Collision;Major Damage;Ambulance;4;1;Not Defined;0;3;NO;60170;10940;10940;38290;2011;Y
79;26;100/300;500;1451.62;0;MALE;Associate;tech-support;kayaking;not-in-family;0;-55700;Single Vehicle Collision;Rear Collision;Minor Damage;Ambulance;19;1;NO;2;2;Not Defined;40000;8000;4000;28000;2010;N
116;34;250/500;500;1737.66;0;MALE;Associate;transport-moving;chess;unmarried;0;-24100;Single Vehicle Collision;Side Collision;Major Damage;Police;1;1;Not Defined;1;1;Not Defined;97080;16180;16180;64720;2001;Y
37;23;500/1000;500;1475.93;0;FEMALE;College;prof-specialty;hiking;husband;0;-67400;Multi-vehicle Collision;Side Collision;Minor Damage;Other;17;3;YES;1;0;NO;51660;5740;5740;40180;2010;N
106;30;250/500;500;538.17;0;FEMALE;PhD;transport-moving;reading;own-child;49700;-60200;Single Vehicle Collision;Rear Collision;Total Loss;Other;23;1;NO;2;2;NO;51120;5680;5680;39760;2005;N
269;44;100/300;2000;1081.08;0;MALE;JD;priv-house-serv;reading;unmarried;36400;-28700;Single Vehicle Collision;Front Collision;Minor Damage;Other;14;1;YES;0;2;Not Defined;56400;11280;11280;33840;2014;N
265;40;250/500;1000;1454.43;0;FEMALE;MD;protective-serv;yachting;husband;0;0;Multi-vehicle Collision;Rear Collision;Total Loss;Other;17;3;NO;2;3;Not Defined;55120;6890;0;48230;2002;N
163;33;100/300;500;1240.47;0;FEMALE;Associate;other-service;polo;husband;35300;0;Multi-vehicle Collision;Rear Collision;Total Loss;Fire;11;3;YES;1;1;Not Defined;77110;0;14020;63090;2014;N
355;47;500/1000;2000;1273.7;4000000;MALE;College;other-service;kayaking;husband;0;0;Multi-vehicle Collision;Front Collision;Major Damage;Fire;19;3;NO;2;1;NO;62800;6280;6280;50240;2003;Y
175;34;500/1000;1000;1123.87;8000000;FEMALE;PhD;protective-serv;dancing;other-relative;0;0;Vehicle Theft;Not Defined;Trivial Damage;Police;5;1;Not Defined;2;0;YES;7290;810;810;5670;1995;N
192;35;100/300;1000;1245.89;0;FEMALE;Masters;exec-managerial;movies;wife;0;-40300;Single Vehicle Collision;Rear Collision;Total Loss;Other;19;1;NO;0;0;Not Defined;76600;15320;7660;53620;2000;N
430;59;250/500;2000;1326.62;7000000;MALE;MD;other-service;bungie-jumping;own-child;0;0;Multi-vehicle Collision;Front Collision;Minor Damage;Fire;19;3;Not Defined;0;3;YES;81800;16360;8180;57260;1998;N
91;27;100/300;2000;1073.83;0;FEMALE;JD;farming-fishing;polo;husband;0;0;Vehicle Theft;Not Defined;Trivial Damage;None;4;1;Not Defined;1;2;Not Defined;7260;1320;660;5280;2008;N
217;39;100/300;1000;1530.52;0;MALE;College;armed-forces;basketball;not-in-family;0;0;Vehicle Theft;Not Defined;Minor Damage;None;8;1;Not Defined;2;1;YES;4300;430;430;3440;2000;N
223;40;100/300;500;1201.41;0;FEMALE;JD;priv-house-serv;movies;husband;88400;-46500;Multi-vehicle Collision;Side Collision;Major Damage;Police;7;3;YES;1;0;Not Defined;70510;12820;12820;44870;1999;N
195;39;250/500;1000;1393.57;0;MALE;PhD;machine-op-inspct;movies;not-in-family;47600;-39600;Parked Car;Not Defined;Minor Damage;Police;5;1;NO;0;1;YES;2640;480;480;1680;2009;N
22;26;100/300;1000;1276.57;0;MALE;PhD;craft-repair;skydiving;not-in-family;71500;0;Single Vehicle Collision;Rear Collision;Minor Damage;Fire;3;1;YES;1;2;NO;78900;15780;7890;55230;1995;N
439;56;250/500;500;1082.49;0;FEMALE;PhD;prof-specialty;chess;unmarried;36100;-55000;Multi-vehicle Collision;Front Collision;Major Damage;Fire;12;3;Not Defined;2;3;Not Defined;56430;0;6270;50160;2014;N
94;32;500/1000;1000;1414.74;0;FEMALE;Masters;adm-clerical;hiking;own-child;0;0;Parked Car;Not Defined;Minor Damage;None;19;1;NO;1;3;NO;2400;300;300;1800;2014;N
11;39;250/500;2000;1470.06;0;MALE;PhD;other-service;yachting;husband;56600;-45800;Single Vehicle Collision;Front Collision;Total Loss;Ambulance;22;1;YES;0;1;NO;65790;7310;7310;51170;2007;N
151;36;250/500;2000;870.63;0;FEMALE;MD;adm-clerical;kayaking;own-child;94800;-58500;Multi-vehicle Collision;Side Collision;Minor Damage;Police;12;3;NO;1;1;NO;62920;11440;5720;45760;2000;N
154;34;100/300;500;795.23;0;MALE;PhD;machine-op-inspct;base-jumping;other-relative;36900;0;Multi-vehicle Collision;Rear Collision;Major Damage;Police;15;3;YES;2;1;Not Defined;69480;15440;0;54040;2014;Y
245;44;500/1000;1000;1168.2;0;MALE;JD;handlers-cleaners;basketball;husband;69100;0;Multi-vehicle Collision;Side Collision;Total Loss;Other;23;3;NO;0;3;NO;44280;7380;3690;33210;1997;N
119;32;500/1000;1000;993.51;0;MALE;High School;armed-forces;bungie-jumping;unmarried;0;-49500;Single Vehicle Collision;Side Collision;Minor Damage;Other;12;1;NO;0;3;YES;56300;5630;11260;39410;2011;N
215;42;500/1000;500;1848.81;0;MALE;JD;transport-moving;video-games;own-child;0;-49000;Multi-vehicle Collision;Front Collision;Major Damage;Fire;20;3;YES;2;2;YES;68520;11420;5710;51390;2003;Y
295;42;250/500;2000;1641.73;5000000;MALE;PhD;sales;chess;not-in-family;62400;0;Multi-vehicle Collision;Rear Collision;Total Loss;Fire;16;3;NO;0;0;NO;59130;6570;6570;45990;2006;Y
254;39;100/300;500;1362.87;0;FEMALE;MD;exec-managerial;chess;other-relative;35700;0;Multi-vehicle Collision;Front Collision;Minor Damage;Ambulance;6;3;YES;2;2;NO;82320;13720;6860;61740;1995;Y
107;31;250/500;500;1239.22;7000000;FEMALE;High School;tech-support;paintball;not-in-family;43400;-91200;Single Vehicle Collision;Side Collision;Minor Damage;Fire;12;1;YES;0;1;NO;89700;13800;13800;62100;2009;Y
478;64;250/500;500;835.02;0;FEMALE;Associate;adm-clerical;reading;unmarried;59600;0;Multi-vehicle Collision;Side Collision;Minor Damage;Fire;17;3;NO;1;1;NO;33930;0;3770;30160;1998;N
128;30;100/300;1000;1061.33;0;MALE;MD;machine-op-inspct;movies;own-child;43300;-66200;Single Vehicle Collision;Front Collision;Major Damage;Ambulance;8;1;NO;0;3;NO;68530;12460;6230;49840;1997;N
338;49;500/1000;1000;1279.08;0;MALE;MD;other-service;kayaking;own-child;0;-51500;Parked Car;Not Defined;Minor Damage;None;13;1;NO;0;1;Not Defined;4300;860;860;2580;2004;N
271;42;100/300;500;1105.49;0;FEMALE;Associate;prof-specialty;sleeping;own-child;56200;-50000;Multi-vehicle Collision;Side Collision;Major Damage;Other;12;2;Not Defined;2;3;Not Defined;68310;12420;6210;49680;2003;Y
222;41;100/300;2000;1055.53;0;FEMALE;MD;armed-forces;cross-fit;not-in-family;37800;-50300;Single Vehicle Collision;Front Collision;Total Loss;Other;7;1;NO;0;2;NO;61290;6810;6810;47670;1995;Y
199;41;250/500;1000;895.83;0;FEMALE;Associate;sales;paintball;husband;0;0;Single Vehicle Collision;Rear Collision;Minor Damage;Ambulance;10;1;NO;1;2;NO;30100;3010;0;27090;1999;N
215;37;100/300;500;1632.93;0;FEMALE;College;transport-moving;golf;not-in-family;0;-42900;Multi-vehicle Collision;Rear Collision;Minor Damage;Fire;7;3;NO;2;0;YES;57120;9520;4760;42840;2002;N
192;40;100/300;1000;1405.99;0;FEMALE;Associate;sales;yachting;wife;0;0;Multi-vehicle Collision;Side Collision;Minor Damage;Ambulance;18;3;YES;1;0;YES;42930;9540;4770;28620;2005;N
120;35;100/300;1000;1425.54;0;FEMALE;High School;transport-moving;bungie-jumping;other-relative;78300;0;Multi-vehicle Collision;Front Collision;Total Loss;Ambulance;22;3;NO;2;0;NO;51210;11380;5690;34140;2010;N
270;45;500/1000;1000;1038.09;0;FEMALE;College;handlers-cleaners;golf;husband;0;-19700;Multi-vehicle Collision;Front Collision;Minor Damage;Fire;18;3;NO;1;1;YES;89400;14900;7450;67050;1998;N
319;47;250/500;500;1307.11;0;MALE;College;transport-moving;dancing;not-in-family;0;0;Multi-vehicle Collision;Front Collision;Total Loss;Police;22;3;NO;0;2;Not Defined;59730;10860;10860;38010;2005;N
194;39;500/1000;1000;1489.24;6000000;FEMALE;JD;other-service;kayaking;wife;0;-45000;Vehicle Theft;Not Defined;Minor Damage;None;15;1;YES;2;2;YES;8060;1240;1240;5580;2004;N
227;38;500/1000;500;976.67;0;FEMALE;PhD;handlers-cleaners;polo;unmarried;0;0;Single Vehicle Collision;Rear Collision;Major Damage;Fire;16;1;Not Defined;1;2;Not Defined;72200;14440;7220;50540;2013;Y
137;31;250/500;2000;1340.43;0;MALE;High School;exec-managerial;paintball;husband;52700;-40600;Multi-vehicle Collision;Side Collision;Minor Damage;Ambulance;6;3;NO;1;2;NO;50800;10160;10160;30480;2005;N
244;40;500/1000;2000;1267.81;5000000;FEMALE;Masters;exec-managerial;video-games;wife;0;0;Vehicle Theft;Not Defined;Trivial Damage;None;10;1;Not Defined;2;1;Not Defined;6600;660;1320;4620;2005;N
78;29;250/500;1000;1234.2;6000000;MALE;Masters;other-service;bungie-jumping;other-relative;0;0;Vehicle Theft;Not Defined;Minor Damage;Police;3;1;YES;2;2;NO;7500;750;1500;5250;2002;N
200;35;250/500;2000;1318.06;0;MALE;High School;exec-managerial;video-games;wife;57300;-80600;Vehicle Theft;Not Defined;Trivial Damage;None;13;1;NO;0;3;YES;6490;1180;1180;4130;2002;N
284;48;500/1000;2000;769.95;0;MALE;Masters;prof-specialty;movies;not-in-family;0;-44200;Multi-vehicle Collision;Side Collision;Major Damage;Ambulance;16;2;Not Defined;2;3;NO;60940;5540;11080;44320;2013;Y
275;41;100/300;2000;1514.72;0;MALE;High School;transport-moving;board-games;own-child;35700;0;Multi-vehicle Collision;Front Collision;Major Damage;Fire;13;3;YES;0;1;Not Defined;58300;5830;11660;40810;2007;N
153;34;500/1000;1000;873.64;4000000;FEMALE;Associate;priv-house-serv;yachting;husband;800;0;Multi-vehicle Collision;Front Collision;Minor Damage;Other;9;3;NO;2;1;Not Defined;68400;11400;11400;45600;2007;N
134;32;500/1000;500;1612.43;0;FEMALE;MD;other-service;yachting;own-child;36400;0;Single Vehicle Collision;Side Collision;Total Loss;Fire;2;1;Not Defined;2;1;YES;64240;11680;11680;40880;2015;N
31;36;500/1000;2000;1318.24;9000000;FEMALE;College;prof-specialty;kayaking;not-in-family;0;-78600;Parked Car;Not Defined;Trivial Damage;None;9;1;NO;0;1;YES;4700;940;470;3290;2002;N
41;25;100/300;1000;1226.83;0;FEMALE;College;exec-managerial;exercise;not-in-family;0;-56100;Multi-vehicle Collision;Side Collision;Major Damage;Other;12;3;YES;2;0;Not Defined;45120;0;5640;39480;2011;Y
127;29;250/500;2000;1326.44;5000000;FEMALE;High School;sales;board-games;own-child;0;0;Multi-vehicle Collision;Front Collision;Total Loss;Fire;12;2;YES;1;1;Not Defined;66950;10300;10300;46350;1995;N
61;23;250/500;2000;1136.83;4000000;FEMALE;Associate;tech-support;exercise;own-child;0;-62400;Single Vehicle Collision;Side Collision;Major Damage;Police;14;1;NO;0;3;Not Defined;98340;8940;17880;71520;2004;Y
207;42;250/500;2000;1322.78;0;MALE;PhD;farming-fishing;yachting;own-child;55200;0;Parked Car;Not Defined;Trivial Damage;None;9;1;NO;0;1;NO;5900;590;590;4720;2007;N
219;43;100/300;1000;1483.25;0;FEMALE;MD;exec-managerial;exercise;not-in-family;90700;-20800;Multi-vehicle Collision;Front Collision;Major Damage;Ambulance;3;3;NO;1;1;Not Defined;70680;5890;11780;53010;2009;N
271;42;100/300;500;1515.3;0;FEMALE;High School;machine-op-inspct;hiking;not-in-family;0;0;Multi-vehicle Collision;Rear Collision;Total Loss;Ambulance;21;3;NO;1;0;NO;93720;17040;8520;68160;2005;N
80;25;100/300;2000;1075.18;5000000;FEMALE;PhD;armed-forces;exercise;husband;67700;-58400;Vehicle Theft;Not Defined;Minor Damage;None;5;1;NO;2;0;YES;6930;1260;630;5040;2001;N
325;47;500/1000;1000;1690.27;0;FEMALE;Associate;protective-serv;hiking;not-in-family;61500;0;Single Vehicle Collision;Side Collision;Major Damage;Fire;11;1;YES;0;3;NO;72930;6630;6630;59670;2006;Y
29;25;250/500;2000;1352.83;0;MALE;Masters;farming-fishing;skydiving;own-child;0;-71700;Multi-vehicle Collision;Rear Collision;Minor Damage;Other;4;4;YES;1;2;YES;64890;7210;7210;50470;2013;Y
295;48;250/500;1000;1148.73;0;FEMALE;College;machine-op-inspct;kayaking;wife;0;0;Parked Car;Not Defined;Trivial Damage;None;6;1;Not Defined;1;2;YES;5400;900;900;3600;1999;N
239;42;100/300;1000;969.5;0;MALE;College;exec-managerial;reading;not-in-family;0;0;Vehicle Theft;Not Defined;Trivial Damage;None;10;1;NO;0;0;Not Defined;5600;700;700;4200;2007;N
269;41;100/300;500;1463.82;0;FEMALE;College;protective-serv;yachting;not-in-family;0;-72300;Single Vehicle Collision;Rear Collision;Minor Damage;Police;23;1;YES;0;0;Not Defined;79300;15860;15860;47580;2007;N
80;27;100/300;1000;1474.17;0;FEMALE;College;tech-support;exercise;unmarried;0;0;Single Vehicle Collision;Side Collision;Major Damage;Police;13;1;YES;1;0;YES;52800;10560;5280;36960;2004;N
279;41;250/500;500;1497.35;0;FEMALE;JD;prof-specialty;bungie-jumping;husband;37300;-31700;Multi-vehicle Collision;Front Collision;Minor Damage;Fire;16;3;Not Defined;2;3;NO;28800;0;3600;25200;2013;N
165;33;100/300;1000;1427.14;0;FEMALE;Associate;tech-support;kayaking;other-relative;35300;-58100;Parked Car;Not Defined;Minor Damage;Police;3;1;NO;1;1;NO;2970;330;330;2310;2008;N
350;54;500/1000;500;1495.1;0;MALE;College;other-service;basketball;wife;50500;0;Multi-vehicle Collision;Side Collision;Total Loss;Police;15;3;NO;0;0;Not Defined;93480;15580;7790;70110;2014;N
295;49;100/300;500;1141.62;0;MALE;College;prof-specialty;kayaking;husband;34300;-24300;Vehicle Theft;Not Defined;Minor Damage;None;4;1;YES;1;3;YES;4320;480;480;3360;2002;N
464;61;500/1000;1000;1125.37;0;FEMALE;Associate;prof-specialty;basketball;husband;0;-56400;Multi-vehicle Collision;Rear Collision;Major Damage;Police;6;3;Not Defined;0;2;YES;79800;6650;19950;53200;2000;Y
118;28;500/1000;2000;1207.36;0;FEMALE;High School;handlers-cleaners;camping;own-child;0;-57000;Multi-vehicle Collision;Front Collision;Major Damage;Ambulance;22;2;NO;1;0;Not Defined;74200;7420;14840;51940;1997;N
298;47;500/1000;2000;1338.5;0;FEMALE;PhD;machine-op-inspct;basketball;other-relative;28800;0;Single Vehicle Collision;Front Collision;Major Damage;Fire;1;1;Not Defined;0;0;Not Defined;70590;10860;10860;48870;2000;Y
87;31;500/1000;1000;1074.07;0;FEMALE;Masters;sales;chess;husband;0;-47500;Multi-vehicle Collision;Rear Collision;Major Damage;Fire;16;3;NO;0;3;YES;60940;5540;11080;44320;2006;Y
261;42;250/500;500;1337.56;0;FEMALE;College;prof-specialty;video-games;unmarried;0;0;Single Vehicle Collision;Rear Collision;Minor Damage;Police;18;1;Not Defined;1;2;YES;74700;7470;14940;52290;2010;N
453;60;100/300;500;1298.91;6000000;MALE;PhD;craft-repair;dancing;unmarried;52600;-38800;Single Vehicle Collision;Front Collision;Major Damage;Fire;0;1;YES;0;0;Not Defined;70000;14000;7000;49000;2015;Y
210;41;500/1000;500;1222.75;0;MALE;High School;exec-managerial;polo;other-relative;0;-41000;Multi-vehicle Collision;Rear Collision;Total Loss;Other;12;3;Not Defined;2;0;NO;81070;14740;14740;51590;2001;N
168;32;100/300;1000;1059.52;0;MALE;MD;protective-serv;camping;own-child;0;-40600;Multi-vehicle Collision;Side Collision;Major Damage;Other;13;2;Not Defined;1;1;Not Defined;57720;14430;9620;33670;2007;N
390;51;250/500;2000;1124.38;0;MALE;Associate;armed-forces;reading;other-relative;0;0;Vehicle Theft;Not Defined;Minor Damage;None;9;1;YES;1;1;YES;7080;1180;1180;4720;2001;N
258;46;100/300;1000;1110.37;10000000;MALE;MD;machine-op-inspct;hiking;other-relative;34400;-56800;Multi-vehicle Collision;Side Collision;Total Loss;Other;14;3;NO;0;1;Not Defined;47700;4770;9540;33390;1997;Y
107;31;500/1000;2000;1374.22;0;FEMALE;PhD;machine-op-inspct;bungie-jumping;other-relative;62000;-63100;Single Vehicle Collision;Rear Collision;Minor Damage;Police;16;1;NO;0;3;NO;51260;9320;9320;32620;2002;N
225;41;500/1000;2000;1103.58;0;MALE;High School;exec-managerial;exercise;unmarried;41200;-36200;Multi-vehicle Collision;Side Collision;Major Damage;Police;20;3;Not Defined;2;2;NO;70400;6400;12800;51200;2011;Y
164;38;250/500;2000;1269.76;0;FEMALE;PhD;transport-moving;yachting;not-in-family;44300;0;Single Vehicle Collision;Rear Collision;Minor Damage;Fire;4;1;NO;1;3;YES;90000;18000;9000;63000;2015;N
245;39;250/500;500;964.79;8000000;FEMALE;Associate;adm-clerical;camping;husband;58000;0;Multi-vehicle Collision;Rear Collision;Minor Damage;Police;7;3;Not Defined;0;1;Not Defined;72820;13240;6620;52960;2010;N
255;41;500/1000;2000;1167.3;4000000;MALE;High School;priv-house-serv;board-games;other-relative;0;0;Single Vehicle Collision;Side Collision;Minor Damage;Fire;22;1;NO;2;0;Not Defined;69300;13860;13860;41580;2000;N
206;36;500/1000;500;1625.45;4000000;FEMALE;MD;other-service;video-games;other-relative;0;-53700;Single Vehicle Collision;Front Collision;Major Damage;Ambulance;11;1;NO;2;1;NO;76560;12760;12760;51040;2008;Y
203;38;250/500;500;1394.43;0;FEMALE;Masters;other-service;skydiving;not-in-family;0;0;Single Vehicle Collision;Front Collision;Major Damage;Ambulance;7;1;Not Defined;0;1;YES;55440;0;6160;49280;1999;Y
22;25;250/500;2000;1053.24;0;FEMALE;College;prof-specialty;movies;other-relative;51100;0;Multi-vehicle Collision;Front Collision;Total Loss;Other;0;4;YES;1;0;NO;77130;8570;17140;51420;1995;N
211;35;100/300;500;1040.75;0;FEMALE;JD;prof-specialty;paintball;not-in-family;0;0;Single Vehicle Collision;Rear Collision;Total Loss;Ambulance;1;1;YES;1;1;Not Defined;42000;7000;7000;28000;2011;N
206;39;250/500;1000;1302.4;6000000;MALE;JD;craft-repair;dancing;unmarried;47200;-69700;Multi-vehicle Collision;Rear Collision;Total Loss;Ambulance;12;3;NO;2;3;YES;36300;3300;9900;23100;2013;N
166;38;100/300;2000;1588.55;0;MALE;MD;protective-serv;video-games;unmarried;59600;-32100;Single Vehicle Collision;Side Collision;Total Loss;Other;8;1;NO;0;0;Not Defined;40320;5760;5760;28800;2001;N
