age;sex;job;housing;saving;checking;creditamount;duration;purpose;risk
26;male;2;own;little;little;3414;21;education;0
42;male;2;own;little;little;2577;12;furniture/equipment;1
52;male;2;own;quite rich;little;338;6;radio/TV;1
65;male;2;own;little;little;571;21;car;1
30;male;3;own;little;moderate;4455;36;business;0
36;male;2;own;little;moderate;884;18;car;0
74;female;3;free;little;moderate;5129;9;car;0
68;male;0;free;little;moderate;1175;16;car;1
20;male;2;own;moderate;little;674;12;radio/TV;0
33;female;2;own;little;moderate;3244;18;furniture/equipment;1
34;male;1;free;moderate;moderate;3844;48;business;0
36;male;2;own;little;moderate;3915;27;business;0
21;male;2;rent;moderate;moderate;3031;45;radio/TV;0
34;female;3;own;little;moderate;1501;9;education;0
27;female;2;rent;moderate;moderate;951;12;furniture/equipment;0
40;male;3;own;little;moderate;4297;18;furniture/equipment;0
27;male;1;own;little;little;1168;12;car;1
21;male;2;rent;little;little;902;12;education;0
38;male;3;free;little;little;10623;30;car;1
26;male;2;own;little;moderate;1424;12;domestic appliances;1
21;male;1;own;little;little;6568;24;business;1
50;male;2;own;little;little;5293;27;business;0
66;male;3;own;little;rich;1908;30;business;0
31;male;2;own;little;little;3104;18;business;1
23;male;2;own;little;rich;3913;36;radio/TV;1
24;male;1;rent;little;little;3021;24;furniture/equipment;1
26;male;1;own;little;moderate;625;12;radio/TV;1
27;male;2;own;rich;moderate;10961;48;radio/TV;0
53;male;3;free;little;little;7865;12;furniture/equipment;0
22;male;2;free;little;little;3149;24;furniture/equipment;1
26;male;2;own;little;rich;4210;36;radio/TV;0
25;male;1;own;little;moderate;866;18;radio/TV;1
30;male;3;own;little;little;1823;24;radio/TV;0
61;male;1;rent;moderate;moderate;2767;21;business;0
39;male;2;own;little;little;2522;30;radio/TV;1
24;male;2;free;little;little;4605;48;car;0
26;male;2;own;little;rich;1925;24;furniture/equipment;1
39;female;1;own;rich;little;666;6;car;1
46;female;1;own;little;rich;2251;12;furniture/equipment;1
24;female;2;own;little;moderate;2150;30;car;0
29;male;2;free;little;little;2149;12;radio/TV;0
27;male;2;own;little;little;1657;12;furniture/equipment;1
55;female;2;own;little;little;1603;24;radio/TV;1
36;male;3;free;little;little;5302;18;car;1
37;male;2;own;little;moderate;802;15;radio/TV;0
45;male;3;own;little;little;8978;14;car;0
28;male;2;own;little;moderate;3060;48;radio/TV;0
34;male;1;own;little;little;11998;30;repairs;0
37;male;2;own;moderate;moderate;3878;24;car;1
35;female;1;own;little;little;10722;47;car;1
26;male;2;own;little;little;4788;48;car;1
31;male;3;free;moderate;moderate;7582;48;vacation/others;1
49;female;2;own;little;moderate;1092;12;radio/TV;1
48;male;2;own;little;little;1024;24;radio/TV;0
28;male;3;rent;little;moderate;9398;36;car;0
44;female;3;free;little;little;6419;24;car;1
56;male;2;free;little;rich;4796;42;car;1
26;female;2;own;little;moderate;9960;48;furniture/equipment;0
32;male;2;own;rich;moderate;2745;21;furniture/equipment;1
42;female;2;own;little;moderate;3804;36;radio/TV;0
49;male;2;own;little;little;1038;10;car;1
33;male;1;own;moderate;little;727;12;radio/TV;0
24;female;2;own;little;moderate;1237;8;furniture/equipment;0
22;male;1;rent;little;moderate;276;9;car;1
26;female;2;own;little;rich;3749;24;furniture/equipment;1
25;male;1;own;little;moderate;685;12;car;0
31;male;2;own;little;little;2746;36;furniture/equipment;0
38;male;1;own;little;little;708;12;furniture/equipment;1
27;female;1;own;little;little;3643;15;furniture/equipment;1
28;male;3;own;little;moderate;4249;30;car;0
32;male;2;own;little;little;1938;24;radio/TV;0
34;male;3;free;little;little;2910;24;car;1
28;male;2;own;rich;little;2659;18;furniture/equipment;1
39;male;1;own;little;little;3398;8;car;1
31;male;2;own;little;rich;4473;36;radio/TV;1
28;male;2;own;little;moderate;1068;6;radio/TV;1
75;male;3;free;little;little;6615;24;car;1
24;female;3;own;moderate;moderate;7408;60;car;0
23;male;2;rent;little;little;4110;24;furniture/equipment;0
44;male;3;rent;little;little;3384;6;furniture/equipment;0
23;female;1;own;little;moderate;2101;13;radio/TV;1
28;male;2;own;little;little;4169;24;furniture/equipment;1
31;male;1;own;little;moderate;1521;10;furniture/equipment;1
24;female;2;free;little;moderate;5743;24;education;1
26;female;1;rent;little;little;3599;21;furniture/equipment;1
25;male;2;rent;quite rich;moderate;3213;18;radio/TV;1
33;male;3;own;little;moderate;4439;18;business;1
37;male;1;own;little;rich;3949;10;car;1
23;male;2;own;little;moderate;882;13;radio/TV;1
23;female;0;rent;quite rich;moderate;3758;24;radio/TV;1
32;male;2;free;rich;moderate;1136;9;education;0
29;female;2;own;little;moderate;959;9;furniture/equipment;0
28;male;2;rent;little;little;6199;12;radio/TV;0
23;male;1;own;little;moderate;1246;24;car;0
23;female;2;rent;little;little;2406;30;furniture/equipment;0
36;female;2;own;little;rich;2247;12;car;1
25;male;0;own;little;little;2473;18;furniture/equipment;0
22;female;2;rent;little;little;3650;18;furniture/equipment;1
42;male;2;own;little;little;3446;36;furniture/equipment;0
40;female;2;rent;little;moderate;3001;18;furniture/equipment;1
60;female;3;free;moderate;moderate;14782;60;vacation/others;0
37;female;2;rent;little;little;7685;48;business;0
57;male;3;free;little;moderate;14318;36;car;0
38;female;3;free;little;moderate;12976;18;car;0
26;male;2;own;little;rich;1330;12;car;1
40;male;3;own;little;moderate;7374;18;furniture/equipment;1
27;male;2;own;quite rich;moderate;2326;15;business;1
19;female;1;rent;rich;moderate;983;12;furniture/equipment;1
39;male;3;free;little;little;3249;36;car;1
31;female;2;own;little;little;1957;6;radio/TV;1
32;male;2;rent;moderate;moderate;11760;39;education;1
55;female;3;free;little;little;2578;12;furniture/equipment;1
46;male;2;own;little;little;2348;36;furniture/equipment;1
46;male;2;rent;little;moderate;1223;12;car;0
22;male;2;own;little;moderate;2039;24;radio/TV;0
27;male;2;own;little;little;1053;15;radio/TV;1
28;male;2;own;quite rich;rich;939;12;car;0
20;female;2;own;little;moderate;1967;24;radio/TV;1
33;male;1;own;little;little;2579;12;car;0
47;male;1;own;little;moderate;958;12;car;1
21;male;2;rent;little;moderate;2779;18;car;1
55;female;0;free;little;little;1190;18;repairs;0
29;male;3;own;little;moderate;11328;24;vacation/others;0
36;male;3;free;little;little;1872;6;furniture/equipment;1
25;male;2;own;little;little;2136;9;furniture/equipment;1
65;male;0;own;little;little;3394;42;repairs;1
26;female;0;own;little;rich;609;12;business;0
30;female;2;own;little;little;1620;12;furniture/equipment;1
29;male;2;own;little;moderate;2629;20;vacation/others;1
30;female;3;own;little;moderate;5096;48;furniture/equipment;0
34;female;2;own;little;little;1842;36;car;0
35;male;2;own;little;moderate;2576;7;radio/TV;1
61;male;2;own;rich;moderate;1512;15;repairs;0
31;male;2;own;little;little;4817;24;car;0
36;male;2;rent;little;little;3905;11;car;1
35;male;2;free;little;little;3386;12;car;0
27;female;2;own;little;little;343;6;domestic appliances;1
37;male;2;own;little;little;3620;36;furniture/equipment;1
36;male;2;own;little;little;1721;15;car;1
34;female;3;rent;little;moderate;3017;12;furniture/equipment;1
63;male;2;own;little;little;2924;24;car;1
29;female;1;rent;little;little;1659;24;radio/TV;0
22;male;2;rent;moderate;moderate;3092;24;radio/TV;0
23;female;2;own;little;little;448;6;education;0
28;male;1;own;little;little;654;9;car;0
33;male;2;own;little;moderate;1245;18;radio/TV;0
26;female;2;rent;little;little;3114;18;furniture/equipment;0
25;male;2;own;little;rich;5152;24;radio/TV;1
39;male;1;own;moderate;moderate;1037;12;business;1
44;male;2;own;little;little;1478;15;furniture/equipment;1
23;female;1;own;little;moderate;3573;12;radio/TV;1
26;male;2;own;little;moderate;1201;24;car;1
57;female;2;rent;rich;little;3622;30;furniture/equipment;1
47;male;3;own;little;moderate;1209;6;car;0
42;female;3;free;little;moderate;8318;27;business;0
39;male;1;rent;little;little;2122;12;car;1
29;male;3;rent;moderate;moderate;9034;36;furniture/equipment;0
32;male;1;own;little;moderate;1301;18;radio/TV;1
28;male;2;own;moderate;rich;1323;6;car;1
27;female;2;own;little;little;3123;24;car;0
42;male;2;free;little;little;5493;36;car;1
49;male;2;own;moderate;rich;1126;9;radio/TV;1
38;male;2;own;moderate;moderate;1216;24;radio/TV;0
24;female;2;rent;little;little;1207;24;car;0
36;male;2;own;quite rich;rich;2360;15;car;1
34;male;3;own;moderate;moderate;6850;15;car;0
26;male;2;own;little;little;759;12;car;0
26;male;2;rent;little;rich;2687;15;business;1
20;male;2;rent;little;moderate;585;12;radio/TV;1
37;female;2;own;little;little;609;6;car;1
40;male;1;own;little;little;1361;6;car;1
43;male;2;own;moderate;little;1203;6;car;1
24;female;2;own;little;little;3190;18;radio/TV;0
53;male;2;free;little;little;7119;48;furniture/equipment;0
26;female;1;own;little;moderate;1113;18;radio/TV;1
30;male;2;own;little;moderate;7966;26;car;1
31;male;2;rent;little;little;2302;36;radio/TV;0
41;male;1;own;little;little;662;6;car;1
32;male;2;own;little;moderate;2273;36;education;1
28;female;2;rent;moderate;moderate;2631;15;car;0
33;male;2;rent;little;rich;2319;21;education;0
37;female;2;own;little;moderate;3612;18;furniture/equipment;1
42;male;3;free;little;little;7763;48;car;0
45;female;1;own;little;rich;3049;18;furniture/equipment;1
23;male;2;rent;little;moderate;1534;12;radio/TV;0
34;male;1;own;little;rich;2864;18;furniture/equipment;0
43;male;2;free;little;little;1333;24;car;0
24;female;1;own;little;little;626;12;radio/TV;0
34;male;2;own;little;little;6999;48;radio/TV;0
27;male;2;own;moderate;moderate;1995;12;car;1
67;female;3;own;little;moderate;1199;9;education;1
22;male;2;own;little;moderate;1331;12;radio/TV;0
28;female;2;own;moderate;moderate;2278;18;car;0
27;male;2;own;little;little;3552;24;furniture/equipment;0
31;male;1;own;little;moderate;1928;18;furniture/equipment;0
24;male;1;rent;little;little;1546;24;radio/TV;0
29;female;2;own;little;rich;683;6;radio/TV;1
23;female;2;rent;moderate;moderate;1553;24;radio/TV;1
36;male;2;own;little;little;1372;12;car;0
31;female;2;own;little;little;6758;48;radio/TV;0
23;female;1;rent;little;little;3234;24;furniture/equipment;0
22;female;1;own;little;little;806;15;business;1
27;male;1;own;little;moderate;1082;9;radio/TV;1
27;female;2;own;little;moderate;2930;12;radio/TV;1
27;male;2;own;little;moderate;2820;36;car;0
30;male;2;own;little;moderate;1056;18;car;0
49;male;1;own;little;moderate;3124;12;car;1
33;male;1;rent;little;moderate;2384;36;repairs;0
20;female;2;rent;little;little;2039;18;furniture/equipment;0
36;male;2;rent;little;little;2799;9;car;1
21;male;1;own;little;little;1289;12;furniture/equipment;1
47;male;1;own;little;little;1217;18;domestic appliances;0
60;male;2;own;little;little;2246;12;furniture/equipment;0
58;female;1;own;little;little;385;12;radio/TV;1
20;female;1;rent;little;moderate;2718;24;car;0
32;female;1;own;moderate;moderate;931;6;car;0
23;female;2;rent;little;little;1442;24;car;0
36;male;1;own;little;moderate;4241;24;business;0
45;female;2;own;little;moderate;2329;7;radio/TV;1
30;female;2;own;little;moderate;918;9;furniture/equipment;0
34;female;1;free;little;moderate;1837;24;education;0
23;female;2;own;little;rich;1275;10;furniture/equipment;1
22;male;2;own;quite rich;little;2828;24;furniture/equipment;1
50;female;2;free;moderate;moderate;2671;36;radio/TV;0
22;female;2;own;moderate;little;741;12;domestic appliances;0
48;female;1;free;moderate;rich;1240;10;car;0
29;female;2;own;rich;little;3357;21;radio/TV;1
22;female;2;rent;little;little;3632;24;car;1
37;male;2;rent;little;little;3676;6;car;1
21;female;2;rent;moderate;moderate;3441;30;furniture/equipment;0
27;male;2;own;little;moderate;3652;21;business;1
22;female;2;rent;little;little;1858;12;furniture/equipment;1
65;male;2;free;little;little;2600;18;radio/TV;0
41;male;2;own;little;rich;2116;6;furniture/equipment;1
29;male;2;own;moderate;moderate;1437;9;car;0
28;female;2;own;little;little;3660;24;radio/TV;1
44;male;2;own;little;little;1553;18;furniture/equipment;0
25;female;1;own;little;moderate;1355;24;car;0
26;male;2;own;little;little;4370;42;radio/TV;0
27;female;0;own;little;little;750;18;education;0
38;male;1;own;little;moderate;1308;15;repairs;1
32;male;3;own;little;little;1880;18;radio/TV;1
32;male;2;own;little;little;4583;30;furniture/equipment;1
38;male;2;free;little;rich;947;24;car;0
40;male;1;rent;little;little;684;12;education;0
50;male;3;free;little;little;7476;48;education;1
37;male;1;own;little;moderate;1922;12;furniture/equipment;0
45;male;2;own;little;little;2303;24;car;0
42;male;3;own;moderate;moderate;8086;36;car;0
22;male;2;free;little;little;3973;14;car;1
41;male;1;own;little;moderate;888;12;car;0
28;female;2;own;little;moderate;4221;30;business;1
41;male;2;own;little;moderate;6361;18;furniture/equipment;1
23;male;2;rent;little;rich;1297;12;radio/TV;1
35;male;3;own;little;moderate;1050;6;furniture/equipment;1
50;female;1;own;little;rich;1047;6;education;1
34;male;2;own;rich;moderate;3496;30;furniture/equipment;1
43;male;2;rent;little;little;4843;12;car;0
47;male;2;own;little;rich;3017;30;radio/TV;1
24;male;2;own;moderate;moderate;5595;72;radio/TV;0
64;male;1;rent;little;little;2384;24;radio/TV;1
31;male;1;own;moderate;moderate;9857;36;business;1
30;male;2;free;moderate;moderate;2862;36;car;1
31;male;2;own;rich;little;3651;12;car;1
25;male;2;own;little;little;975;15;furniture/equipment;1
25;female;1;own;moderate;moderate;2631;15;repairs;1
29;male;2;own;moderate;moderate;2896;24;radio/TV;1
29;male;2;own;little;moderate;1103;12;radio/TV;1
40;male;3;rent;little;rich;1905;15;education;1
46;male;2;free;little;little;6331;48;car;0
47;female;2;free;moderate;rich;1377;24;radio/TV;1
41;male;2;own;moderate;moderate;2503;30;business;1
32;female;2;own;little;moderate;2528;27;business;1
24;male;2;own;moderate;moderate;6560;48;car;0
25;female;2;rent;little;moderate;2969;12;furniture/equipment;0
25;female;2;own;little;moderate;1206;9;radio/TV;1
37;male;1;own;little;moderate;2118;9;radio/TV;1
35;female;2;free;little;little;1198;6;education;0
25;male;1;own;little;little;1138;9;radio/TV;1
27;male;3;own;little;moderate;14027;60;car;0
31;male;2;own;moderate;moderate;6148;20;car;1
34;male;3;own;little;rich;1337;9;radio/TV;0
24;female;2;rent;rich;moderate;433;6;education;0
24;female;1;own;little;little;1228;12;car;0
66;female;1;own;quite rich;moderate;790;9;radio/TV;1
25;female;2;rent;little;little;1882;18;radio/TV;0
59;female;2;rent;little;moderate;6416;48;business;0
36;male;2;own;rich;rich;1275;24;business;1
33;male;2;own;little;moderate;6403;24;radio/TV;1
21;male;1;rent;little;little;1987;24;radio/TV;0
44;female;1;own;little;moderate;760;8;radio/TV;1
23;female;3;rent;little;moderate;11560;24;car;0
35;male;1;own;moderate;little;4380;18;car;1
26;female;1;rent;moderate;moderate;4280;30;business;0
32;male;2;own;moderate;little;2325;24;car;1
23;male;1;own;little;moderate;1048;10;radio/TV;1
22;male;2;own;quite rich;little;2483;24;furniture/equipment;1
28;male;1;own;little;little;1797;13;business;1
23;female;2;rent;little;little;2511;15;car;1
37;female;1;own;little;little;1274;12;car;0
49;female;2;own;little;little;428;6;furniture/equipment;1
23;female;1;own;little;little;976;18;car;0
23;female;1;rent;moderate;moderate;841;12;business;1
74;male;0;own;little;rich;1299;6;car;1
35;male;2;own;little;little;691;12;car;0
24;female;2;rent;little;little;2124;18;furniture/equipment;0
24;male;1;own;little;little;2214;12;radio/TV;1
40;male;1;own;little;moderate;1155;12;radio/TV;1
31;male;1;own;little;little;3108;30;furniture/equipment;0
28;male;2;rent;little;moderate;3617;12;furniture/equipment;1
25;female;3;own;little;little;8065;36;education;0
66;male;0;free;quite rich;rich;1480;12;car;1
25;female;2;own;little;little;3509;18;radio/TV;1
67;female;2;own;little;moderate;3872;18;repairs;1
25;male;2;own;little;moderate;4933;39;radio/TV;0
31;male;1;own;little;moderate;1410;12;education;1
23;female;1;own;moderate;moderate;836;12;car;0
35;male;1;own;rich;moderate;1941;18;business;1
50;male;2;free;little;moderate;6224;48;education;0
27;male;2;own;little;little;5998;40;education;0
39;female;2;own;little;moderate;1188;21;business;0
51;male;2;free;little;rich;2892;24;furniture/equipment;1
48;female;1;rent;little;moderate;1795;18;radio/TV;1
24;female;2;own;little;little;4272;20;furniture/equipment;1
24;male;2;own;little;little;9271;36;car;0
26;male;1;own;little;moderate;590;6;radio/TV;1
55;male;3;free;little;moderate;9283;42;car;1
26;female;0;rent;little;moderate;1778;15;car;0
26;male;2;own;little;moderate;907;8;business;1
28;male;1;own;little;moderate;484;6;radio/TV;1
24;male;2;own;little;little;9629;36;car;0
54;male;2;own;little;little;3051;48;domestic appliances;0
46;male;2;free;little;little;3931;48;car;0
54;female;2;rent;little;moderate;7432;36;car;1
43;male;3;own;little;little;15857;36;vacation/others;1
26;male;2;own;little;little;1345;18;radio/TV;0
24;male;2;own;little;rich;3016;12;radio/TV;1
41;male;2;own;little;little;2712;36;furniture/equipment;0
47;male;1;own;little;little;731;8;car;1
30;male;2;own;little;little;1602;21;car;1
33;female;2;rent;little;little;3966;18;car;0
23;female;2;rent;little;little;1216;18;car;0
29;male;2;rent;little;little;11816;45;business;0
25;female;1;own;little;rich;2327;15;radio/TV;0
48;male;2;own;little;little;1082;12;car;0
63;male;2;own;little;little;2957;24;car;1
29;male;2;own;little;little;5179;36;furniture/equipment;0
59;male;2;own;little;little;1364;9;radio/TV;1
57;male;1;own;little;little;709;12;radio/TV;0
33;male;2;rent;little;little;2235;20;car;0
32;male;1;free;little;little;1442;18;car;0
29;female;2;own;little;little;3959;15;car;0
35;female;2;own;little;little;2439;24;radio/TV;0
27;female;2;own;little;little;2389;18;radio/TV;1
24;female;2;rent;little;little;652;12;furniture/equipment;1
46;male;2;own;little;rich;1343;6;car;1
26;male;2;own;moderate;little;1382;24;business;1
29;male;1;own;little;little;3590;12;furniture/equipment;1
40;female;2;own;rich;moderate;1322;11;car;1
36;male;3;free;little;little;1940;18;radio/TV;1
27;male;3;free;little;little;1422;9;car;0
43;male;2;own;little;moderate;4057;24;furniture/equipment;0
53;female;2;own;little;little;795;12;education;0
23;male;2;own;little;moderate;15672;48;business;0
43;male;3;own;little;little;2442;27;business;1
38;male;1;own;little;little;2171;12;car;1
34;male;2;own;little;moderate;5800;36;car;1
28;female;3;rent;little;little;2606;21;radio/TV;1
42;male;2;own;little;little;4153;18;furniture/equipment;0
43;male;2;rent;little;little;2625;16;car;0
20;male;3;rent;little;little;1107;12;radio/TV;1
25;female;1;own;little;moderate;4736;24;furniture/equipment;0
31;male;2;rent;little;little;3161;24;business;0
32;female;3;own;little;moderate;18424;48;vacation/others;0
68;male;3;own;little;little;14896;6;car;0
33;male;2;own;moderate;little;2359;24;furniture/equipment;0
39;male;3;rent;little;little;3345;24;furniture/equipment;0
22;female;2;rent;little;little;1366;9;radio/TV;0
30;male;2;rent;little;moderate;2002;12;car;1
55;male;2;own;little;little;6872;24;furniture/equipment;0
46;male;2;own;little;little;697;12;car;0
21;female;2;rent;little;little;1049;18;furniture/equipment;1
39;male;2;free;little;little;10297;48;car;0
43;male;1;own;little;little;1344;12;car;1
24;male;1;own;little;little;1747;24;furniture/equipment;1
22;female;2;own;little;moderate;1670;9;radio/TV;0
23;female;2;own;little;little;1498;12;radio/TV;1
30;male;3;own;moderate;moderate;1919;30;radio/TV;0
28;female;1;own;little;rich;745;9;radio/TV;0
30;male;3;rent;little;moderate;2063;6;radio/TV;1
42;male;2;free;little;moderate;6288;60;education;0
46;female;2;rent;little;little;1845;15;furniture/equipment;1
30;female;2;own;quite rich;moderate;8358;48;car;1
30;male;2;free;quite rich;little;3349;24;furniture/equipment;0
40;male;0;own;little;moderate;3590;18;business;1
24;male;2;own;little;little;2145;36;business;0
28;female;2;rent;quite rich;moderate;4113;24;car;0
29;female;2;own;little;little;1893;12;car;1
57;female;3;rent;rich;little;1231;24;radio/TV;1
37;male;1;own;little;moderate;1154;9;radio/TV;1
45;male;1;own;little;little;4006;28;car;0
30;male;2;free;moderate;moderate;3069;24;furniture/equipment;1
47;male;2;own;little;moderate;2353;21;car;1
22;male;1;own;little;moderate;454;6;repairs;1
23;male;1;own;quite rich;moderate;2520;27;radio/TV;0
40;male;1;own;little;little;3939;11;car;1
22;male;2;own;moderate;moderate;1514;15;repairs;1
29;female;0;rent;little;little;1193;24;car;0
36;male;2;rent;little;little;7297;60;business;0
57;female;1;own;quite rich;rich;1258;24;radio/TV;1
64;female;2;own;little;moderate;753;6;radio/TV;1
25;male;2;rent;moderate;moderate;1264;15;car;0
49;male;2;own;little;moderate;8386;30;furniture/equipment;0
28;female;3;own;moderate;rich;2923;21;car;1
26;male;2;own;little;little;8229;36;car;0
25;female;2;rent;little;little;1433;15;furniture/equipment;1
33;male;2;own;little;rich;6289;42;business;1
29;male;3;free;little;little;6579;24;car;1
48;male;1;own;little;moderate;1743;24;radio/TV;1
30;male;3;own;little;little;3959;36;furniture/equipment;1
40;male;3;own;little;little;3857;30;car;1
23;male;2;free;little;little;1845;45;radio/TV;0
27;male;2;own;moderate;moderate;4576;45;car;1
