age;sex;job;housing;saving;checking;creditamount;duration;purpose;risk
24;male;1;rent;little;unknown;1768;12;furniture/equipment;1
63;male;2;free;little;rich;781;10;car;1
27;female;2;rent;unknown;moderate;1924;18;furniture/equipment;0
30;male;2;own;little;little;2121;12;car;1
40;male;1;own;little;little;701;12;radio/TV;1
30;male;2;own;little;moderate;639;12;repairs;0
34;male;3;own;little;moderate;1860;12;car;1
29;female;2;own;little;little;3499;12;car;0
24;female;2;own;unknown;moderate;8487;48;car;1
29;male;2;own;little;little;6887;36;education;0
27;male;1;own;little;unknown;2708;15;furniture/equipment;1
47;male;2;free;little;unknown;1984;18;furniture/equipment;1
21;female;2;own;moderate;unknown;10144;60;radio/TV;1
38;female;2;own;unknown;unknown;1240;12;radio/TV;1
27;male;2;own;rich;unknown;8613;27;car;1
66;male;1;own;quiterich;moderate;766;12;radio/TV;0
35;male;2;own;unknown;moderate;2728;15;radio/TV;1
44;female;1;rent;little;rich;1881;12;radio/TV;1
27;male;0;own;rich;rich;709;6;car;1
30;female;3;own;little;moderate;4795;36;radio/TV;1
27;male;3;own;little;little;3416;27;radio/TV;1
22;male;2;own;little;little;2462;18;furniture/equipment;0
23;female;2;own;little;unknown;2288;21;furniture/equipment;1
30;male;2;own;moderate;moderate;3566;48;business;1
39;female;2;own;little;little;860;6;car;1
51;female;2;own;moderate;unknown;682;12;car;1
28;male;2;own;little;little;5371;36;furniture/equipment;1
46;male;2;own;rich;unknown;1582;18;radio/TV;1
42;male;2;free;moderate;unknown;1346;6;radio/TV;1
38;male;2;own;little;unknown;1924;10;radio/TV;1
24;male;2;own;little;rich;5848;36;radio/TV;1
29;female;2;rent;rich;moderate;7758;24;car;1
36;male;3;rent;moderate;moderate;6967;24;business;1
20;female;2;rent;little;little;1282;12;furniture/equipment;0
48;male;2;own;moderate;little;1288;9;repairs;1
45;male;1;own;little;little;339;12;education;1
38;male;2;own;moderate;moderate;3512;24;car;1
34;male;1;own;unknown;unknown;1898;6;radio/TV;1
36;male;2;own;moderate;unknown;2872;24;radio/TV;1
30;female;2;own;little;unknown;1055;18;car;1
36;male;2;own;quiterich;unknown;1262;15;domesticappliances;1
70;male;3;free;little;moderate;7308;10;car;1
36;male;2;own;quiterich;unknown;909;36;car;1
32;male;2;own;quiterich;unknown;2978;6;furniture/equipment;1
33;female;2;own;little;little;1131;18;furniture/equipment;0
20;female;2;own;rich;moderate;1577;11;furniture/equipment;1
25;female;2;rent;little;unknown;3972;24;furniture/equipment;1
31;male;2;own;little;moderate;1935;24;business;0
33;male;2;rent;little;little;950;15;car;0
26;female;2;own;little;unknown;763;12;furniture/equipment;1
34;female;3;own;little;moderate;2064;24;furniture/equipment;0
33;male;2;own;little;moderate;1414;8;radio/TV;1
26;male;2;own;little;little;3414;21;education;0
53;female;3;own;unknown;unknown;7485;30;car;0
42;male;2;own;little;little;2577;12;furniture/equipment;1
52;male;2;own;quiterich;little;338;6;radio/TV;1
31;male;3;rent;little;unknown;1963;12;radio/TV;1
65;male;2;own;little;little;571;21;car;1
28;male;2;own;little;unknown;9572;36;business;0
30;male;3;own;little;moderate;4455;36;business;0
40;male;1;own;unknown;little;1647;21;car;0
50;male;2;own;rich;unknown;3777;24;furniture/equipment;1
36;male;2;own;little;moderate;884;18;car;0
31;male;2;own;little;unknown;1360;15;radio/TV;1
74;female;3;free;little;moderate;5129;9;car;0
68;male;0;free;little;moderate;1175;16;car;1
20;male;2;own;moderate;little;674;12;radio/TV;0
33;female;2;own;little;moderate;3244;18;furniture/equipment;1
54;male;3;own;rich;unknown;4591;24;business;0
34;male;1;free;moderate;moderate;3844;48;business;0
36;male;2;own;little;moderate;3915;27;business;0
29;male;2;rent;little;unknown;2108;6;radio/TV;1
21;male;2;rent;moderate;moderate;3031;45;radio/TV;0
34;female;3;own;little;moderate;1501;9;education;0
28;female;2;own;little;unknown;1382;6;radio/TV;1
27;female;2;rent;moderate;moderate;951;12;furniture/equipment;0
36;male;2;free;unknown;moderate;2760;24;car;1
40;male;3;own;little;moderate;4297;18;furniture/equipment;0
52;male;2;own;quiterich;unknown;936;9;education;1
27;male;1;own;little;little;1168;12;car;1
26;male;2;own;little;unknown;5117;27;business;1
21;male;2;rent;little;little;902;12;education;0
38;male;1;own;little;unknown;1495;12;car;1
38;male;3;free;little;little;10623;30;car;1
43;male;2;own;little;unknown;1935;12;furniture/equipment;1
26;male;2;own;little;moderate;1424;12;domesticappliances;1
21;male;1;own;little;little;6568;24;business;1
55;male;2;own;rich;unknown;1413;12;car;1
33;male;2;own;unknown;unknown;3074;9;radio/TV;1
45;female;1;own;unknown;unknown;3835;36;radio/TV;1
50;male;2;own;little;little;5293;27;business;0
66;male;3;own;little;rich;1908;30;business;0
51;male;2;own;unknown;unknown;3342;36;radio/TV;1
39;female;1;own;unknown;moderate;932;6;education;1
31;male;2;own;little;little;3104;18;business;1
23;male;2;own;little;rich;3913;36;radio/TV;1
24;male;1;rent;little;little;3021;24;furniture/equipment;1
64;female;2;own;little;unknown;1364;10;car;1
26;male;1;own;little;moderate;625;12;radio/TV;1
23;female;2;rent;unknown;little;1200;12;education;1
30;male;2;own;little;unknown;707;12;radio/TV;1
32;male;2;own;unknown;unknown;2978;24;business;1
30;male;2;own;little;unknown;4657;15;car;1
27;male;2;own;little;unknown;2613;36;repairs;1
27;male;2;own;rich;moderate;10961;48;radio/TV;0
53;male;3;free;little;little;7865;12;furniture/equipment;0
22;male;2;own;little;unknown;1478;9;radio/TV;0
22;male;2;free;little;little;3149;24;furniture/equipment;1
26;male;2;own;little;rich;4210;36;radio/TV;0
51;male;1;free;quiterich;unknown;2507;9;car;1
35;male;2;own;moderate;unknown;2141;12;radio/TV;1
25;male;1;own;little;moderate;866;18;radio/TV;1
42;male;1;own;little;unknown;1544;4;radio/TV;1
30;male;3;own;little;little;1823;24;radio/TV;0
23;male;0;own;unknown;moderate;14555;6;car;0
61;male;1;rent;moderate;moderate;2767;21;business;0
35;female;2;own;little;unknown;1291;12;radio/TV;1
39;male;2;own;little;little;2522;30;radio/TV;1
29;female;2;own;unknown;little;915;24;car;0
51;male;2;own;little;unknown;1595;6;radio/TV;1
24;male;2;free;little;little;4605;48;car;0
27;female;2;own;little;unknown;1185;12;business;1
35;female;1;own;quiterich;unknown;3447;12;education;1
25;male;2;own;little;unknown;1258;24;business;1
52;male;2;own;little;unknown;717;12;radio/TV;1
35;male;2;rent;moderate;unknown;1204;6;car;1
26;male;2;own;little;rich;1925;24;furniture/equipment;1
22;female;2;rent;little;unknown;433;18;radio/TV;0
39;female;1;own;rich;little;666;6;car;1
46;female;1;own;little;rich;2251;12;furniture/equipment;1
24;female;2;own;little;moderate;2150;30;car;0
35;male;2;own;moderate;unknown;4151;24;furniture/equipment;1
24;male;2;own;unknown;moderate;2030;9;furniture/equipment;1
27;male;1;own;unknown;moderate;7418;60;radio/TV;1
35;male;1;own;little;unknown;2684;24;radio/TV;1
29;male;2;free;little;little;2149;12;radio/TV;0
23;female;2;own;moderate;unknown;3812;15;car;1
57;female;1;own;moderate;unknown;1154;11;radio/TV;1
27;male;2;own;little;little;1657;12;furniture/equipment;1
55;female;2;own;little;little;1603;24;radio/TV;1
36;male;3;free;little;little;5302;18;car;1
57;female;1;free;little;unknown;2748;12;education;1
32;male;1;own;little;unknown;1231;10;car;1
37;male;2;own;little;moderate;802;15;radio/TV;0
36;male;2;own;unknown;unknown;6304;36;business;1
38;female;2;own;little;unknown;1533;24;radio/TV;1
45;male;3;own;little;little;8978;14;car;0
25;male;2;own;unknown;unknown;999;24;radio/TV;1
32;male;2;own;unknown;unknown;2662;18;car;1
37;female;2;rent;quiterich;unknown;1402;12;furniture/equipment;1
36;male;3;free;unknown;moderate;12169;48;car;1
28;male;2;own;little;moderate;3060;48;radio/TV;0
34;male;1;own;little;little;11998;30;repairs;0
32;male;2;own;little;unknown;2697;9;radio/TV;1
26;female;2;own;little;unknown;2404;18;radio/TV;1
49;male;1;own;unknown;little;1262;12;furniture/equipment;1
32;female;2;own;little;unknown;4611;6;furniture/equipment;0
29;male;3;rent;moderate;unknown;1901;24;radio/TV;1
23;male;2;rent;rich;unknown;3368;15;car;1
50;male;2;own;little;unknown;1574;12;furniture/equipment;1
49;male;1;own;unknown;rich;1445;18;radio/TV;1
63;male;2;own;unknown;unknown;1520;15;furniture/equipment;1
37;male;2;own;moderate;moderate;3878;24;car;1
35;female;1;own;little;little;10722;47;car;1
26;male;2;own;little;little;4788;48;car;1
31;male;3;free;moderate;moderate;7582;48;vacation/others;1
49;female;2;own;little;moderate;1092;12;radio/TV;1
48;male;2;own;little;little;1024;24;radio/TV;0
26;male;2;own;little;unknown;1076;12;business;1
28;male;3;rent;little;moderate;9398;36;car;0
44;female;3;free;little;little;6419;24;car;1
56;male;2;free;little;rich;4796;42;car;1
46;male;3;own;unknown;unknown;7629;48;business;1
26;female;2;own;little;moderate;9960;48;furniture/equipment;0
20;female;2;rent;unknown;unknown;4675;12;car;1
45;male;1;own;unknown;unknown;1287;10;car;1
43;male;2;own;little;unknown;2515;18;furniture/equipment;1
32;male;2;own;rich;moderate;2745;21;furniture/equipment;1
54;female;0;own;little;unknown;672;6;car;1
42;female;2;own;little;moderate;3804;36;radio/TV;0
37;male;1;own;unknown;rich;1344;24;car;0
49;male;2;own;little;little;1038;10;car;1
44;male;2;free;quiterich;unknown;10127;48;car;0
33;male;2;own;rich;unknown;1543;6;furniture/equipment;1
24;female;1;rent;unknown;unknown;4811;30;car;1
33;male;1;own;moderate;little;727;12;radio/TV;0
24;female;2;own;little;moderate;1237;8;furniture/equipment;0
22;male;1;rent;little;moderate;276;9;car;1
40;male;0;free;unknown;moderate;5381;48;vacation/others;1
25;male;2;own;moderate;unknown;5511;24;furniture/equipment;1
26;female;2;own;little;rich;3749;24;furniture/equipment;1
25;male;1;own;little;moderate;685;12;car;0
29;male;1;own;unknown;rich;1494;4;car;1
31;male;2;own;little;little;2746;36;furniture/equipment;0
38;male;1;own;little;little;708;12;furniture/equipment;1
48;female;1;own;unknown;moderate;4351;24;furniture/equipment;1
32;male;2;own;little;unknown;701;12;education;1
27;female;1;own;little;little;3643;15;furniture/equipment;1
28;male;3;own;little;moderate;4249;30;car;0
32;male;2;own;little;little;1938;24;radio/TV;0
34;male;3;free;little;little;2910;24;car;1
28;male;2;own;rich;little;2659;18;furniture/equipment;1
36;female;2;own;little;unknown;1028;18;car;1
39;male;1;own;little;little;3398;8;car;1
49;male;2;rent;unknown;unknown;5801;12;furniture/equipment;1
34;female;2;own;rich;unknown;1525;24;car;1
31;male;2;own;little;rich;4473;36;radio/TV;1
28;male;2;own;little;moderate;1068;6;radio/TV;1
75;male;3;free;little;little;6615;24;car;1
30;female;2;own;moderate;unknown;1864;18;education;0
24;female;3;own;moderate;moderate;7408;60;car;0
24;female;1;rent;moderate;unknown;11590;48;car;0
23;male;2;rent;little;little;4110;24;furniture/equipment;0
44;male;3;rent;little;little;3384;6;furniture/equipment;0
23;female;1;own;little;moderate;2101;13;radio/TV;1
24;female;2;rent;unknown;little;1275;15;domesticappliances;0
28;male;2;own;little;little;4169;24;furniture/equipment;1
31;male;1;own;little;moderate;1521;10;furniture/equipment;1
24;female;2;free;little;moderate;5743;24;education;1
26;female;1;rent;little;little;3599;21;furniture/equipment;1
25;male;2;rent;quiterich;moderate;3213;18;radio/TV;1
33;male;3;own;little;moderate;4439;18;business;1
37;male;1;own;little;rich;3949;10;car;1
43;female;1;own;little;unknown;1459;15;radio/TV;1
23;male;2;own;little;moderate;882;13;radio/TV;1
23;female;0;rent;quiterich;moderate;3758;24;radio/TV;1
34;male;1;own;moderate;unknown;1743;6;business;1
32;male;2;free;rich;moderate;1136;9;education;0
23;female;2;rent;little;unknown;1236;9;domesticappliances;1
29;female;2;own;little;moderate;959;9;furniture/equipment;0
38;male;3;own;unknown;unknown;3229;18;car;1
28;male;2;rent;little;little;6199;12;radio/TV;0
46;male;2;free;quiterich;unknown;727;10;education;1
23;male;1;own;little;moderate;1246;24;car;0
49;male;2;own;unknown;unknown;2331;12;radio/TV;1
26;male;3;own;little;unknown;4463;36;radio/TV;0
28;male;2;own;little;unknown;776;12;radio/TV;1
23;female;2;rent;little;little;2406;30;furniture/equipment;0
61;male;2;free;unknown;moderate;1239;18;education;1
37;male;3;own;unknown;rich;3399;12;radio/TV;1
36;female;2;own;little;rich;2247;12;car;1
21;male;2;rent;little;unknown;1766;6;furniture/equipment;1
25;male;0;own;little;little;2473;18;furniture/equipment;0
36;male;2;own;little;unknown;1542;12;business;1
27;male;2;own;little;unknown;3850;18;car;1
22;female;2;rent;little;little;3650;18;furniture/equipment;1
42;male;2;own;little;little;3446;36;furniture/equipment;0
40;female;2;rent;little;moderate;3001;18;furniture/equipment;1
36;male;2;own;unknown;unknown;3079;36;car;1
33;male;2;own;little;unknown;6070;18;radio/TV;1
23;female;2;rent;little;unknown;2146;10;furniture/equipment;1
63;male;3;free;unknown;unknown;13756;60;car;1
60;female;3;free;moderate;moderate;14782;60;vacation/others;0
37;female;2;rent;little;little;7685;48;business;0
34;male;2;own;little;unknown;2320;18;radio/TV;1
36;male;2;free;unknown;unknown;846;7;radio/TV;1
57;male;3;free;little;moderate;14318;36;car;0
52;female;1;own;moderate;unknown;362;6;car;1
39;male;2;own;unknown;little;2212;20;furniture/equipment;1
38;female;3;free;little;moderate;12976;18;car;0
25;female;2;rent;unknown;unknown;1283;22;car;1
26;male;2;own;little;rich;1330;12;car;1
26;male;1;own;moderate;unknown;4272;30;business;1
25;female;2;own;little;unknown;2238;18;radio/TV;1
21;female;2;rent;unknown;unknown;1126;18;radio/TV;1
40;male;3;own;little;moderate;7374;18;furniture/equipment;1
27;male;2;own;quiterich;moderate;2326;15;business;1
27;female;2;own;little;unknown;1449;9;business;1
30;male;3;own;little;unknown;1820;18;car;1
19;female;1;rent;rich;moderate;983;12;furniture/equipment;1
39;male;3;free;little;little;3249;36;car;1
31;female;2;own;little;little;1957;6;radio/TV;1
31;male;3;own;little;unknown;2406;9;furniture/equipment;1
32;male;2;rent;moderate;moderate;11760;39;education;1
55;female;3;free;little;little;2578;12;furniture/equipment;1
46;male;2;own;little;little;2348;36;furniture/equipment;1
46;male;2;rent;little;moderate;1223;12;car;0
43;female;1;own;rich;unknown;1516;24;radio/TV;1
39;male;2;own;little;unknown;1473;18;radio/TV;1
28;male;2;own;unknown;moderate;1887;18;business;1
27;male;2;own;little;unknown;8648;24;business;0
27;male;1;own;little;unknown;802;14;car;1
43;male;2;own;unknown;moderate;2899;18;car;1
22;male;2;own;little;moderate;2039;24;radio/TV;0
43;male;2;own;unknown;unknown;2197;24;car;1
27;male;2;own;little;little;1053;15;radio/TV;1
26;male;3;own;quiterich;unknown;3235;24;radio/TV;1
28;male;2;own;quiterich;rich;939;12;car;0
20;female;2;own;little;moderate;1967;24;radio/TV;1
35;male;3;own;little;unknown;7253;33;car;1
42;male;3;own;little;unknown;2292;12;business;0
40;male;1;rent;quiterich;unknown;1597;10;car;1
35;female;2;own;unknown;little;1381;24;car;0
35;male;2;own;little;unknown;5842;36;car;1
33;male;1;own;little;little;2579;12;car;0
23;female;2;rent;unknown;little;8471;18;education;1
31;female;3;own;quiterich;unknown;2782;21;car;1
33;female;2;own;unknown;moderate;1042;18;car;0
20;female;2;rent;rich;unknown;3186;15;car;1
30;male;2;own;unknown;moderate;2028;12;car;1
47;male;1;own;little;moderate;958;12;car;1
34;male;3;own;moderate;unknown;1591;21;furniture/equipment;1
25;female;2;own;unknown;moderate;2762;12;furniture/equipment;0
21;male;2;rent;little;moderate;2779;18;car;1
29;male;2;own;little;unknown;2743;28;radio/TV;1
46;male;2;own;rich;unknown;1149;18;radio/TV;1
20;male;2;own;little;unknown;1313;9;furniture/equipment;1
55;female;0;free;little;little;1190;18;repairs;0
74;male;1;own;little;unknown;3448;5;business;1
29;male;3;own;little;moderate;11328;24;vacation/others;0
36;male;3;free;little;little;1872;6;furniture/equipment;1
33;male;2;own;little;unknown;2058;24;repairs;1
25;male;2;own;little;little;2136;9;furniture/equipment;1
25;male;2;own;unknown;moderate;1484;12;radio/TV;0
23;male;1;rent;quiterich;unknown;660;6;repairs;1
37;female;2;own;rich;unknown;1287;24;car;1
65;male;0;own;little;little;3394;42;repairs;1
26;female;0;own;little;rich;609;12;business;0
39;male;3;own;little;unknown;1884;12;car;1
30;female;2;own;little;little;1620;12;furniture/equipment;1
29;male;2;own;little;moderate;2629;20;vacation/others;1
41;male;1;own;little;unknown;719;12;education;0
30;female;3;own;little;moderate;5096;48;furniture/equipment;0
41;female;1;rent;unknown;unknown;1244;9;education;1
34;female;2;own;little;little;1842;36;car;0
35;male;2;own;little;moderate;2576;7;radio/TV;1
55;female;3;own;unknown;rich;1424;12;furniture/equipment;1
61;male;2;own;rich;moderate;1512;15;repairs;0
30;male;3;own;unknown;unknown;11054;36;car;1
29;female;2;own;little;unknown;518;6;radio/TV;1
34;male;2;own;little;unknown;2759;12;furniture/equipment;1
35;male;3;own;little;unknown;2670;24;car;1
31;male;2;own;little;little;4817;24;car;0
29;female;3;own;little;unknown;2679;24;car;1
36;male;2;rent;little;little;3905;11;car;1
35;male;2;free;little;little;3386;12;car;0
27;female;2;own;little;little;343;6;domesticappliances;1
32;male;2;own;little;unknown;4594;18;radio/TV;1
37;male;2;own;little;little;3620;36;furniture/equipment;1
36;male;2;own;little;little;1721;15;car;1
34;female;3;rent;little;moderate;3017;12;furniture/equipment;1
38;male;2;own;unknown;moderate;754;12;education;1
34;male;2;own;little;unknown;1950;18;business;1
63;male;2;own;little;little;2924;24;car;1
29;female;1;rent;little;little;1659;24;radio/TV;0
32;male;2;own;unknown;unknown;7238;48;radio/TV;1
26;female;2;own;little;unknown;2764;33;business;1
35;male;1;own;little;unknown;4679;24;car;1
22;male;2;rent;moderate;moderate;3092;24;radio/TV;0
23;female;2;own;little;little;448;6;education;0
28;male;1;own;little;little;654;9;car;0
36;male;3;own;unknown;unknown;1238;6;education;1
33;male;2;own;little;moderate;1245;18;radio/TV;0
26;female;2;rent;little;little;3114;18;furniture/equipment;0
24;male;2;own;quiterich;unknown;2569;39;car;1
25;male;2;own;little;rich;5152;24;radio/TV;1
39;male;1;own;moderate;moderate;1037;12;business;1
44;male;2;own;little;little;1478;15;furniture/equipment;1
23;female;1;own;little;moderate;3573;12;radio/TV;1
26;male;2;own;little;moderate;1201;24;car;1
57;female;2;rent;rich;little;3622;30;furniture/equipment;1
30;female;2;own;rich;unknown;960;15;furniture/equipment;1
44;male;2;own;quiterich;unknown;1163;12;car;1
47;male;3;own;little;moderate;1209;6;car;0
52;male;2;own;little;unknown;3077;12;radio/TV;1
62;female;2;free;little;unknown;3757;24;car;1
35;male;1;rent;moderate;unknown;1418;10;car;1
26;male;2;rent;little;unknown;3518;6;car;1
26;male;2;own;little;unknown;1934;12;radio/TV;1
42;female;3;free;little;moderate;8318;27;business;0
27;female;2;own;moderate;unknown;1237;6;radio/TV;1
38;male;2;own;unknown;moderate;368;6;radio/TV;1
39;male;1;rent;little;little;2122;12;car;1
20;male;2;own;unknown;little;2996;24;furniture/equipment;0
29;male;3;rent;moderate;moderate;9034;36;furniture/equipment;0
40;male;2;own;little;unknown;1585;24;furniture/equipment;1
32;male;1;own;little;moderate;1301;18;radio/TV;1
28;male;2;own;moderate;rich;1323;6;car;1
27;female;2;own;little;little;3123;24;car;0
42;male;2;free;little;little;5493;36;car;1
49;male;2;own;moderate;rich;1126;9;radio/TV;1
38;male;2;own;moderate;moderate;1216;24;radio/TV;0
24;female;2;rent;little;little;1207;24;car;0
27;male;1;own;unknown;unknown;1309;10;car;0
36;male;2;own;quiterich;rich;2360;15;car;1
34;male;3;own;moderate;moderate;6850;15;car;0
28;male;2;own;little;unknown;1413;24;radio/TV;1
45;male;3;own;moderate;unknown;8588;39;car;1
26;male;2;own;little;little;759;12;car;0
32;male;3;free;little;unknown;4686;36;car;1
26;male;2;rent;little;rich;2687;15;business;1
20;male;2;rent;little;moderate;585;12;radio/TV;1
54;male;2;own;unknown;unknown;2255;24;car;1
37;female;2;own;little;little;609;6;car;1
40;male;1;own;little;little;1361;6;car;1
23;female;2;rent;little;unknown;7127;36;furniture/equipment;0
43;male;2;own;moderate;little;1203;6;car;1
36;male;2;free;unknown;unknown;700;6;radio/TV;1
44;male;2;free;little;unknown;5507;24;repairs;1
24;female;2;own;little;little;3190;18;radio/TV;0
53;male;2;free;little;little;7119;48;furniture/equipment;0
23;female;2;own;moderate;unknown;3488;24;car;1
26;female;1;own;little;moderate;1113;18;radio/TV;1
30;male;2;own;little;moderate;7966;26;car;1
31;female;2;own;moderate;unknown;1532;15;education;1
42;male;1;own;little;unknown;1503;4;radio/TV;1
31;male;2;rent;little;little;2302;36;radio/TV;0
41;male;1;own;little;little;662;6;car;1
32;male;2;own;little;moderate;2273;36;education;1
28;female;2;rent;moderate;moderate;2631;15;car;0
41;male;2;rent;little;unknown;1503;12;car;1
26;male;2;own;moderate;unknown;1311;24;radio/TV;1
25;male;2;own;unknown;unknown;3105;24;radio/TV;1
33;male;2;rent;little;rich;2319;21;education;0
75;female;3;own;unknown;little;1374;6;car;1
37;female;2;own;little;moderate;3612;18;furniture/equipment;1
42;male;3;free;little;little;7763;48;car;0
45;female;1;own;little;rich;3049;18;furniture/equipment;1
23;male;2;rent;little;moderate;1534;12;radio/TV;0
60;male;2;free;little;unknown;2032;24;car;1
