age;maritalsts;education;balance;hhinsurance;carloan;carinsurance
45;married;secondary;4466;1;0;0
56;married;secondary;1521;1;1;0
33;single;tertiary;8038;1;0;0
45;single;primary;116;0;0;1
63;married;secondary;641;0;0;1
57;married;secondary;2020;0;0;0
60;married;secondary;208;0;0;0
61;divorced;tertiary;52587;0;0;1
56;married;secondary;2561;0;0;0
26;single;secondary;82;1;0;1
58;divorced;secondary;729;0;1;0
46;married;secondary;273;0;0;1
28;single;secondary;2840;0;0;1
57;married;secondary;253;0;1;0
36;single;secondary;2921;0;0;0
44;married;secondary;16178;1;0;0
54;divorced;secondary;0;0;0;1
38;married;secondary;557;1;0;1
34;single;tertiary;4348;1;0;0
27;single;secondary;683;1;0;0
29;single;tertiary;1579;0;0;1
31;married;tertiary;2827;1;0;0
50;divorced;secondary;0;0;0;1
60;married;tertiary;108;0;0;1
32;married;secondary;243;1;1;0
36;married;secondary;-27;1;1;0
45;married;secondary;205;0;0;1
40;divorced;tertiary;0;0;0;1
38;married;secondary;497;0;0;1
30;single;tertiary;985;1;0;1
31;married;tertiary;3739;0;0;0
28;single;tertiary;6784;0;0;1
49;divorced;primary;-9;1;1;0
34;married;tertiary;0;0;0;1
51;divorced;secondary;113;0;0;0
35;divorced;primary;118;0;0;0
41;single;secondary;595;1;0;0
49;married;primary;0;0;0;0
33;single;tertiary;3143;0;0;1
53;married;secondary;53;1;0;1
45;married;tertiary;1447;1;1;0
36;divorced;tertiary;6385;1;0;0
43;married;tertiary;3186;0;0;1
31;married;primary;290;1;0;0
56;married;primary;8163;0;0;1
48;married;secondary;13551;0;0;0
40;single;tertiary;431;0;0;1
60;married;secondary;711;0;0;0
45;married;secondary;0;0;0;0
55;divorced;secondary;4;0;0;1
41;married;primary;3658;1;0;0
46;married;tertiary;699;0;0;1
41;married;secondary;8491;1;0;1
51;married;secondary;423;1;1;0
55;divorced;tertiary;0;0;0;1
34;married;secondary;790;1;0;0
40;married;secondary;341;0;0;1
31;single;secondary;582;1;0;1
32;single;tertiary;623;0;0;1
37;single;secondary;1045;0;0;0
31;married;secondary;0;1;0;0
56;married;tertiary;281;0;0;1
26;single;primary;-295;1;0;0
45;married;tertiary;160;0;0;1
32;married;secondary;134;1;1;1
41;married;tertiary;472;1;0;0
28;married;secondary;-95;1;0;0
42;married;secondary;0;1;0;0
46;married;secondary;179;0;1;0
55;divorced;tertiary;0;0;0;1
26;single;tertiary;641;1;0;0
29;single;tertiary;3041;1;0;1
40;divorced;tertiary;502;1;0;0
29;single;tertiary;2531;0;0;1
33;married;secondary;218;1;1;0
31;married;secondary;-119;1;0;0
27;single;secondary;158;0;0;1
40;married;tertiary;70;0;0;0
58;married;secondary;3735;0;0;0
41;married;tertiary;8553;1;0;0
40;married;secondary;84;1;0;0
49;married;tertiary;68;1;1;0
41;married;secondary;459;1;0;0
57;married;secondary;1070;0;0;0
59;married;primary;3400;1;0;1
48;married;secondary;1730;1;0;1
46;married;secondary;6993;1;0;0
48;divorced;tertiary;-547;0;0;0
33;married;secondary;168;1;0;0
33;divorced;tertiary;891;0;0;1
37;single;tertiary;-119;1;0;0
39;married;tertiary;2630;0;0;1
24;single;secondary;2696;0;0;0
58;married;primary;0;1;0;0
46;divorced;tertiary;-130;1;0;1
39;single;secondary;-244;1;0;0
36;married;primary;711;1;0;0
43;married;secondary;184;0;1;1
35;single;tertiary;1830;0;0;0
48;married;primary;649;0;0;0
48;married;secondary;480;0;1;0
41;married;secondary;720;0;1;1
34;married;secondary;-33;1;1;1
32;married;tertiary;762;0;0;1
51;married;secondary;1415;1;0;0
44;married;secondary;742;0;0;0
66;married;secondary;0;0;0;1
61;married;primary;5;0;0;1
41;married;secondary;114;1;0;0
38;married;secondary;3249;1;0;0
54;married;tertiary;440;0;0;0
48;divorced;secondary;201;0;0;1
44;single;tertiary;1090;0;0;1
50;married;secondary;-584;0;0;0
55;married;secondary;2055;1;0;0
34;married;tertiary;697;0;0;0
50;divorced;primary;120;1;0;0
34;married;secondary;1;1;0;0
29;married;secondary;76;1;0;0
46;married;secondary;-333;0;1;0
58;divorced;tertiary;1382;0;0;1
33;married;secondary;804;1;1;0
33;single;tertiary;87;0;0;1
60;divorced;secondary;514;0;0;1
45;married;secondary;0;0;0;0
31;single;tertiary;4951;0;0;1
47;married;secondary;1160;1;0;0
39;married;tertiary;0;0;0;0
32;single;secondary;799;0;1;1
52;married;secondary;105;0;0;0
30;married;secondary;166;0;0;0
37;married;secondary;903;1;0;0
47;married;secondary;0;0;1;0
34;single;tertiary;64;1;0;0
25;single;tertiary;42;1;0;1
25;single;tertiary;220;0;0;0
23;single;secondary;279;1;0;1
48;divorced;tertiary;275;0;1;0
35;married;tertiary;0;0;0;0
30;single;tertiary;2344;1;0;0
35;married;tertiary;8;0;0;1
37;married;tertiary;3737;0;0;1
35;single;tertiary;147;0;0;0
44;married;tertiary;1631;1;0;0
30;single;secondary;1779;0;0;1
32;single;tertiary;933;1;0;0
19;single;secondary;394;0;0;1
58;married;secondary;1227;0;0;0
29;married;tertiary;805;0;0;0
40;married;tertiary;0;1;0;0
31;single;secondary;46;0;0;0
47;divorced;secondary;555;1;1;1
59;divorced;secondary;1;1;0;1
42;married;secondary;3;1;0;0
59;divorced;tertiary;17056;1;0;0
38;single;secondary;1255;1;0;0
33;married;secondary;386;0;0;1
30;single;secondary;0;1;0;0
31;married;tertiary;94;0;0;1
52;divorced;secondary;725;1;0;0
47;married;secondary;1568;1;0;1
27;single;secondary;152;0;0;0
56;married;secondary;28;1;0;0
31;single;tertiary;438;1;0;0
77;married;primary;29340;0;0;1
29;single;secondary;-105;1;0;0
27;single;secondary;535;0;0;1
44;married;secondary;797;1;0;0
61;married;secondary;985;0;0;1
46;divorced;tertiary;1297;0;0;1
26;single;secondary;-46;1;0;1
29;single;secondary;110;1;0;1
38;married;secondary;47;1;0;1
35;single;secondary;885;1;0;1
46;divorced;secondary;0;0;0;1
32;married;secondary;536;1;0;0
52;married;secondary;137;0;0;1
26;single;tertiary;170;1;0;0
33;divorced;secondary;-297;1;0;0
30;single;secondary;53;1;0;0
48;single;secondary;1245;0;0;0
36;married;secondary;480;0;0;1
35;single;tertiary;1750;1;0;1
35;married;secondary;5;0;0;0
31;married;secondary;4182;1;0;1
39;divorced;secondary;241;1;0;0
33;married;secondary;49;1;0;0
57;married;tertiary;0;0;0;0
30;single;secondary;458;0;0;0
40;single;secondary;1101;1;0;0
36;married;tertiary;9;1;0;0
36;single;primary;49;1;0;0
32;married;secondary;625;1;0;0
37;married;secondary;1110;1;0;1
44;married;secondary;138;1;0;0
27;single;secondary;3;0;0;0
50;married;primary;180;1;0;0
34;single;tertiary;5086;0;0;1
57;married;primary;1052;1;0;0
32;single;secondary;322;1;0;0
33;single;secondary;647;1;1;0
49;divorced;secondary;10613;0;1;1
54;divorced;secondary;136;0;1;0
34;single;tertiary;612;0;0;0
28;single;secondary;434;1;0;0
32;single;secondary;1168;1;0;1
41;divorced;secondary;4;1;0;0
23;single;secondary;480;0;0;1
64;married;secondary;4787;0;0;1
38;married;secondary;2685;0;0;0
26;single;secondary;187;0;0;0
38;married;tertiary;216;0;0;0
53;married;secondary;-363;1;0;0
40;divorced;secondary;93;0;0;0
39;married;secondary;3870;1;0;0
62;married;secondary;298;0;0;1
35;married;secondary;249;0;0;0
32;single;tertiary;0;1;1;1
57;married;secondary;1216;1;0;0
35;married;tertiary;1265;1;0;1
45;single;secondary;143;0;0;0
30;single;primary;0;1;1;1
36;married;secondary;4721;0;0;1
30;single;secondary;5909;1;0;1
33;married;secondary;1737;0;0;0
60;married;primary;1262;1;1;1
48;married;primary;1849;1;0;0
53;divorced;secondary;0;0;0;0
32;married;secondary;221;1;0;0
26;single;tertiary;157;1;0;0
34;divorced;secondary;882;0;1;0
31;single;secondary;3950;1;0;1
38;married;secondary;814;1;0;0
51;divorced;primary;-19;1;0;1
36;married;tertiary;0;1;0;1
24;single;tertiary;674;1;0;1
27;divorced;secondary;451;1;0;1
31;single;tertiary;0;0;0;0
45;divorced;secondary;608;1;1;1
33;married;secondary;387;1;0;0
40;married;secondary;4775;0;0;1
35;single;tertiary;62;1;0;0
51;married;tertiary;2704;1;0;0
41;married;primary;-75;1;0;0
35;single;tertiary;-324;0;1;1
71;divorced;primary;1729;0;0;1
55;divorced;secondary;387;1;0;1
42;divorced;tertiary;9;1;0;0
29;married;tertiary;0;1;0;1
32;single;secondary;678;1;0;1
51;married;tertiary;19313;0;0;0
32;single;tertiary;2551;1;0;1
32;married;primary;0;1;0;0
54;divorced;primary;2062;1;0;0
38;married;tertiary;119;1;0;1
26;single;secondary;1231;1;0;1
58;divorced;tertiary;108;0;0;0
33;married;tertiary;1047;0;0;1
29;single;tertiary;19;0;0;1
31;married;secondary;33;1;0;0
35;single;secondary;204;1;0;1
45;married;secondary;0;0;1;1
34;single;tertiary;808;0;0;0
33;single;tertiary;272;1;0;1
32;married;secondary;983;1;0;1
53;married;tertiary;3177;0;0;0
45;married;secondary;-258;1;0;0
40;married;primary;669;1;0;0
45;married;primary;121;0;0;0
43;married;tertiary;62;1;0;0
39;married;primary;34;1;0;0
31;single;tertiary;208;0;0;1
53;married;primary;0;0;0;0
32;divorced;tertiary;948;0;0;0
42;married;tertiary;2;1;1;0
41;single;secondary;169;1;0;0
35;married;secondary;913;1;0;0
27;single;secondary;0;0;0;0
34;married;secondary;1072;0;1;0
46;married;secondary;2149;1;0;1
46;married;secondary;1299;1;0;0
45;divorced;secondary;728;1;1;0
26;single;secondary;24;1;0;0
69;married;secondary;0;0;0;1
30;single;secondary;799;0;0;1
42;married;tertiary;36;0;0;1
30;married;tertiary;631;0;0;0
35;married;tertiary;286;0;0;1
38;married;tertiary;536;1;0;1
27;single;primary;265;1;0;1
39;single;tertiary;202;1;0;0
27;single;secondary;538;0;0;1
49;single;secondary;-97;1;0;0
32;single;tertiary;0;0;0;1
48;married;secondary;1981;1;0;0
31;married;secondary;0;1;0;0
36;married;tertiary;789;1;1;0
34;married;secondary;455;1;0;0
39;married;tertiary;350;1;0;0
44;married;tertiary;624;0;0;1
42;married;primary;505;1;0;0
56;married;secondary;3784;0;0;0
40;married;primary;830;1;0;1
30;married;secondary;791;1;1;0
32;married;tertiary;4465;1;0;0
51;married;primary;0;0;0;0
33;single;tertiary;718;1;0;1
36;married;secondary;1790;1;0;0
42;married;secondary;2913;0;0;1
38;divorced;tertiary;5455;1;0;0
34;married;secondary;1;1;0;0
49;married;primary;408;0;0;1
54;married;primary;981;0;0;0
41;married;primary;6596;1;0;0
59;married;tertiary;3779;0;0;0
53;married;tertiary;20772;0;0;0
45;married;tertiary;786;0;0;1
41;single;secondary;28;0;0;0
56;married;primary;284;0;1;0
51;single;secondary;516;1;0;0
38;divorced;tertiary;155;1;0;0
33;married;primary;-191;1;1;1
36;single;secondary;17;0;0;1
44;married;tertiary;795;0;0;0
36;married;secondary;331;0;0;0
31;single;secondary;846;0;0;1
36;single;secondary;12264;0;0;1
25;single;primary;292;1;1;1
51;married;secondary;95;1;0;1
38;married;secondary;775;0;0;1
32;single;secondary;6402;1;0;0
49;single;secondary;275;0;0;0
37;married;secondary;489;1;0;0
36;married;primary;599;1;0;1
43;married;tertiary;1429;1;0;1
49;married;secondary;2416;1;0;1
32;divorced;primary;380;0;0;0
60;divorced;secondary;0;0;0;1
43;married;primary;223;1;0;0
53;single;secondary;654;0;0;1
57;married;tertiary;2261;1;0;0
45;single;secondary;410;1;0;1
33;married;secondary;177;1;0;0
56;married;primary;2163;0;0;0
59;married;primary;320;1;0;1
40;married;tertiary;254;0;0;0
37;single;tertiary;240;0;0;1
34;single;secondary;-72;1;0;0
27;single;secondary;535;0;0;1
47;divorced;secondary;-1730;1;1;0
32;married;tertiary;1364;0;0;0
32;married;secondary;344;1;1;0
34;married;primary;412;1;0;0
24;single;tertiary;393;0;0;1
47;divorced;primary;603;1;1;1
72;married;secondary;5715;0;0;1
34;single;secondary;2257;0;1;0
38;divorced;secondary;1190;1;0;0
61;married;secondary;86;0;0;1
44;married;secondary;0;0;0;1
31;single;tertiary;2589;0;0;1
30;single;tertiary;201;1;0;1
33;single;secondary;1522;0;1;0
46;married;primary;1429;1;0;0
59;single;primary;7724;0;0;1
32;married;primary;3136;1;0;1
28;single;tertiary;19;0;0;1
29;married;tertiary;10576;0;0;1
61;divorced;secondary;927;0;0;1
36;married;tertiary;203;0;0;1
37;married;tertiary;41;0;0;0
46;married;secondary;38;0;0;1
35;married;secondary;8412;0;0;0
69;married;primary;324;0;0;1
28;single;tertiary;3623;0;0;1
33;married;secondary;1221;1;0;0
57;married;primary;3123;1;0;0
31;single;tertiary;13711;1;0;1
37;married;primary;-106;1;1;1
60;married;primary;0;0;0;0
56;married;tertiary;693;0;0;0
45;married;primary;1152;0;0;0
30;single;secondary;2143;1;1;0
34;married;secondary;1035;0;0;1
41;single;tertiary;1081;0;0;1
32;single;secondary;566;1;0;0
34;married;tertiary;142;1;0;1
38;married;tertiary;-1007;1;1;0
35;married;tertiary;867;1;0;1
44;single;secondary;-228;1;1;0
39;married;primary;1742;0;0;0
57;married;secondary;169;0;0;1
31;single;secondary;26;0;0;0
59;married;tertiary;-23;0;1;0
57;married;secondary;621;1;0;0
53;married;tertiary;1624;0;0;1
46;married;primary;346;1;0;0
26;single;tertiary;1027;0;0;1
43;married;tertiary;189;1;0;1
45;married;secondary;142;1;1;0
54;married;tertiary;534;0;0;1
27;single;secondary;294;1;1;1
27;married;secondary;-393;1;1;0
30;single;tertiary;3384;0;0;1
68;married;tertiary;2812;0;0;1
30;married;tertiary;107;1;1;0
56;married;tertiary;3610;1;0;0
31;married;secondary;684;1;0;1
26;single;secondary;603;0;1;0
46;married;secondary;49;1;0;0
49;divorced;secondary;-403;0;1;0
24;married;secondary;867;1;0;1
27;single;secondary;50;0;0;0
51;married;primary;2525;0;0;0
56;married;tertiary;505;1;1;0
40;married;secondary;5;0;0;0
27;married;secondary;512;1;0;0
36;single;tertiary;6450;1;0;0
37;married;secondary;2915;0;0;0
43;married;secondary;2576;1;0;0
33;divorced;secondary;661;1;0;0
38;married;secondary;37;0;0;0
37;married;secondary;0;1;0;0
30;single;tertiary;136;1;0;0
43;married;primary;108;1;1;0
65;married;tertiary;2416;0;0;1
42;single;secondary;1364;1;0;1
35;single;secondary;2144;1;0;0
53;married;primary;732;0;0;1
55;married;primary;0;1;0;1
34;divorced;secondary;383;1;0;1
29;single;secondary;306;1;0;1
37;single;secondary;459;0;0;0
59;married;secondary;1085;0;1;0
22;single;secondary;216;0;0;1
31;married;secondary;314;1;0;1
51;married;secondary;4695;0;0;0
39;married;secondary;25;1;1;1
53;married;tertiary;1356;1;0;0
37;married;primary;1941;1;0;0
26;married;secondary;-285;1;1;0
34;married;secondary;320;1;0;1
36;married;primary;2040;1;0;0
46;divorced;tertiary;4917;1;1;0
59;married;primary;100;0;0;1
38;divorced;tertiary;4312;0;0;0
37;married;tertiary;2987;1;0;1
54;divorced;secondary;200;0;0;1
36;divorced;secondary;5;1;0;0
38;married;tertiary;46;0;0;0
49;married;secondary;180;1;1;0
34;married;secondary;46;1;1;0
34;married;secondary;320;1;0;1
34;single;secondary;161;0;0;0
36;married;secondary;11;1;0;0
52;married;tertiary;-970;1;0;1
57;married;primary;0;0;0;0
63;divorced;secondary;1490;0;0;1
43;married;secondary;774;0;0;1
38;single;secondary;-61;0;1;0
45;divorced;secondary;397;1;1;1
28;single;tertiary;3611;0;0;1
64;married;secondary;466;1;0;1
47;divorced;secondary;2232;0;0;1
59;married;secondary;2605;0;0;0
32;single;tertiary;15561;1;0;0
54;married;secondary;-165;0;1;0
39;married;secondary;3732;1;0;0
25;single;secondary;4718;0;0;1
52;married;tertiary;25;0;1;0
38;married;secondary;6;1;0;0
33;married;secondary;3107;0;1;0
61;married;primary;56;0;0;1
38;single;tertiary;2885;1;0;1
36;married;tertiary;630;0;0;1
50;married;tertiary;5969;0;0;1
64;married;primary;12067;0;0;1
35;married;primary;46;0;0;0
51;married;secondary;241;0;0;1
43;single;secondary;3;1;0;1
36;married;tertiary;521;0;0;1
47;married;secondary;1167;1;0;0
40;married;tertiary;1293;0;0;1
56;married;secondary;-1206;1;0;1
22;single;secondary;1796;0;0;1
47;married;tertiary;109;1;0;0
22;single;tertiary;993;0;0;1
52;married;secondary;420;0;0;0
49;married;secondary;-327;1;0;0
22;single;secondary;722;1;0;0
30;single;secondary;-522;1;1;1
61;married;primary;197;0;0;1
27;married;secondary;941;1;0;0
43;married;secondary;171;1;0;0
55;married;primary;2152;0;0;1
38;married;secondary;593;1;1;1
57;married;tertiary;2266;0;0;0
43;married;tertiary;-271;1;1;0
32;married;secondary;328;1;0;0
42;married;secondary;529;1;1;0
41;married;tertiary;771;1;0;0
41;married;secondary;417;0;0;0
34;divorced;secondary;797;1;0;0
36;married;tertiary;322;1;0;0
36;single;primary;2169;1;0;0
43;married;primary;400;1;0;0
24;single;secondary;172;0;0;0
56;married;primary;3498;0;0;1
25;single;tertiary;2305;0;0;0
31;single;tertiary;1051;0;0;0
48;married;secondary;11516;0;0;0
59;married;secondary;1625;0;0;1
35;single;secondary;1017;0;0;0
46;married;secondary;78;1;1;0
47;married;tertiary;866;0;0;0
29;single;tertiary;874;1;0;1
52;divorced;primary;-191;1;0;1
51;married;primary;98;1;0;0
49;divorced;secondary;224;0;1;0
47;single;secondary;600;0;1;0
58;divorced;tertiary;5253;0;0;0
37;divorced;secondary;3068;1;1;1
32;single;tertiary;0;0;0;0
31;single;tertiary;1017;0;0;0
44;married;tertiary;1818;1;1;1
50;married;tertiary;290;0;1;0
38;married;secondary;3091;1;0;0
32;divorced;secondary;1288;1;0;0
31;single;tertiary;-24;1;1;0
51;married;secondary;-286;1;0;0
38;married;tertiary;0;1;0;0
29;married;secondary;5903;1;0;0
31;divorced;secondary;105;1;0;0
22;single;tertiary;104;0;1;1
30;married;secondary;289;1;0;1
50;married;secondary;2218;1;0;1
30;single;secondary;3528;0;0;1
44;single;primary;36;1;0;1
26;single;secondary;668;1;0;1
44;married;secondary;399;1;1;0
31;single;secondary;1588;1;0;0
58;married;primary;-247;0;0;0
38;married;tertiary;946;1;0;0
22;married;secondary;-295;1;0;0
51;divorced;secondary;1679;0;0;1
49;single;primary;566;1;0;1
38;single;tertiary;1727;0;0;0
42;married;tertiary;3713;0;0;1
51;single;tertiary;2139;0;0;0
35;divorced;primary;1077;1;0;0
35;single;tertiary;994;0;0;0
47;married;primary;192;1;0;0
39;married;tertiary;141;1;0;0
39;married;tertiary;628;1;0;0
34;married;secondary;262;0;0;1
34;divorced;tertiary;66;0;1;0
33;married;secondary;543;1;0;0
41;married;primary;0;0;0;0
33;married;tertiary;191;0;0;1
36;divorced;secondary;-435;1;0;0
62;married;secondary;780;0;0;1
29;single;primary;231;1;0;0
33;single;tertiary;1781;0;0;1
77;married;primary;2223;0;0;0
26;single;secondary;101;1;0;1
53;married;secondary;665;1;0;1
51;married;primary;7098;0;0;1
34;married;tertiary;828;0;1;1
37;single;tertiary;6964;0;0;0
30;married;secondary;501;1;1;1
32;married;primary;187;0;0;0
47;married;secondary;863;1;0;1
38;single;secondary;895;1;0;1
52;married;secondary;150;1;0;0
32;single;secondary;133;0;0;1
36;married;secondary;74;1;0;0
58;married;tertiary;1384;1;0;1
37;single;tertiary;1894;1;0;0
33;married;secondary;920;0;0;1
34;single;tertiary;13014;0;0;1
48;married;tertiary;288;0;0;0
49;married;primary;0;1;0;0
32;married;primary;62;1;1;0
24;single;secondary;160;0;0;0
43;divorced;tertiary;388;1;0;1
31;single;tertiary;882;0;0;1
52;married;secondary;5517;1;1;0
52;married;secondary;1373;0;0;0
27;single;secondary;54;1;0;1
43;married;tertiary;938;1;0;0
35;married;primary;1116;1;0;0
34;married;tertiary;0;1;0;0
28;married;tertiary;12;1;0;1
36;married;tertiary;4145;0;0;1
53;married;primary;798;1;0;0
42;single;primary;1628;1;0;1
51;married;tertiary;2635;0;0;1
49;married;secondary;202;1;0;1
32;single;tertiary;4262;1;0;0
41;married;secondary;149;1;0;0
32;divorced;secondary;211;1;1;0
38;married;tertiary;980;0;0;0
39;married;secondary;-473;1;0;0
38;single;tertiary;973;0;0;0
28;married;secondary;934;1;0;0
37;divorced;secondary;3834;1;0;0
59;married;primary;-546;0;0;1
46;married;tertiary;2817;0;0;1
25;single;secondary;1105;1;0;0
26;married;secondary;47;1;0;0
79;divorced;secondary;631;0;0;0
59;married;primary;4198;0;0;1
52;single;tertiary;83;0;0;1
27;single;secondary;294;1;0;0
33;divorced;tertiary;990;1;0;1
28;single;secondary;-46;1;0;1
38;married;primary;290;1;0;0
47;married;tertiary;0;0;1;1
56;married;secondary;360;1;1;0
57;married;secondary;197;0;0;0
32;single;secondary;0;0;0;0
58;divorced;secondary;462;0;0;1
35;single;secondary;1183;1;0;0
44;married;tertiary;1454;0;0;0
20;single;secondary;129;1;1;0
36;married;tertiary;0;0;0;0
40;single;tertiary;3840;1;0;1
27;single;tertiary;2802;1;0;0
32;married;tertiary;905;0;0;1
50;married;secondary;797;1;0;0
33;single;tertiary;637;0;0;0
29;married;secondary;0;1;0;0
46;married;tertiary;699;0;0;0
46;married;primary;1267;1;1;0
39;single;secondary;15;1;0;1
27;single;secondary;299;1;0;0
54;married;primary;836;1;0;0
34;single;secondary;-317;1;0;0
34;married;secondary;672;0;0;0
35;single;secondary;3636;0;0;0
59;married;primary;4949;0;1;0
38;married;tertiary;93;1;0;0
39;married;secondary;117;1;0;1
41;married;secondary;1385;0;0;0
55;married;secondary;1011;1;0;0
32;divorced;tertiary;530;1;0;0
37;married;tertiary;1315;0;0;1
43;married;secondary;95;1;0;0
24;married;secondary;-94;1;0;0
44;married;secondary;1206;0;0;0
35;married;tertiary;7990;1;0;0
56;divorced;primary;-216;1;0;0
29;married;tertiary;26;1;0;0
45;married;secondary;3492;1;1;0
35;single;tertiary;1880;0;0;1
41;divorced;secondary;2769;1;0;0
53;married;secondary;6112;0;0;0
44;married;primary;3;1;0;0
48;married;primary;-460;0;0;0
54;married;secondary;548;0;0;1
56;divorced;primary;29;0;0;0
51;married;tertiary;83;0;0;1
38;single;secondary;113;1;0;0
30;single;tertiary;697;0;0;1
28;single;secondary;909;0;1;1
80;married;primary;155;0;0;1
29;single;tertiary;559;0;0;0
58;married;secondary;4348;1;0;1
50;married;secondary;546;0;0;0
30;married;secondary;776;0;0;1
33;married;tertiary;525;1;1;0
54;married;tertiary;8295;0;0;1
59;married;tertiary;296;0;1;1
40;married;tertiary;409;0;0;0
51;married;secondary;-799;0;1;1
34;single;secondary;151;1;0;1
41;married;primary;246;0;0;1
40;married;primary;395;1;0;1
34;single;secondary;10;0;1;0
